Player,Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
Djokovic,15‑Jan‑2024,Australian Open,Hard,SF,1,4,(4)Jannik Sinner [ITA] d. (1)Djokovic,6-1 6-2 6-7(6) 6-3,(ch),0.64,43.40%,25.50%,8.20%,17.20%,37.00%,0/0,3:22
Djokovic,15‑Jan‑2024,Australian Open,Hard,QF,1,12,(1)Djokovic d. (12)Taylor Fritz [USA],7-6(3) 4-6 6-2 6-3,(ch),1.54,55.00%,41.60%,10.40%,34.40%,51.60%,4/21,3:45
Djokovic,15‑Jan‑2024,Australian Open,Hard,R16,1,19,(1)Djokovic d. (20)Adrian Mannarino [FRA],6-0 6-0 6-3,(ch),2.31,66.90%,56.90%,1.70%,50.00%,66.70%,7/11,1:44
Djokovic,15‑Jan‑2024,Australian Open,Hard,R32,1,32,(1)Djokovic d. (30)Tomas Martin Etcheverry [ARG],6-3 6-3 7-6(2),,1.72,56.50%,39.00%,13.00%,29.20%,64.30%,3/7,2:28
Djokovic,15‑Jan‑2024,Australian Open,Hard,R64,1,43,(1)Djokovic d. Alexei Popyrin [AUS],6-3 4-6 7-6(4) 6-3,,1.24,53.90%,33.30%,15.30%,26.60%,42.60%,3/11,3:11
Djokovic,15‑Jan‑2024,Australian Open,Hard,R128,1,187,(1)Djokovic d. (Q)Dino Prizmic [CRO],6-2 6-7(5) 6-3 6-4,(ch),1.28,55.20%,45.50%,5.70%,34.50%,69.20%,8/17,4:01
Djokovic,28‑Aug‑2023,US Open,Hard,F,2,3,(2)Djokovic d. (3)Daniil Medvedev [RUS],6-3 7-6(5) 6-3,(ch),1.3,54.90%,40.60%,5.70%,29.00%,62.20%,3/6,3:17
Djokovic,28‑Aug‑2023,US Open,Hard,SF,2,47,(2)Djokovic d. Ben Shelton [USA],6-3 6-2 7-6(4),(ch),1.36,55.70%,44.10%,4.90%,40.30%,53.30%,5/14,2:41
Djokovic,28‑Aug‑2023,US Open,Hard,QF,2,9,(2)Djokovic d. (9)Taylor Fritz [USA],6-1 6-4 6-4,(ch),1.3,55.70%,47.20%,9.00%,26.50%,72.50%,6/9,2:35
Djokovic,28‑Aug‑2023,US Open,Hard,R16,2,105,(2)Djokovic d. (Q)Borna Gojo [CRO],6-2 7-5 6-4,,1.85,56.80%,43.90%,12.30%,34.20%,61.00%,5/13,2:26
Djokovic,28‑Aug‑2023,US Open,Hard,R32,2,38,(2)Djokovic d. (32)Laslo Djere [SRB],4-6 4-6 6-1 6-1 6-3,(ch),1.34,54.40%,41.30%,5.60%,34.00%,58.10%,7/14,3:45
Djokovic,28‑Aug‑2023,US Open,Hard,R64,2,76,(2)Djokovic d. Bernabe Zapata Miralles [ESP],6-4 6-1 6-1,(ch),1.95,61.20%,48.80%,2.50%,43.60%,60.00%,6/11,2:00
Djokovic,28‑Aug‑2023,US Open,Hard,R128,2,84,(2)Djokovic d. Alexandre Muller [FRA],6-0 6-2 6-3,(ch),1.82,60.90%,51.50%,5.90%,42.20%,69.60%,8/13,1:35
Djokovic,3‑Jul‑2023,Wimbledon,Grass,F,2,1,(1)Carlos Alcaraz [ESP] d. (2)Djokovic,1-6 7-6(6) 6-1 3-6 6-4,(ch),0.93,49.70%,37.30%,6.00%,29.80%,50.00%,5/15,4:43
Djokovic,3‑Jul‑2023,Wimbledon,Grass,SF,2,8,(2)Djokovic d. (8)Jannik Sinner [ITA],6-3 6-4 7-6(4),(ch),1.03,52.50%,32.20%,8.90%,24.10%,44.40%,2/9,2:47
Djokovic,3‑Jul‑2023,Wimbledon,Grass,QF,2,7,(2)Djokovic d. (7)Andrey Rublev [RUS],4-6 6-1 6-4 6-3,,1.34,55.80%,38.80%,5.80%,26.70%,55.80%,5/12,2:48
Djokovic,3‑Jul‑2023,Wimbledon,Grass,R16,2,18,(2)Djokovic d. (17)Hubert Hurkacz [POL],7-6(6) 7-6(6) 5-7 6-4,(ch),1.46,52.40%,28.10%,22.60%,18.90%,52.50%,1/8,3:07
Djokovic,3‑Jul‑2023,Wimbledon,Grass,R32,2,88,(2)Djokovic d. Stan Wawrinka [SUI],6-3 6-1 7-6(5),,2.01,58.10%,40.20%,6.50%,30.80%,47.20%,4/9,2:07
Djokovic,3‑Jul‑2023,Wimbledon,Grass,R64,2,70,(2)Djokovic d. Jordan Thompson [AUS],6-3 7-6(4) 7-5,,1.69,55.30%,32.40%,20.00%,20.90%,52.60%,2/5,2:28
Djokovic,3‑Jul‑2023,Wimbledon,Grass,R128,2,68,(2)Djokovic d. Pedro Cachin [ARG],6-3 6-3 7-6(4),,1.45,55.40%,41.70%,9.70%,34.30%,57.60%,4/11,2:12
Djokovic,29‑May‑2023,Roland Garros,Clay,F,3,4,(3)Djokovic d. (4)Casper Ruud [NOR],7-6(1) 6-3 7-5,(ch),1.6,57.00%,39.60%,3.80%,42.60%,34.20%,3/10,3:14
Djokovic,29‑May‑2023,Roland Garros,Clay,SF,3,1,(3)Djokovic d. (1)Carlos Alcaraz [ESP],6-3 5-7 6-1 6-1,(ch),1.29,56.10%,47.60%,2.90%,45.90%,51.70%,7/12,3:24
Djokovic,29‑May‑2023,Roland Garros,Clay,QF,3,11,(3)Djokovic d. (11)Karen Khachanov [RUS],4-6 7-6(0) 6-2 6-4,(ch),1.34,55.10%,40.60%,5.30%,34.70%,48.30%,4/8,3:39
Djokovic,29‑May‑2023,Roland Garros,Clay,R16,3,94,(3)Djokovic d. Juan Pablo Varillas [PER],6-3 6-2 6-2,(ch),1.94,62.00%,50.00%,4.20%,46.80%,56.00%,6/12,1:57
Djokovic,29‑May‑2023,Roland Garros,Clay,R32,3,34,(3)Djokovic d. (29)Alejandro Davidovich Fokina [ESP],7-6(4) 7-6(5) 6-2,(ch),1.14,53.00%,50.00%,2.50%,49.40%,51.30%,7/17,3:36
Djokovic,29‑May‑2023,Roland Garros,Clay,R64,3,83,(3)Djokovic d. Marton Fucsovics [HUN],7-6(2) 6-0 6-3,(ch),1.33,56.60%,52.50%,1.00%,46.60%,61.00%,8/12,2:44
Djokovic,29‑May‑2023,Roland Garros,Clay,R128,3,114,(3)Djokovic d. Aleksandar Kovacevic [USA],6-3 6-2 7-6(1),,1.74,57.80%,45.20%,6.70%,32.70%,59.20%,5/12,2:27
Djokovic,16‑Jan‑2023,Australian Open,Hard,F,5,4,(4)Djokovic d. (3)Stefanos Tsitsipas [GRE],6-3 7-6(4) 7-6(5),(ch),1.4,54.40%,34.90%,14.20%,27.50%,48.60%,2/5,2:56
