Player,Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
Djokovic,15‑Jan‑2024,Australian Open,Hard,SF,1,4,(4)Jannik Sinner [ITA] d. (1)Djokovic,6-1 6-2 6-7(6) 6-3,(ch),0.64,6.00%,3.40%,68.10%,67.10%,45.90%,6/11,3:22
Djokovic,15‑Jan‑2024,Australian Open,Hard,QF,1,12,(1)Djokovic d. (12)Taylor Fritz [USA],7-6(3) 4-6 6-2 6-3,(ch),1.54,17.40%,2.60%,62.60%,81.90%,58.10%,4/6,3:45
Djokovic,15‑Jan‑2024,Australian Open,Hard,R16,1,19,(1)Djokovic d. (20)Adrian Mannarino [FRA],6-0 6-0 6-3,(ch),2.31,24.60%,7.20%,69.60%,81.30%,61.90%,3/3,1:44
Djokovic,15‑Jan‑2024,Australian Open,Hard,R32,1,32,(1)Djokovic d. (30)Tomas Martin Etcheverry [ARG],6-3 6-3 7-6(2),,1.72,11.90%,0.00%,67.90%,86.00%,59.30%,0/0,2:28
Djokovic,15‑Jan‑2024,Australian Open,Hard,R64,1,43,(1)Djokovic d. Alexei Popyrin [AUS],6-3 4-6 7-6(4) 6-3,,1.24,9.20%,0.00%,61.30%,82.20%,58.70%,5/7,3:11
Djokovic,15‑Jan‑2024,Australian Open,Hard,R128,1,187,(1)Djokovic d. (Q)Dino Prizmic [CRO],6-2 6-7(5) 6-3 6-4,(ch),1.28,8.50%,0.80%,59.70%,66.20%,61.50%,5/9,4:01
Djokovic,28‑Aug‑2023,US Open,Hard,F,2,3,(2)Djokovic d. (3)Daniil Medvedev [RUS],6-3 7-6(5) 6-3,(ch),1.3,3.70%,5.50%,54.10%,81.40%,54.00%,2/3,3:17
Djokovic,28‑Aug‑2023,US Open,Hard,SF,2,47,(2)Djokovic d. Ben Shelton [USA],6-3 6-2 7-6(4),(ch),1.36,5.10%,3.00%,67.70%,83.60%,34.40%,4/6,2:41
Djokovic,28‑Aug‑2023,US Open,Hard,QF,2,9,(2)Djokovic d. (9)Taylor Fritz [USA],6-1 6-4 6-4,(ch),1.3,7.40%,5.30%,60.60%,68.40%,56.80%,10/12,2:35
Djokovic,28‑Aug‑2023,US Open,Hard,R16,2,105,(2)Djokovic d. (Q)Borna Gojo [CRO],6-2 7-5 6-4,,1.85,15.80%,3.90%,67.10%,88.20%,52.00%,0/1,2:26
Djokovic,28‑Aug‑2023,US Open,Hard,R32,2,38,(2)Djokovic d. (32)Laslo Djere [SRB],4-6 4-6 6-1 6-1 6-3,(ch),1.34,9.40%,3.10%,65.40%,77.10%,54.50%,8/11,3:45
