Rk,Name,Born,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Wayne Gretzky,1961,F,1487,894,1963,2857,577,520,,,,,617,204,73,91,2,1201,686,76,239,15,1818,890,149,330,17,31.2%,,,,,,,,,,0.601,1.32,1.921,5083,17.6%,,,1199,1249,48.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jaromír Jágr,1972,F,1733,766,1155,1921,1167,322,,,,,538,217,11,135,19,758,393,4,180,16,1296,610,15,315,35,31.8%,,,,,,,,,,0.442,0.666,1.108,5637,13.6%,187,114,12,37,24.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mark Messier,1961,F,1756,694,1193,1887,1912,211,,,,,452,179,63,92,8,710,402,81,144,18,1162,581,144,236,26,30.8%,,,,,,,,,,0.395,0.679,1.075,4221,16.4%,,,5743,4755,54.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gordie Howe,1928,F,1767,801,1049,1850,1685,160,,,,,566,211,24,121,0,684,353,12,160,0,1250,564,36,281,0,30.5%,,,,,,,,,,0.453,0.594,1.047,3803,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ron Francis,1963,F,1731,549,1249,1798,977,-18,,,,,349,188,12,79,4,691,539,19,196,14,1040,727,31,275,18,40.4%,,,,,,,,,,0.317,0.722,1.039,3756,14.6%,,,4773,3940,54.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Marcel Dionne,1951,F,1348,731,1040,1771,600,27,,,,,478,234,19,73,2,620,409,11,127,2,1098,643,30,200,4,36.3%,,,,,,,,,,0.542,0.772,1.314,5363,13.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Steve Yzerman,1965,F,1514,692,1063,1755,924,184,,,,,440,202,50,94,9,637,393,33,139,11,1077,595,83,233,20,33.9%,,,,,,,,,,0.457,0.702,1.159,4602,15.0%,19,17,5270,3907,57.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mario Lemieux,1965,F,915,690,1033,1723,834,114,,,,,405,236,49,74,11,546,465,22,115,11,951,701,71,189,22,40.7%,,,,,,,,,,0.754,1.129,1.883,3633,19.0%,8,6,1414,1451,49.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Joe Sakic,1969,F,1378,625,1016,1641,614,30,,,,,388,205,32,86,7,573,426,17,148,11,961,631,49,234,18,38.5%,,,,,,,,,,0.454,0.737,1.191,4621,13.5%,57,93,8297,7544,52.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sidney Crosby,1987,F,1272,592,1004,1596,823,217,20:41,16:02,4:14,0:24,416,172,4,90,20,609,388,7,169,24,1025,560,11,259,44,35.1%,1.35,2.289,3.639,1.223,1.791,3.014,1.915,4.319,6.233,0.465,0.789,1.255,4072,14.5%,1114,623,14 648,13 207,52.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Phil Esposito,1942,F,1282,717,873,1590,910,252,,,,,448,246,23,118,0,558,303,12,146,0,1006,549,35,264,0,34.5%,,,,,,,,,,0.559,0.681,1.24,5166,13.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ray Bourque,1960,D,1612,410,1169,1579,1141,527,,,,,221,173,16,60,5,553,588,28,166,13,774,761,44,226,18,48.2%,,,,,,,,,,0.254,0.725,0.98,6209,6.6%,,,0,3,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Alexander Ovechkin,1985,F,1426,853,697,1550,817,45,20:44,15:52,4:43,0:08,536,312,5,129,26,427,269,1,102,14,963,581,6,231,40,37.5%,1.731,1.414,3.145,1.421,1.132,2.553,2.775,2.393,5.168,0.598,0.489,1.087,6627,12.9%,3634,550,64,124,34.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Joe Thornton,1979,F,1714,430,1109,1539,1272,182,18:43,14:37,3:29,0:36,278,146,6,68,9,701,402,6,183,22,979,548,12,251,31,35.6%,0.804,2.073,2.877,0.666,1.679,2.344,1.464,4.031,5.495,0.251,0.647,0.898,3068,14.0%,786,406,13 408,12 130,52.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mark Recchi,1968,F,1652,577,956,1533,1033,0,,,,,359,200,18,91,6,573,369,14,129,10,932,569,32,220,16,37.1%,,,,,,,,,,0.349,0.579,0.928,3820,15.1%,528,174,1043,1145,47.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Paul Coffey,1961,D,1409,396,1135,1531,1802,298,,,,,241,135,20,43,1,575,529,31,140,11,816,664,51,183,12,43.4%,,,,,,,,,,0.281,0.806,1.087,4389,9.0%,,,0,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Stan Mikita,1940,F,1396,541,926,1467,1264,329,,,,,379,150,12,84,0,608,312,6,133,0,987,462,18,217,0,31.5%,,,,,,,,,,0.388,0.663,1.051,4482,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Teemu Selänne,1970,F,1451,684,773,1457,660,95,,,,,422,255,7,110,9,438,333,2,116,13,860,588,9,226,22,40.4%,,,,,,,,,,0.471,0.533,1.004,4540,15.1%,123,96,956,1077,47.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Bryan Trottier,1956,F,1279,524,901,1425,912,449,,,,,344,161,19,69,1,619,262,20,116,4,963,423,39,185,5,29.7%,,,,,,,,,,0.41,0.704,1.114,2839,18.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Adam Oates,1962,F,1337,341,1079,1420,415,33,,,,,226,103,12,56,5,646,410,23,176,17,872,513,35,232,22,36.1%,,,,,,,,,,0.255,0.807,1.062,2392,14.3%,,,6486,4770,57.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Doug Gilmour,1963,F,1474,450,964,1414,1301,129,,,,,279,153,18,56,3,603,335,26,144,15,882,488,44,200,18,34.5%,,,,,,,,,,0.305,0.654,0.959,2834,15.9%,,,2934,2641,52.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
