Rank,Name,"Year of
birth","Total
titles","Olympic
Games","World
Championships",Time span
1, Michael Phelps,1985,28,13,15,2001–2016 (16)
2, Sun Yang*,1991,14,3,11,2011–2019 (9)
3, Ryan Lochte*,1984,12,2,10,2007–2015 (9)
4, Caeleb Dressel*,1996,11,3,8,2017–2022 (6)
5, Aaron Peirsol,1983,10,3,7,2001–2009 (9)
6, Alexander Popov,1971,9,4,5,1992–2003 (12)
6, Ian Thorpe,1982,9,3,6,1998–2004 (7)
6, Grant Hackett,1980,9,2,7,1998–2005 (8)
9, Tamás Darnyi,1967,8,4,4,1986–1992 (7)
9, Adam Peaty*,1994,8,2,6,2015–2021 (7)
11, Roland Matthes,1950,7,4,3,1968–1975 (8)
11, Kosuke Kitajima,1982,7,4,3,2003–2008 (6)
11, Michael Gross,1964,7,3,4,1982–1988 (7)
11, Vladimir Salnikov,1960,7,3,4,1978–1988 (11)
11, César Cielo*,1987,7,1,6,2008–2013 (6)
16, Chad le Clos*,1992,5,1,4,2012–2017 (6)
16, Gregorio Paltrinieri*,1994,5,1,4,2015–2022 (8)
16, Léon Marchand*,2002,5,0,5,2022–2023 (2)
19, Mark Spitz,1950,4,4,0,1972 (1)
19, Matt Biondi,1965,4,2,2,1986–1991 (6)
19, Kieren Perkins,1973,4,2,2,1992–1996 (5)
19, Tom Dolan,1975,4,2,2,1994–2000 (7)
19, Lenny Krayzelburg,1975,4,2,2,1998–2000 (3)
19, Anthony Ervin*,1981,4,2,2,2000–2016 (17)
19, Evgeny Rylov*,1996,4,2,2,2017–2021 (5)
19, Ryan Murphy*,1995,4,2,2,2016–2023 (8)
19, David Wilkie,1954,4,1,3,1973–1976 (4)
19, Norbert Rózsa,1972,4,1,3,1991–1996 (6)
19, Dániel Gyurta,1989,4,1,3,2009–2013 (5)
19, Kristóf Milák*,2000,4,1,3,2019–2022 (4)
19, Brendan Hansen,1981,4,0,4,2001–2007 (7)
19, Camille Lacourt,1985,4,0,4,2011–2017 (7)
19, Daiya Seto*,1994,4,0,4,2013–2019 (7)
34, Charles Daniels,1885,3,3,0,1904–1908 (5)
34, Johnny Weissmuller,1904,3,3,0,1924–1928 (5)
34, Murray Rose,1939,3,3,0,1956–1960 (5)
34, Mike Burton,1947,3,3,0,1968–1972 (5)
34, Pieter van den Hoogenband,1978,3,3,0,2000–2004 (5)
34, Gunnar Larsson,1951,3,2,1,1972–1973 (2)
34, John Hencken,1954,3,2,1,1972–1976 (5)
34, Rick Carey,1963,3,2,1,1982–1984 (3)
34, Denis Pankratov,1974,3,2,1,1994–1996 (3)
34, Robert Finke*,1999,3,2,1,2021–2022 (2)
34, Jim Montgomery,1955,3,1,2,1973–1976 (4)
34, Victor Davis,1964,3,1,2,1982–1986 (5)
34, Igor Polyansky,1967,3,1,2,1986–1988 (3)
34, Martín López-Zubero,1969,3,1,2,1991–1994 (4)
34, Park Tae-hwan*,1989,3,1,2,2007–2011 (5)
34, Cameron van der Burgh,1988,3,1,2,2009–2013 (5)
34, Florent Manaudou*,1990,3,1,2,2012–2015 (4)
34, Chase Kalisz*,1994,3,1,2,2017–2021 (5)
34, Ahmed Hafnaoui*,2002,3,1,2,2021–2023 (3)
34, András Hargitay,1956,3,0,3,1973–1975 (3)
34, Tim Shaw,1957,3,0,3,1975 (1)
34, Roland Schoeman*,1980,3,0,3,2005–2007 (3)
34, Qin Haiyang*,1999,3,0,3,2023 (1)
