Year,Film,Nominee,Winner,id
1983,Heat and Dust,Ruth Prawer Jhabvala,TRUE,bafta-basp.csv
1983,Betrayal,Harold Pinter,FALSE,bafta-basp.csv
1983,Educating Rita,Willy Russell,FALSE,bafta-basp.csv
1983,Tootsie,Larry Gelbart and Murray Schisgal,FALSE,bafta-basp.csv
1984,The Killing Fields,Bruce Robinson,TRUE,bafta-basp.csv
1984,Another Country,Julian Mitchell,FALSE,bafta-basp.csv
1984,The Dresser,Ronald Harwood,FALSE,bafta-basp.csv
1984,"Paris, Texas",Sam Shepard,FALSE,bafta-basp.csv
1985,Prizzi's Honor,Richard Condon and Janet Roach,TRUE,bafta-basp.csv
1985,Amadeus,Peter Shaffer,FALSE,bafta-basp.csv
1985,A Passage to India,David Lean,FALSE,bafta-basp.csv
1985,The Shooting Party,Julian Bond,FALSE,bafta-basp.csv
1986,Out of Africa,Kurt Luedtke,TRUE,bafta-basp.csv
1986,Children of a Lesser God,Hesper Anderson and Mark Medoff,FALSE,bafta-basp.csv
1986,The Color Purple,Menno Meyjes,FALSE,bafta-basp.csv
1986,Ran,"Masato Ide, Akira Kurosawa, and Hideo Oguni",FALSE,bafta-basp.csv
1986,A Room with a View,Ruth Prawer Jhabvala,FALSE,bafta-basp.csv
1987,Jean de Florette,Claude Berri and Gérard Brach,TRUE,bafta-basp.csv
1987,84 Charing Cross Road,Hugh Whitemore,FALSE,bafta-basp.csv
1987,Little Dorrit,Christine Edzard,FALSE,bafta-basp.csv
1987,Prick Up Your Ears,Alan Bennett,FALSE,bafta-basp.csv
1988,The Unbearable Lightness of Being,Jean-Claude Carrière and Philip Kaufman,TRUE,bafta-basp.csv
1988,Babettes gæstebud,Gabriel Axel,FALSE,bafta-basp.csv
1988,Empire of the Sun,Tom Stoppard,FALSE,bafta-basp.csv
1988,Who Framed Roger Rabbit,Jeffrey Price and Peter S. Seaman,FALSE,bafta-basp.csv
1989,Dangerous Liaisons,Christopher Hampton,TRUE,bafta-basp.csv
1989,The Accidental Tourist,Frank Galati and Lawrence Kasdan,FALSE,bafta-basp.csv
1989,My Left Foot,Shane Connaughton and Jim Sheridan,FALSE,bafta-basp.csv
1989,Shirley Valentine,Willy Russell,FALSE,bafta-basp.csv
1990,Goodfellas,Nicholas Pileggi and Martin Scorsese,TRUE,bafta-basp.csv
1990,Born on the Fourth of July,Ron Kovic and Oliver Stone,FALSE,bafta-basp.csv
1990,Driving Miss Daisy,Alfred Uhry,FALSE,bafta-basp.csv
1990,Postcards from the Edge,Carrie Fisher,FALSE,bafta-basp.csv
1990,The War of the Roses,Michael J. Leeson,FALSE,bafta-basp.csv
1991,The Commitments,"Dick Clement, Roddy Doyle, and Ian La Frenais",TRUE,bafta-basp.csv
1991,Cyrano de Bergerac,Jean-Claude Carrière and Jean-Paul Rappeneau,FALSE,bafta-basp.csv
1991,Dances with Wolves,Michael Blake,FALSE,bafta-basp.csv
1991,The Silence of the Lambs,Ted Tally,FALSE,bafta-basp.csv
1992,The Player,Michael Tolkin,TRUE,bafta-basp.csv
1992,Howards End,Ruth Prawer Jhabvala,FALSE,bafta-basp.csv
1992,JFK,Zachary Sklar and Oliver Stone,FALSE,bafta-basp.csv
1992,Strictly Ballroom,Baz Luhrmann and Craig Pearce,FALSE,bafta-basp.csv
1993,Schindler's List,Steven Zaillian,TRUE,bafta-basp.csv
1993,In the Name of the Father,Terry George and Jim Sheridan,FALSE,bafta-basp.csv
1993,The Remains of the Day,Ruth Prawer Jhabvala,FALSE,bafta-basp.csv
1993,Shadowlands,William Nicholson,FALSE,bafta-basp.csv
1993,Scent of a Woman,Bo Goldman,FALSE,bafta-basp.csv
1994,Quiz Show,Paul Attanasio,TRUE,bafta-basp.csv
