Year,Film,Nominee,Winner
1983,Heat and Dust,Ruth Prawer Jhabvala,TRUE
1983,Betrayal,Harold Pinter,FALSE
1983,Educating Rita,Willy Russell,FALSE
1983,Tootsie,Larry Gelbart and Murray Schisgal,FALSE
1984,The Killing Fields,Bruce Robinson,TRUE
1984,Another Country,Julian Mitchell,FALSE
1984,The Dresser,Ronald Harwood,FALSE
1984,"Paris, Texas",Sam Shepard,FALSE
1985,Prizzi's Honor,Richard Condon and Janet Roach,TRUE
1985,Amadeus,Peter Shaffer,FALSE
1985,A Passage to India,David Lean,FALSE
1985,The Shooting Party,Julian Bond,FALSE
1986,Out of Africa,Kurt Luedtke,TRUE
1986,Children of a Lesser God,Hesper Anderson and Mark Medoff,FALSE
1986,The Color Purple,Menno Meyjes,FALSE
1986,Ran,"Masato Ide, Akira Kurosawa, and Hideo Oguni",FALSE
1986,A Room with a View,Ruth Prawer Jhabvala,FALSE
1987,Jean de Florette,Claude Berri and Gérard Brach,TRUE
1987,84 Charing Cross Road,Hugh Whitemore,FALSE
1987,Little Dorrit,Christine Edzard,FALSE
1987,Prick Up Your Ears,Alan Bennett,FALSE
1988,The Unbearable Lightness of Being,Jean-Claude Carrière and Philip Kaufman,TRUE
1988,Babettes gæstebud,Gabriel Axel,FALSE
1988,Empire of the Sun,Tom Stoppard,FALSE
1988,Who Framed Roger Rabbit,Jeffrey Price and Peter S. Seaman,FALSE
1989,Dangerous Liaisons,Christopher Hampton,TRUE
1989,The Accidental Tourist,Frank Galati and Lawrence Kasdan,FALSE
1989,My Left Foot,Shane Connaughton and Jim Sheridan,FALSE
1989,Shirley Valentine,Willy Russell,FALSE
1990,Goodfellas,Nicholas Pileggi and Martin Scorsese,TRUE
1990,Born on the Fourth of July,Ron Kovic and Oliver Stone,FALSE
1990,Driving Miss Daisy,Alfred Uhry,FALSE
1990,Postcards from the Edge,Carrie Fisher,FALSE
1990,The War of the Roses,Michael J. Leeson,FALSE
1991,The Commitments,"Dick Clement, Roddy Doyle, and Ian La Frenais",TRUE
1991,Cyrano de Bergerac,Jean-Claude Carrière and Jean-Paul Rappeneau,FALSE
1991,Dances with Wolves,Michael Blake,FALSE
1991,The Silence of the Lambs,Ted Tally,FALSE
1992,The Player,Michael Tolkin,TRUE
1992,Howards End,Ruth Prawer Jhabvala,FALSE
1992,JFK,Zachary Sklar and Oliver Stone,FALSE
1992,Strictly Ballroom,Baz Luhrmann and Craig Pearce,FALSE
1993,Schindler's List,Steven Zaillian,TRUE
1993,In the Name of the Father,Terry George and Jim Sheridan,FALSE
1993,The Remains of the Day,Ruth Prawer Jhabvala,FALSE
1993,Shadowlands,William Nicholson,FALSE
1993,Scent of a Woman,Bo Goldman,FALSE
1994,Quiz Show,Paul Attanasio,TRUE
1994,The Browning Version,Ronald Harwood,FALSE
1994,Forrest Gump,Eric Roth,FALSE
1994,The Joy Luck Club,Ronald Bass and Amy Tan,FALSE
1994,Three Colours: Red,Krzysztof Kieślowski and Krzysztof Piesiewicz,FALSE
1995,Trainspotting,John Hodge,TRUE
1995,Babe,"George Miller, Chris Noonan",FALSE
1995,Leaving Las Vegas,Mike Figgis,FALSE
1995,The Madness of King George,Alan Bennett,FALSE
1995,Il Postino: The Postman,"Anna Pavignano, Michael Radford, Furio Scarpelli, Giacomo Scarpelli, and Massimo Troisi",FALSE
