Year,Film,Nominee,Winner
1983,The King of Comedy,Paul D. Zimmerman,TRUE
1983,Local Hero,Bill Forsyth,FALSE
1983,Trading Places,Timothy Harris and Herschel Weingrod,FALSE
1983,Zelig,Woody Allen,FALSE
1984,Broadway Danny Rose,Woody Allen,TRUE
1984,The Big Chill,Barbara Benedek and Lawrence Kasdan,FALSE
1984,Comfort and Joy,Bill Forsyth,FALSE
1984,A Private Function,Alan Bennett,FALSE
1985,The Purple Rose of Cairo,Woody Allen,TRUE
1985,Back to the Future,Robert Zemeckis and Bob Gale,FALSE
1985,My Beautiful Laundrette,Hanif Kureishi,FALSE
1985,Witness,William Kelley and Earl W. Wallace,FALSE
1986,Hannah and Her Sisters,Woody Allen,TRUE
1986,Crocodile Dundee,"John Cornell, Paul Hogan and Ken Shadie",FALSE
1986,The Mission,Robert Bolt,FALSE
1986,Mona Lisa,Neil Jordan and David Leland,FALSE
1987,Wish You Were Here,David Leland,TRUE
1987,Hope and Glory,John Boorman,FALSE
1987,Personal Services,David Leland,FALSE
1987,Radio Days,Woody Allen,FALSE
1988,A World Apart,Shawn Slovo,TRUE
1988,Au revoir les enfants,Louis Malle,FALSE
1988,A Fish Called Wanda,John Cleese,FALSE
1988,Moonstruck,John Patrick Shanley,FALSE
1989,When Harry Met Sally...,Nora Ephron,TRUE
1989,Dead Poets Society,Tom Schulman,FALSE
1989,Rain Man,Ronald Bass and Barry Morrow,FALSE
1989,"Sex, Lies and Videotape",Steven Soderbergh,FALSE
1990,Cinema Paradiso,Giuseppe Tornatore,TRUE
1990,Crimes and Misdemeanors,Woody Allen,FALSE
1990,Ghost,Bruce Joel Rubin,FALSE
1990,Pretty Woman,J. F. Lawton,FALSE
1991,"Truly, Madly, Deeply",Anthony Minghella,TRUE
1991,The Fisher King,Richard LaGravenese,FALSE
1991,Green Card,Peter Weir,FALSE
1991,Thelma & Louise,Callie Khouri,FALSE
1992,Husbands and Wives,Woody Allen,TRUE
1992,The Crying Game,Neil Jordan,FALSE
1992,Hear My Song,Peter Chelsom and Adrian Dunbar,FALSE
1992,Unforgiven,David Webb Peoples,FALSE
1993,Groundhog Day,Harold Ramis and Danny Rubin,TRUE
1993,In the Line of Fire,Jeff Maguire,FALSE
1993,The Piano,Jane Campion,FALSE
1993,Sleepless in Seattle,"Jeff Arch, Nora Ephron and David S. Ward",FALSE
1994,Pulp Fiction,Quentin Tarantino and Roger Avary,TRUE
1994,"The Adventures of Priscilla, Queen of the Desert",Stephan Elliott,FALSE
1994,Four Weddings and a Funeral,Richard Curtis,FALSE
1994,Philadelphia,Ron Nyswaner,FALSE
1995,The Usual Suspects,Christopher McQuarrie,TRUE
