Year,Film,Nominee,Winner
1947,The Best Years of Our Lives,William Wyler,TRUE
1948,Hamlet,Laurence Olivier,TRUE
1948,Crossfire,Edward Dmytryk,FALSE
1948,The Fallen Idol,Carol Reed,FALSE
1948,Monsieur Vincent,Maurice Cloche,FALSE
1948,The Naked City,Jules Dassin,FALSE
1948,Paisan (Paisà),Roberto Rossellini,FALSE
1948,Four Steps in the Clouds (Quattro passi fra le nuvole),Alessandro Blasetti,FALSE
1949,Bicycle Thieves (Ladri di biciclette),Vittorio De Sica,TRUE
1949,The Berliner (Berliner Ballade),R. A. Stemmle,FALSE
1949,The Last Stage (Ostatni etap),Wanda Jakubowska,FALSE
1949,The Set-Up,Robert Wise,FALSE
1949,The Third Man,Carol Reed,FALSE
1949,The Treasure of the Sierra Madre,John Huston,FALSE
1949,The Window,Ted Tetzlaff,FALSE
1950,All About Eve,Joseph L. Mankiewicz,TRUE
1950,The Asphalt Jungle,John Huston,FALSE
1950,Beauty and the Devil (La Beauté du diable),René Clair,FALSE
1950,Intruder in the Dust,Clarence Brown,FALSE
1950,The Men,Fred Zinnemann,FALSE
1950,On the Town,"Stanley Donen, Gene Kelly",FALSE
1950,Orphée[1] (US: Orpheus),Jean Cocteau,FALSE
1951,La Ronde,Max Ophüls,TRUE
1951,An American in Paris,Vincente Minnelli,FALSE
1951,The Browning Version,Anthony Asquith,FALSE
1951,Detective Story,William Wyler,FALSE
1951,Sunday in August (Domenica d'agosto),Luciano Emmer,FALSE
1951,Fourteen Hours,Henry Hathaway,FALSE
1951,Miss Julie (Fröken Julie),Alf Sjöberg,FALSE
1951,The Lavender Hill Mob,Charles Crichton,FALSE
1951,The Magic Box (1951)[2],John Boulting,FALSE
1951,The Magic Garden,Donald Swanson,FALSE
1951,The Man in the White Suit,Alexander Mackendrick,FALSE
1951,No Resting Place,Paul Rotha,FALSE
1951,The Red Badge of Courage,John Huston,FALSE
1951,The Small Miracle,"Maurice Cloche, Ralph Smart",FALSE
1951,The Sound of Fury,Cyril Endfield,FALSE
1951,A Walk in the Sun,Lewis Milestone,FALSE
1951,White Corridors,Pat Jackson,FALSE
1951,Edward and Caroline (Édouard et Caroline),Jacques Becker,FALSE
1952,The Sound Barrier,David Lean,TRUE
1952,The African Queen,John Huston,FALSE
1952,Angels One Five,George More O'Ferrall,FALSE
1952,The Boy Kumasenu,Sean Graham,FALSE
1952,Carrie,William Wyler,FALSE
1952,Casque d'Or,Jacques Becker,FALSE
1952,"Cry, the Beloved Country",Zoltán Korda,FALSE
1952,Death of a Salesman,László Benedek,FALSE
1952,Limelight,Charles Chaplin,FALSE
1952,Mandy,"Alexander Mackendrick, Fred F. Sears",FALSE
1952,Miracle in Milan (Miracolo a Milano),Vittorio De Sica,FALSE
1952,The Young and the Damned (Los olvidados),Luis Buñuel,FALSE
1952,Outcast of the Islands,Carol Reed,FALSE
1952,"Rashomon (羅生門, Rashōmon)",Akira Kurosawa,FALSE
1952,The River,Jean Renoir,FALSE
1952,Singin' in the Rain,"Stanley Donen, Gene Kelly",FALSE
1952,A Streetcar Named Desire,Elia Kazan,FALSE
1952,Viva Zapata!,Elia Kazan,FALSE
1953,Forbidden Games (Jeux interdits),René Clément,TRUE
1953,The Bad and the Beautiful,Vincente Minnelli,FALSE
1953,"Come Back, Little Sheba",Daniel Mann,FALSE
1953,The Cruel Sea,Charles Frend,FALSE
1953,Two Cents Worth of Hope (Due soldi di speranza),Renato Castellani,FALSE
1953,From Here to Eternity,Fred Zinnemann,FALSE
1953,Genevieve,Henry Cornelius,FALSE
1953,The Heart of the Matter,George More O'Ferrall,FALSE
1953,Julius Caesar,Joseph L. Mankiewicz,FALSE
1953,The Kidnappers (US: The Little Kidnappers),Philip Leacock,FALSE
1953,Lili,Charles Walters,FALSE
1953,The Medium (Il medium),Gian-Carlo Menotti,FALSE
1953,Mogambo,John Ford,FALSE
1953,Moulin Rouge,John Huston,FALSE
1953,Are We All Murderers? (Nous sommes tous des assassins),André Cayatte,FALSE
1953,Little World of Don Camillo (Don Camillo),Julien Duvivier,FALSE
1953,Roman Holiday,William Wyler,FALSE
1953,Shane,George Stevens,FALSE
1953,The Sun Shines Bright,John Ford,FALSE
1954,The Wages of Fear (Le salaire de la peur),Henri-Georges Clouzot,TRUE
1954,The Caine Mutiny,Edward Dmytryk,FALSE
1954,Carrington V.C.,Anthony Asquith,FALSE
1954,The Divided Heart,Charles Crichton,FALSE
1954,Doctor in the House,Ralph Thomas,FALSE
1954,Executive Suite,Robert Wise,FALSE
1954,"For Better, for Worse",J. Lee Thompson,FALSE
1954,Hobson's Choice,David Lean,FALSE
1954,How to Marry a Millionaire,Jean Negulesco,FALSE
1954,"Gate of Hell (地獄門, Jigokumon)",Teinosuke Kinugasa,FALSE
1954,The Maggie,Alexander Mackendrick,FALSE
1954,The Moon Is Blue,Otto Preminger,FALSE
1954,On the Waterfront,Elia Kazan,FALSE
1954,"Bread, Love and Dreams (Pane, amore e fantasia)",Luigi Comencini,FALSE
1954,The Purple Plain,Robert Parrish,FALSE
1954,Rear Window,Alfred Hitchcock,FALSE
1954,Riot in Cell Block 11,Don Siegel,FALSE
1954,Robinson Crusoe (Aventuras de Robinson Crusoe),Luis Buñuel,FALSE
1954,Romeo and Juliet,Renato Castellani,FALSE
1954,Seven Brides for Seven Brothers,Stanley Donen,FALSE
1955,Richard III,Laurence Olivier,TRUE
1955,Bad Day at Black Rock,John Sturges,FALSE
1955,Carmen Jones,Otto Preminger,FALSE
1955,The Colditz Story,Guy Hamilton,FALSE
1955,The Dam Busters,Michael Anderson,FALSE
1955,East of Eden,Elia Kazan,FALSE
