Year,Film,Nominee,Winner
1968,Best Actress,Best Actress,TRUE
1968,Guess Who's Coming to Dinner The Lion in Winter,Katharine Hepburn [A],FALSE
1968,The Graduate,Anne Bancroft,FALSE
1968,Beauty of the Day,Catherine Deneuve,FALSE
1968,"Rachel, Rachel",Joanne Woodward,FALSE
1969,The Prime of Miss Jean Brodie,Maggie Smith,TRUE
1969,"John and Mary, Rosemary's Baby Secret Ceremony",Mia Farrow [A],FALSE
1969,Women in Love,Glenda Jackson,FALSE
1969,Funny Girl Hello Dolly!,Barbra Streisand [A],FALSE
1970,Butch Cassidy and the Sundance Kid Tell Them Willie Boy Is Here,Katharine Ross [A],TRUE
1970,"They Shoot Horses, Don't They?",Jane Fonda,FALSE
1970,Cactus Flower There's a Girl in My Soup,Goldie Hawn [A],FALSE
1970,Ryan's Daughter,Sarah Miles,FALSE
1971,Sunday Bloody Sunday,Glenda Jackson,TRUE
1971,Taking Off,Lynn Carlin,FALSE
1971,The Go-Between,Julie Christie,FALSE
1971,Klute,Jane Fonda,FALSE
1971,The Raging Moon,Nanette Newman,FALSE
1972,Cabaret,Liza Minnelli,TRUE
1972,The Butcher,Stéphane Audran,FALSE
1972,Young Winston,Anne Bancroft,FALSE
1972,Savage Messiah,Dorothy Tutin,FALSE
1973,The Discreet Charm of the Bourgeoisie Just Before Nightfall,Stéphane Audran [A],TRUE
1973,Don't Look Now,Julie Christie,FALSE
1973,A Touch of Class,Glenda Jackson,FALSE
1973,Lady Sings the Blues,Diana Ross,FALSE
1974,"Summer Wishes, Winter Dreams",Joanne Woodward,TRUE
1974,Chinatown,Faye Dunaway,FALSE
1974,The Way We Were,Barbra Streisand,FALSE
1974,The Autobiography of Miss Jane Pittman,Cicely Tyson,FALSE
1975,Alice Doesn't Live Here Anymore,Ellen Burstyn,TRUE
1975,The Prisoner of Second Avenue,Anne Bancroft,FALSE
1975,Lenny,Valerie Perrine,FALSE
1975,Scenes from a Marriage,Liv Ullmann,FALSE
1976,One Flew Over the Cuckoo's Nest,Louise Fletcher,TRUE
1976,The Shootist,Lauren Bacall,FALSE
1976,The Ritz,Rita Moreno,FALSE
1976,Face to Face,Liv Ullmann,FALSE
1977,Annie Hall,Diane Keaton,TRUE
1977,Network,Faye Dunaway,FALSE
1977,3 Women,Shelley Duvall,FALSE
1977,The Late Show,Lily Tomlin,FALSE
1978,Julia,Jane Fonda,TRUE
1978,The Turning Point,Anne Bancroft,FALSE
1978,An Unmarried Woman,Jill Clayburgh,FALSE
1978,The Goodbye Girl,Marsha Mason,FALSE
1979,The China Syndrome,Jane Fonda,TRUE
1979,Manhattan,Diane Keaton,FALSE
1979,California Suite,Maggie Smith,FALSE
1979,The Deer Hunter,Meryl Streep,FALSE
1980,My Brilliant Career,Judy Davis,TRUE
1980,Being There,Shirley MacLaine,FALSE
1980,The Rose,Bette Midler,FALSE
1980,Kramer vs. Kramer,Meryl Streep,FALSE
1981,The French Lieutenant's Woman,Meryl Streep,TRUE
1981,Ordinary People,Mary Tyler Moore,FALSE
1981,Quartet,Maggie Smith,FALSE
1981,Coal Miner's Daughter,Sissy Spacek,FALSE
