Year,Film,Nominee,Winner
1968,Guess Who's Coming to Dinner,Spencer Tracy,TRUE
1968,The Charge of the Light Brigade,Trevor Howard,FALSE
1968,Oliver!,Ron Moody,FALSE
1968,The Bofors Gun,Nicol Williamson,FALSE
1969,John and Mary Midnight Cowboy,Dustin Hoffman [A],TRUE
1969,Women in Love,Alan Bates,FALSE
1969,"Hello, Dolly! The Secret Life of an American Wife",Walter Matthau [A],FALSE
1969,Inadmissible Evidence,Nicol Williamson,FALSE
1970,Butch Cassidy and the Sundance Kid Downhill Racer Tell Them Willie Boy Is Here,Robert Redford [A],TRUE
1970,Bob & Carol & Ted & Alice MASH,Elliott Gould [A],FALSE
1970,Butch Cassidy and the Sundance Kid,Paul Newman,FALSE
1970,Patton,George C. Scott,FALSE
1971,Sunday Bloody Sunday,Peter Finch,TRUE
1971,Death in Venice,Dirk Bogarde,FALSE
1971,Gumshoe,Albert Finney,FALSE
1971,Little Big Man,Dustin Hoffman,FALSE
1972,The French Connection The Poseidon Adventure,Gene Hackman [A],TRUE
1972,The Godfather The Nightcomers,Marlon Brando [A],FALSE
1972,The Hospital They Might Be Giants,George C. Scott [A],FALSE
1972,Young Winston,Robert Shaw,FALSE
1973,Charley Varrick Pete 'n' Tillie,Walter Matthau [A],TRUE
1973,Last Tango in Paris,Marlon Brando,FALSE
1973,Sleuth,Laurence Olivier,FALSE
1973,Don't Look Now Steelyard Blues,Donald Sutherland [A],FALSE
1974,Chinatown The Last Detail,Jack Nicholson [A],TRUE
1974,Murder on the Orient Express,Albert Finney,FALSE
1974,The Conversation,Gene Hackman,FALSE
1974,Serpico,Al Pacino,FALSE
1975,Dog Day Afternoon The Godfather Part II,Al Pacino [A],TRUE
1975,Jaws,Richard Dreyfuss,FALSE
1975,French Connection II Night Moves,Gene Hackman [A],FALSE
1975,Lenny,Dustin Hoffman,FALSE
1976,One Flew Over the Cuckoo's Nest,Jack Nicholson,TRUE
1976,Taxi Driver,Robert De Niro,FALSE
