Year,Film,Nominee,Winner
1968,Charlie Bubbles Twisted Nerve,"Billie Whitelaw .mw-parser-output .citation{word-wrap:break-word}.mw-parser-output .citation:target{background-color:rgba(0,127,255,0.133)}[A]",TRUE
1968,Romeo and Juliet,Pat Heywood,FALSE
1968,Interlude,Virginia Maskell,FALSE
1968,Games,Simone Signoret,FALSE
1969,The Prime of Miss Jean Brodie,Celia Johnson,TRUE
1969,Three into Two Won't Go,Peggy Ashcroft,FALSE
1969,The Prime of Miss Jean Brodie,Pamela Franklin,FALSE
1969,Oh! What a Lovely War,Mary Wimbush,FALSE
1970,"They Shoot Horses, Don't They?",Susannah York,TRUE
1970,Ryan's Daughter,Evin Crowley,FALSE
1970,Watermelon Man,Estelle Parsons,FALSE
1970,Airport,Maureen Stapleton,FALSE
1971,The Go-Between,Margaret Leighton,TRUE
1971,Deep End,Jane Asher,FALSE
1971,The Raging Moon,Georgia Brown,FALSE
1971,Taking Off,Georgia Engel,FALSE
1972,The Last Picture Show,Cloris Leachman,TRUE
1972,Cabaret,Marisa Berenson,FALSE
1972,The Last Picture Show,Eileen Brennan,FALSE
1972,The Poseidon Adventure,Shelley Winters,FALSE
1973,Day for Night,Valentina Cortese,TRUE
1973,That'll Be the Day,Rosemary Leach,FALSE
1973,The Day of the Jackal,Delphine Seyrig,FALSE
1973,Cries and Whispers,Ingrid Thulin,FALSE
1974,Murder on the Orient Express,Ingrid Bergman,TRUE
1974,"Summer Wishes, Winter Dreams",Sylvia Sidney,FALSE
1974,The Tamarind Seed,Sylvia Syms,FALSE
1974,American Graffiti,Cindy Williams,FALSE
1975,Alice Doesn't Live Here Anymore,Diane Ladd,TRUE
1975,Nashville,Ronee Blakley,FALSE
1975,Alice Doesn't Live Here Anymore,Lelia Goldoni,FALSE
1975,Nashville,Gwen Welles,FALSE
1976,Bugsy Malone Taxi Driver,Jodie Foster [A],TRUE
1976,The Slipper and the Rose,Annette Crosbie,FALSE
1976,The Homecoming,Vivien Merchant,FALSE
1976,The Omen,Billie Whitelaw,FALSE
1977,Equus,Jenny Agutter,TRUE
1977,Welcome to L.A.,Geraldine Chaplin,FALSE
1977,Equus,Joan Plowright,FALSE
1977,"Next Stop, Greenwich Village",Shelley Winters,FALSE
1978,Interiors,Geraldine Page,TRUE
1978,Death on the Nile,Angela Lansbury,FALSE
1978,Death on the Nile,Maggie Smith,FALSE
1978,Stevie,Mona Washbourne,FALSE
1979,Yanks,Rachel Roberts,TRUE
1979,The Europeans,Lisa Eichhorn,FALSE
1979,Manhattan,Mariel Hemingway,FALSE
1979,Manhattan,Meryl Streep,FALSE
1980,Not awarded,Not awarded,TRUE
1981,Not awarded,Not awarded,TRUE
1982,Gandhi,Rohini Hattangadi (TIE) [B],TRUE
1982,Reds,Maureen Stapleton (TIE) [B],FALSE
1982,Gandhi,Candice Bergen,FALSE
1982,On Golden Pond,Jane Fonda,FALSE
1983,Trading Places,Jamie Lee Curtis,TRUE
1983,Tootsie,Teri Garr,FALSE
1983,The Ploughman's Lunch,Rosemary Harris,FALSE
1983,Educating Rita,Maureen Lipman,FALSE
1984,A Private Function,Liz Smith,TRUE
1984,The Dresser,Eileen Atkins,FALSE
1984,Silkwood,Cher,FALSE
1984,Once Upon a Time in America,Tuesday Weld,FALSE
1985,Desperately Seeking Susan,Rosanna Arquette,TRUE
1985,Wetherby,Judi Dench,FALSE
1985,Prizzi's Honor,Anjelica Huston,FALSE
1985,Plenty,Tracey Ullman,FALSE
1986,A Room with a View,Judi Dench,TRUE
1986,After Hours,Rosanna Arquette,FALSE
1986,Hannah and Her Sisters,Barbara Hershey,FALSE
1986,A Room with a View,Rosemary Leach,FALSE
1987,Hope and Glory,Susan Wooldridge,TRUE
1987,84 Charing Cross Road,Judi Dench,FALSE
1987,Prick up Your Ears,Vanessa Redgrave,FALSE
1987,Radio Days,Dianne Wiest,FALSE
1988,A Handful of Dust,Judi Dench,TRUE
1988,A Fish Called Wanda,Maria Aitken,FALSE
1988,Fatal Attraction,Anne Archer,FALSE
1988,Moonstruck,Olympia Dukakis,FALSE
1989,Dangerous Liaisons,Michelle Pfeiffer,TRUE
1989,Madame Sousatzka,Peggy Ashcroft,FALSE
1989,"Sex, Lies, and Videotape",Laura San Giacomo,FALSE
1989,Working Girl,Sigourney Weaver,FALSE
1990,Ghost,Whoopi Goldberg,TRUE
1990,Crimes and Misdemeanors,Anjelica Huston,FALSE
1990,Steel Magnolias,Shirley MacLaine,FALSE
1990,The Krays,Billie Whitelaw,FALSE
1991,Frankie and Johnny,Kate Nelligan,TRUE
1991,The Grifters,Annette Bening,FALSE
1991,The Fisher King,Amanda Plummer,FALSE
1991,Stepping Out,Julie Walters,FALSE
1992,Damage,Miranda Richardson,TRUE
1992,Fried Green Tomatoes,Kathy Bates,FALSE
1992,Howards End,Helena Bonham Carter,FALSE
1992,The Crying Game,Miranda Richardson,TRUE
1993,The Age of Innocence,Miriam Margolyes,TRUE
1993,The Firm,Holly Hunter,FALSE
1993,The Age of Innocence,Winona Ryder,FALSE
1993,The Secret Garden,Maggie Smith,FALSE
1994,Four Weddings and a Funeral,Kristin Scott Thomas,TRUE
1994,Four Weddings and a Funeral,Charlotte Coleman,FALSE
1994,Forrest Gump,Sally Field,FALSE
1994,Manhattan Murder Mystery,Anjelica Huston,FALSE
1995,Sense and Sensibility,Kate Winslet,TRUE
1995,Nixon,Joan Allen,FALSE
1995,Mighty Aphrodite,Mira Sorvino,FALSE
1995,Sense and Sensibility,Elizabeth Spriggs,FALSE
1996,The English Patient,Juliette Binoche,TRUE
1996,The Mirror Has Two Faces,Lauren Bacall,FALSE
1996,Secrets & Lies,Marianne Jean-Baptiste,FALSE
1996,Shine,Lynn Redgrave,FALSE
1997,The Ice Storm,Sigourney Weaver,TRUE
1997,Wilde,Jennifer Ehle,FALSE
1997,The Full Monty,Lesley Sharp,FALSE
1997,Wilde,Zoe Wanamaker,FALSE
1998,Shakespeare in Love,Judi Dench,TRUE
1998,Primary Colors,Kathy Bates,FALSE
1998,Little Voice,Brenda Blethyn,FALSE
1998,Gods and Monsters,Lynn Redgrave,FALSE
1999,Tea with Mussolini,Maggie Smith,TRUE
1999,American Beauty,Thora Birch,FALSE
1999,The Talented Mr. Ripley,Cate Blanchett,FALSE
1999,Being John Malkovich,Cameron Diaz,FALSE
1999,American Beauty,Mena Suvari,FALSE
2000,Billy Elliot,Julie Walters,TRUE
2000,Chocolat,Judi Dench,FALSE
2000,Almost Famous,Frances McDormand,FALSE
2000,Chocolat,Lena Olin,FALSE
2000,"Crouching Tiger, Hidden Dragon",Ziyi Zhang,FALSE
2001,A Beautiful Mind,Jennifer Connelly,TRUE
2001,The Shipping News,Judi Dench,FALSE
2001,Gosford Park,Helen Mirren,FALSE
2001,Gosford Park,Maggie Smith,FALSE
2001,Iris,Kate Winslet,FALSE
2002,Chicago,Catherine Zeta-Jones,TRUE
2002,About a Boy,Toni Collette,FALSE
2002,The Hours,Julianne Moore,FALSE
2002,Chicago,Queen Latifah,FALSE
2002,Adaptation,Meryl Streep,FALSE
2003,Cold Mountain,Renée Zellweger,TRUE
2003,Thirteen,Holly Hunter,FALSE
2003,Mystic River,Laura Linney,FALSE
2003,Girl with a Pearl Earring,Judy Parfitt,FALSE
2003,Love Actually,Emma Thompson,FALSE
2004,The Aviator,Cate Blanchett,TRUE
2004,Finding Neverland,Julie Christie,FALSE
2004,Vera Drake,Heather Craney,FALSE
2004,Closer,Natalie Portman,FALSE
2004,The Manchurian Candidate,Meryl Streep,FALSE
2005,Crash,Thandiwe Newton,TRUE
2005,Pride & Prejudice,Brenda Blethyn,FALSE
