Year,Film,Nominee,Winner
1968,The Bofors Gun,Ian Holm,TRUE
1968,The Lion in Winter,Anthony Hopkins,FALSE
1968,Romeo and Juliet,John McEnery,FALSE
1968,No Way to Treat a Lady,George Segal,FALSE
1969,Oh! What a Lovely War,Laurence Olivier,TRUE
1969,"Goodbye, Columbus",Jack Klugman,FALSE
1969,Easy Rider,Jack Nicholson,FALSE
1969,Bullitt,Robert Vaughn,FALSE
1970,Kes,Colin Welland,TRUE
1970,The Railway Children,Bernard Cribbins,FALSE
1970,Ryan's Daughter,John Mills,FALSE
1970,"They Shoot Horses, Don't They?",Gig Young,FALSE
1971,The Go-Between,Edward Fox,TRUE
1971,The Go-Between,Michael Gough,FALSE
1971,Get Carter,Ian Hendry,FALSE
1971,10 Rillington Place,John Hurt,FALSE
1972,The Last Picture Show,Ben Johnson,TRUE
1972,The Boy Friend,Max Adrian (posthumous),FALSE
1972,The Godfather,Robert Duvall,FALSE
1972,Lady Caroline Lamb,Ralph Richardson,FALSE
1973,O Lucky Man!,Arthur Lowe,TRUE
1973,The Offence,Ian Bannen,FALSE
1973,A Doll's House,Denholm Elliott,FALSE
1973,The Day of the Jackal,Michael Lonsdale,FALSE
1974,Murder on the Orient Express,John Gielgud,TRUE
1974,Stardust,Adam Faith,FALSE
1974,Chinatown,John Huston,FALSE
1974,The Last Detail,Randy Quaid,FALSE
1975,The Towering Inferno,Fred Astaire,TRUE
1975,The Taking of Pelham One Two Three,Martin Balsam,FALSE
1975,The Day of the Locust,Burgess Meredith,FALSE
1975,Shampoo,Jack Warden,FALSE
1976,One Flew Over the Cuckoo's Nest,Brad Dourif,TRUE
1976,All the President's Men,Martin Balsam,FALSE
1976,The Slipper and the Rose,Michael Hordern,FALSE
1976,All the President's Men,Jason Robards,FALSE
1977,A Bridge Too Far,Edward Fox,TRUE
1977,Equus,Colin Blakely,FALSE
1977,Network,Robert Duvall,FALSE
1977,The Front,Zero Mostel,FALSE
1978,Midnight Express,John Hurt,TRUE
1978,Superman,Gene Hackman,FALSE
1978,Julia,Jason Robards,FALSE
1978,Close Encounters of the Third Kind,François Truffaut,FALSE
1979,Apocalypse Now,Robert Duvall,TRUE
1979,Saint Jack,Denholm Elliott,FALSE
