Year,Film,Nominee,Winner
1995,Braveheart,Mel Gibson,TRUE
1996,The English Patient,Anthony Minghella,TRUE
1997,Titanic,James Cameron,TRUE
1998,Saving Private Ryan,Steven Spielberg,TRUE
1999,American Beauty,Sam Mendes,TRUE
2000,Erin Brockovich,Steven Soderbergh,TRUE
2000,Traffic,Steven Soderbergh,TRUE
2000,Gladiator,Ridley Scott,FALSE
2001,A Beautiful Mind,Ron Howard (TIE),TRUE
2001,Moulin Rouge!,Baz Luhrmann (TIE),TRUE
2001,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,FALSE
2002,Catch Me If You Can,Steven Spielberg,TRUE
2002,Minority Report,Steven Spielberg,TRUE
2002,The Pianist,Roman Polanski,FALSE
2002,Gangs of New York,Martin Scorsese,FALSE
2003,The Lord of the Rings: The Return of the King,Peter Jackson,TRUE
2003,Big Fish,Tim Burton,FALSE
2003,Lost in Translation,Sofia Coppola,FALSE
2003,Mystic River,Clint Eastwood,FALSE
2003,In America,Jim Sheridan,FALSE
2004,The Aviator,Martin Scorsese,TRUE
2004,Million Dollar Baby,Clint Eastwood,FALSE
2004,Finding Neverland,Marc Forster,FALSE
2004,Ray,Taylor Hackford,FALSE
2004,Sideways,Alexander Payne,FALSE
2005,Brokeback Mountain,Ang Lee,TRUE
2005,"Good Night, and Good Luck",George Clooney,FALSE
2005,Crash,Paul Haggis,FALSE
2005,Cinderella Man,Ron Howard,FALSE
2005,Munich,Steven Spielberg,FALSE
2006,The Departed,Martin Scorsese,TRUE
2006,Dreamgirls,Bill Condon,FALSE
2006,Letters from Iwo Jima,Clint Eastwood,FALSE
2006,The Queen,Stephen Frears,FALSE
2006,United 93,Paul Greengrass,FALSE
2007,No Country for Old Men,Joel Coen and Ethan Coen,TRUE
2007,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,FALSE
2007,Into the Wild,Sean Penn,FALSE
2007,The Diving Bell and the Butterfly,Julian Schnabel,FALSE
2007,Atonement,Joe Wright,FALSE
2008,Slumdog Millionaire,Danny Boyle,TRUE
2008,The Curious Case of Benjamin Button,David Fincher,FALSE
2008,Frost/Nixon,Ron Howard,FALSE
2008,The Dark Knight,Christopher Nolan,FALSE
2008,Milk,Gus Van Sant,FALSE
2009,The Hurt Locker,Kathryn Bigelow,TRUE
2009,Avatar,James Cameron,FALSE
2009,Precious,Lee Daniels,FALSE
2009,Invictus,Clint Eastwood,FALSE
2009,Up in the Air,Jason Reitman,FALSE
2009,Inglourious Basterds,Quentin Tarantino,FALSE
2010,The Social Network,David Fincher,TRUE
2010,Black Swan,Darren Aronofsky,FALSE
2010,127 Hours,Danny Boyle,FALSE
2010,True Grit,Joel Coen and Ethan Coen,FALSE
2010,The King's Speech,Tom Hooper,FALSE
2010,Inception,Christopher Nolan,FALSE
2011,The Artist,Michel Hazanavicius,TRUE
2011,Extremely Loud & Incredibly Close,Stephen Daldry,FALSE
2011,The Descendants,Alexander Payne,FALSE
2011,Drive,Nicolas Winding Refn,FALSE
2011,Hugo,Martin Scorsese,FALSE
2011,War Horse,Steven Spielberg,FALSE
2012,Argo,Ben Affleck,TRUE
2012,Zero Dark Thirty,Kathryn Bigelow,FALSE
2012,Les Misérables,Tom Hooper,FALSE
2012,Life of Pi,Ang Lee,FALSE
2012,Silver Linings Playbook,David O. Russell,FALSE
2012,Lincoln,Steven Spielberg,FALSE
2013,Gravity,Alfonso Cuarón,TRUE
2013,Captain Phillips,Paul Greengrass,FALSE
2013,Her,Spike Jonze,FALSE
2013,12 Years a Slave,Steve McQueen,FALSE
2013,American Hustle,David O. Russell,FALSE
2013,The Wolf of Wall Street,Martin Scorsese,FALSE
2014,Boyhood,Richard Linklater,TRUE
2014,The Grand Budapest Hotel,Wes Anderson,FALSE
2014,Selma,Ava DuVernay,FALSE
2014,Gone Girl,David Fincher,FALSE
2014,Birdman,Alejandro G. Iñárritu,FALSE
2014,Unbroken,Angelina Jolie,FALSE
2015,Mad Max: Fury Road,George Miller,TRUE
2015,Carol,Todd Haynes,FALSE
2015,The Revenant,Alejandro G. Iñárritu,FALSE
2015,Spotlight,Tom McCarthy,FALSE
2015,The Martian,Ridley Scott,FALSE
2015,Bridge of Spies,Steven Spielberg,FALSE
2016,La La Land,Damien Chazelle,TRUE
2016,Hacksaw Ridge,Mel Gibson,FALSE
2016,Moonlight,Barry Jenkins,FALSE
2016,Manchester by the Sea,Kenneth Lonergan,FALSE
2016,Hell or High Water,David Mackenzie,FALSE
2016,Arrival,Denis Villeneuve,FALSE
2016,Fences,Denzel Washington,FALSE
2017,The Shape of Water,Guillermo del Toro,TRUE
2017,Lady Bird,Greta Gerwig,FALSE
2017,Call Me by Your Name,Luca Guadagnino,FALSE
2017,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,FALSE
2017,Dunkirk,Christopher Nolan,FALSE
2017,Get Out,Jordan Peele,FALSE
2017,The Post,Steven Spielberg,FALSE
2018,Roma,Alfonso Cuarón,TRUE
2018,First Man,Damien Chazelle,FALSE
2018,A Star Is Born,Bradley Cooper,FALSE
2018,Green Book,Peter Farrelly,FALSE
2018,The Favourite,Yorgos Lanthimos,FALSE
2018,BlacKkKlansman,Spike Lee,FALSE
2018,Vice,Adam McKay,FALSE
2019,Parasite,Bong Joon-ho (TIE),TRUE
2019,1917,Sam Mendes (TIE),TRUE
2019,Marriage Story,Noah Baumbach,FALSE
2019,Little Women,Greta Gerwig,FALSE
2019,Uncut Gems,Josh Safdie and Benny Safdie,FALSE
2019,The Irishman,Martin Scorsese,FALSE
2019,Once Upon a Time in Hollywood,Quentin Tarantino,FALSE
2020,Nomadland,Chloé Zhao,TRUE
2020,Minari,Lee Isaac Chung,FALSE
2020,Promising Young Woman,Emerald Fennell,FALSE
2020,Mank,David Fincher,FALSE
2020,One Night in Miami...,Regina King,FALSE
2020,Da 5 Bloods,Spike Lee,FALSE
2020,The Trial of the Chicago 7,Aaron Sorkin,FALSE
2021,The Power of the Dog,Jane Campion,TRUE
2021,Licorice Pizza,Paul Thomas Anderson,FALSE
2021,Belfast,Kenneth Branagh,FALSE
2021,Nightmare Alley,Guillermo del Toro,FALSE
2021,West Side Story,Steven Spielberg,FALSE
2021,Dune,Denis Villeneuve,FALSE
2022,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert,TRUE
2022,Avatar: The Way of Water,James Cameron,FALSE
2022,Babylon,Damien Chazelle,FALSE
2022,Tár,Todd Field,FALSE
2022,Elvis,Baz Luhrmann,FALSE
2022,The Banshees of Inisherin,Martin McDonagh,FALSE
2022,Women Talking,Sarah Polley,FALSE
2022,The Woman King,Gina Prince-Bythewood,FALSE
2022,RRR,S. S. Rajamouli,FALSE
2022,The Fabelmans,Steven Spielberg,FALSE
2023,Oppenheimer,Christopher Nolan,TRUE
2023,Maestro,Bradley Cooper,FALSE
2023,Barbie,Greta Gerwig,FALSE
2023,Poor Things,Yorgos Lanthimos,FALSE
2023,The Holdovers,Alexander Payne,FALSE
2023,Killers of the Flower Moon,Martin Scorsese,FALSE
2024,Wicked,Jon M. Chu,TRUE
2024,Emilia Pérez,Jacques Audiard,FALSE
2024,Anora,Sean Baker,FALSE
2024,Conclave,Edward Berger,FALSE
2024,The Brutalist,Brady Corbet,FALSE
2024,The Substance,Coralie Fargeat,FALSE
2024,Nickel Boys,RaMell Ross,FALSE
2024,Dune: Part Two,Denis Villeneuve,FALSE
