Year,Film,Nominee,Winner
1995,Sense and Sensibility,Emma Thompson,TRUE
1996,The English Patient,Anthony Minghella,TRUE
1997,Good Will Hunting,Matt Damon and Ben Affleck,TRUE
1998,Shakespeare in Love,Marc Norman and Tom Stoppard,TRUE
1999,American Beauty,Alan Ball,TRUE
2000,Almost Famous,Cameron Crowe,TRUE
2001,Memento,Christopher Nolan,TRUE
2001,The Man Who Wasn't There,Joel Coen and Ethan Coen,FALSE
2001,A Beautiful Mind,Akiva Goldsman,FALSE
2002,Adaptation. and Confessions of a Dangerous Mind,Charlie Kaufman,TRUE
2002,About Schmidt,Alexander Payne and Jim Taylor,FALSE
2002,My Big Fat Greek Wedding,Nia Vardalos,FALSE
2003,In America,"Jim Sheridan, Naomi Sheridan, and Kirsten Sheridan",TRUE
2003,Big Fish,John August,FALSE
2003,Lost in Translation,Sofia Coppola,FALSE
2003,Mystic River,Brian Helgeland,FALSE
2003,Seabiscuit,Gary Ross,FALSE
2004,Sideways,Alexander Payne and Jim Taylor,TRUE
2004,Kinsey,Bill Condon,FALSE
2004,Eternal Sunshine of the Spotless Mind,Charlie Kaufman,FALSE
2004,The Aviator,John Logan,FALSE
2004,Finding Neverland,David Magee,FALSE
2005,Crash,Paul Haggis and Bobby Moresco,TRUE
2005,The Squid and the Whale,Noah Baumbach,FALSE
2005,"Good Night, and Good Luck.",George Clooney and Grant Heslov,FALSE
2005,Capote,Dan Futterman,FALSE
2005,Brokeback Mountain,Larry McMurtry and Diana Ossana,FALSE
2006,Little Miss Sunshine,Michael Arndt,TRUE
2006,Babel,Guillermo Arriaga,FALSE
2006,Little Children,Todd Field and Tom Perrotta,FALSE
2006,Stranger than Fiction,Zach Helm,FALSE
2006,The Departed,William Monahan,FALSE
2006,The Queen,Peter Morgan,FALSE
2007,Juno,Diablo Cody,TRUE
2007,No Country for Old Men,Joel Coen and Ethan Coen,FALSE
2007,Michael Clayton,Tony Gilroy,FALSE
2007,Lars and the Real Girl,Nancy Oliver,FALSE
2007,Into the Wild,Sean Penn,FALSE
2007,Charlie Wilson's War,Aaron Sorkin,FALSE
2008,Slumdog Millionaire,Simon Beaufoy,TRUE
2008,Milk,Dustin Lance Black,FALSE
2008,Frost/Nixon,Peter Morgan,FALSE
2008,The Curious Case of Benjamin Button,Eric Roth,FALSE
2008,Doubt,John Patrick Shanley,FALSE
2009,Inglourious Basterds,Quentin Tarantino,TRUE
2009,The Hurt Locker,Mark Boal,FALSE
2009,A Serious Man,Joel Coen and Ethan Coen,FALSE
2009,(500) Days of Summer,Scott Neustadter and Michael H. Weber,FALSE
2009,Up,Bob Peterson and Pete Docter,FALSE
2010,The King's Speech,David Seidler,TRUE
2010,The Kids Are All Right,Lisa Cholodenko and Stuart Blumberg,FALSE
2010,Black Swan,"Mark Heyman, Andres Heinz, and John McLaughlin",FALSE
2010,Another Year,Mike Leigh,FALSE
2010,Inception,Christopher Nolan,FALSE
2010,The Fighter,"Scott Silver, Eric Johnson, Paul Tamasy, and Keith Dorrington",FALSE
2011,Midnight in Paris,Woody Allen,TRUE
2011,Young Adult,Diablo Cody,FALSE
2011,The Artist,Michel Hazanavicius,FALSE
2011,Win Win,Tom McCarthy and Joe Tiboni,FALSE
2011,50/50,Will Reiser,FALSE
2012,Django Unchained,Quentin Tarantino,TRUE
2012,The Master,Paul Thomas Anderson,FALSE
2012,Moonrise Kingdom,Wes Anderson and Roman Coppola,FALSE
2012,Zero Dark Thirty,Mark Boal,FALSE
2012,Flight,John Gatins,FALSE
2012,Looper,Rian Johnson,FALSE
2013,Her,Spike Jonze,TRUE
2013,Blue Jasmine,Woody Allen,FALSE
2013,Inside Llewyn Davis,Joel Coen and Ethan Coen,FALSE
2013,Nebraska,Bob Nelson,FALSE
2013,American Hustle,Eric Warren Singer and David O. Russell,FALSE
2014,Birdman,"Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris Jr., and Armando Bó",TRUE
2014,The Grand Budapest Hotel,Wes Anderson and Hugo Guinness,FALSE
2014,Whiplash,Damien Chazelle,FALSE
2014,Nightcrawler,Dan Gilroy,FALSE
2014,Boyhood,Richard Linklater,FALSE
2015,Spotlight,Tom McCarthy and Josh Singer,TRUE
2015,Bridge of Spies,"Matt Charman, Ethan Coen, and Joel Coen",FALSE
2015,Inside Out,"Pete Docter, Meg LeFauve, and Josh Cooley",FALSE
2015,Ex Machina,Alex Garland,FALSE
2015,The Hateful Eight,Quentin Tarantino,FALSE
2016,La La Land,Damien Chazelle (TIE),TRUE
2016,Manchester by the Sea,Kenneth Lonergan (TIE),TRUE
2016,The Lobster,Efthimis Filippou and Yorgos Lanthimos,FALSE
2016,Moonlight,Barry Jenkins,FALSE
2016,Loving,Jeff Nichols,FALSE
2016,Hell or High Water,Taylor Sheridan,FALSE
2017,Get Out,Jordan Peele,TRUE
2017,The Shape of Water,Guillermo del Toro and Vanessa Taylor,FALSE
2017,Lady Bird,Greta Gerwig,FALSE
2017,The Big Sick,Emily V. Gordon and Kumail Nanjiani,FALSE
2017,The Post,Liz Hannah and Josh Singer,FALSE
2017,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,FALSE
2018,First Reformed,Paul Schrader,TRUE
2018,Eighth Grade,Bo Burnham,FALSE
2018,Roma,Alfonso Cuarón,FALSE
2018,The Favourite,Deborah Davis and Tony McNamara,FALSE
2018,Vice,Adam McKay,FALSE
2018,Green Book,"Nick Vallelonga, Brian Hayes Currie, and Peter Farrelly",FALSE
2018,A Quiet Place,"Bryan Woods, Scott Beck, and John Krasinski",FALSE
2019,Once Upon a Time in Hollywood,Quentin Tarantino,TRUE
2019,Marriage Story,Noah Baumbach,FALSE
2019,Parasite,Bong Joon-ho and Han Jin-won,FALSE
2019,Knives Out,Rian Johnson,FALSE
2019,The Farewell,Lulu Wang,FALSE
2020,Promising Young Woman,Emerald Fennell,TRUE
2020,Minari,Lee Isaac Chung,FALSE
2020,Mank,Jack Fincher (posthumous),FALSE
2020,Never Rarely Sometimes Always,Eliza Hittman,FALSE
2020,Sound of Metal,Darius Marder and Abraham Marder,FALSE
2020,The Trial of the Chicago 7,Aaron Sorkin,FALSE
2021,Belfast,Kenneth Branagh,TRUE
2021,Licorice Pizza,Paul Thomas Anderson,FALSE
2021,King Richard,Zach Baylin,FALSE
2021,Don't Look Up,Adam McKay and David Sirota,FALSE
2021,Being the Ricardos,Aaron Sorkin,FALSE
2022,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert,TRUE
2022,Tár,Todd Field,FALSE
2022,The Banshees of Inisherin,Martin McDonagh,FALSE
2022,The Fabelmans,Steven Spielberg and Tony Kushner,FALSE
2022,Aftersun,Charlotte Wells,FALSE
2023,Barbie,Greta Gerwig and Noah Baumbach,TRUE
2023,May December,Samy Burch,FALSE
2023,Air,Alex Convery,FALSE
2023,Maestro,Bradley Cooper and Josh Singer,FALSE
2023,The Holdovers,David Hemingson,FALSE
2023,Past Lives,Celine Song,FALSE
2024,The Substance,Coralie Fargeat,TRUE
2024,Anora,Sean Baker,FALSE
2024,September 5,"Moritz Binder, Tim Fehlbaum, and Alex David",FALSE
2024,The Brutalist,Brady Corbet and Mona Fastvold,FALSE
