Year,Film,Nominee,Winner
1995,Sense and Sensibility,Ang Lee,TRUE
1996,Fargo,Joel Coen and Ethan Coen,TRUE
1996,Big Night,Campbell Scott and Stanley Tucci,FALSE
1996,The Crucible,Nicholas Hytner,FALSE
1996,The English Patient,Anthony Minghella,FALSE
1996,Evita,Alan Parker,FALSE
1996,Hamlet,Kenneth Branagh,FALSE
1996,Jerry Maguire,Cameron Crowe,FALSE
1996,Lone Star,John Sayles,FALSE
1996,The People vs. Larry Flynt,Miloš Forman,FALSE
1996,Shine,Scott Hicks,FALSE
1997,L.A. Confidential,Curtis Hanson,TRUE
1997,Amistad,Steven Spielberg,FALSE
1997,As Good as It Gets,James L. Brooks,FALSE
1997,Boogie Nights,Paul Thomas Anderson,FALSE
1997,Donnie Brasco,Mike Newell,FALSE
1997,Good Will Hunting,Gus Van Sant,FALSE
1997,The Full Monty,Peter Cattaneo,FALSE
1997,Titanic,James Cameron,FALSE
1997,Wag the Dog,Barry Levinson,FALSE
1997,The Wings of the Dove,Iain Softley,FALSE
1998,Saving Private Ryan,Steven Spielberg,TRUE
1998,Elizabeth,Shekhar Kapur,FALSE
1998,Gods and Monsters,Bill Condon,FALSE
1998,Life Is Beautiful,Roberto Benigni,FALSE
1998,Out of Sight,Steven Soderbergh,FALSE
1998,Pleasantville,Gary Ross,FALSE
1998,Shakespeare in Love,John Madden,FALSE
1998,A Simple Plan,Sam Raimi,FALSE
1998,The Thin Red Line,Terrence Malick,FALSE
1998,The Truman Show,Peter Weir,FALSE
1999,American Beauty,Sam Mendes,TRUE
1999,Being John Malkovich,Spike Jonze,FALSE
1999,The Cider House Rules,Lasse Hallström,FALSE
1999,The Green Mile,Frank Darabont,FALSE
1999,The Insider,Michael Mann,FALSE
1999,Magnolia,Paul Thomas Anderson,FALSE
1999,Man on the Moon,Miloš Forman,FALSE
1999,The Sixth Sense,M. Night Shyamalan,FALSE
1999,The Talented Mr. Ripley,Anthony Minghella,FALSE
1999,Three Kings,David O. Russell,FALSE
2000,Gladiator,Ridley Scott,TRUE
2000,Almost Famous,Cameron Crowe,FALSE
2000,Billy Elliot,Stephen Daldry,FALSE
2000,Cast Away,Robert Zemeckis,FALSE
2000,"Crouching Tiger, Hidden Dragon",Ang Lee,FALSE
2000,Erin Brockovich,Steven Soderbergh,FALSE
2000,Quills,Philip Kaufman,FALSE
2000,Thirteen Days,Roger Donaldson,FALSE
2000,Traffic,Steven Soderbergh,FALSE
2000,Wonder Boys,Curtis Hanson,FALSE
2000,You Can Count on Me,Kenneth Lonergan,FALSE
2001,A Beautiful Mind,Ron Howard,TRUE
2001,Ali,Michael Mann,FALSE
2001,In the Bedroom,Todd Field,FALSE
2001,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,FALSE
2001,The Man Who Wasn't There,Joel Coen,FALSE
2001,Memento,Christopher Nolan,FALSE
2001,Moulin Rouge!,Baz Luhrmann,FALSE
2001,Mulholland Drive,David Lynch,FALSE
2001,The Shipping News,Lasse Hallström,FALSE
2001,Shrek,Andrew Adamson and Vicky Jenson,FALSE
2002,Chicago,Rob Marshall,TRUE
2002,About Schmidt,Alexander Payne,FALSE
2002,Adaptation.,Spike Jonze,FALSE
2002,Catch Me If You Can,Steven Spielberg,FALSE
2002,Far from Heaven,Todd Haynes,FALSE
2002,Gangs of New York,Martin Scorsese,FALSE
2002,The Hours,Stephen Daldry,FALSE
2002,The Lord of the Rings: The Two Towers,Peter Jackson,FALSE
2002,The Pianist,Roman Polanski,FALSE
2002,Road to Perdition,Sam Mendes,FALSE
2003,The Lord of the Rings: The Return of the King,Peter Jackson,TRUE
2003,Big Fish,Tim Burton,FALSE
2003,Cold Mountain,Anthony Minghella,FALSE
2003,Finding Nemo,Andrew Stanton,FALSE
2003,In America,Jim Sheridan,FALSE
2003,The Last Samurai,Edward Zwick,FALSE
2003,Lost in Translation,Sofia Coppola,FALSE
2003,Master and Commander: The Far Side of the World,Peter Weir,FALSE
2003,Mystic River,Clint Eastwood,FALSE
2003,Seabiscuit,Gary Ross,FALSE
2004,Sideways,Alexander Payne,TRUE
2004,The Aviator,Martin Scorsese,FALSE
2004,Collateral,Michael Mann,FALSE
2004,Eternal Sunshine of the Spotless Mind,Michel Gondry,FALSE
2004,Finding Neverland,Marc Forster,FALSE
2004,Hotel Rwanda,Terry George,FALSE
2004,Kinsey,Bill Condon,FALSE
2004,Million Dollar Baby,Clint Eastwood,FALSE
2004,The Phantom of the Opera,Joel Schumacher,FALSE
2004,Ray,Taylor Hackford,FALSE
2005,Brokeback Mountain,Ang Lee,TRUE
2005,Capote,Bennett Miller,FALSE
2005,Cinderella Man,Ron Howard,FALSE
2005,The Constant Gardener,Fernando Meirelles,FALSE
2005,Crash,Paul Haggis,FALSE
2005,"Good Night, and Good Luck.",George Clooney,FALSE
2005,King Kong,Peter Jackson,FALSE
2005,Memoirs of a Geisha,Rob Marshall,FALSE
2005,Munich,Steven Spielberg,FALSE
2005,Walk the Line,James Mangold,FALSE
2006,The Departed,Martin Scorsese,TRUE
2006,Babel,Alejandro González Iñárritu,FALSE
2006,Blood Diamond,Edward Zwick,FALSE
2006,Dreamgirls,Bill Condon,FALSE
2006,Letters from Iwo Jima,Clint Eastwood,FALSE
2006,Little Children,Todd Field,FALSE
2006,Little Miss Sunshine,Jonathan Dayton and Valerie Faris,FALSE
2006,Notes on a Scandal,Richard Eyre,FALSE
2006,The Queen,Stephen Frears,FALSE
2006,United 93,Paul Greengrass,FALSE
2007,No Country for Old Men,Joel Coen and Ethan Coen,TRUE
2007,American Gangster,Ridley Scott,FALSE
2007,Atonement,Joe Wright,FALSE
2007,The Diving Bell and the Butterfly,Julian Schnabel,FALSE
2007,Into the Wild,Sean Penn,FALSE
2007,Juno,Jason Reitman,FALSE
2007,The Kite Runner,Marc Forster,FALSE
2007,Michael Clayton,Tony Gilroy,FALSE
2007,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,FALSE
2007,There Will Be Blood,Paul Thomas Anderson,FALSE
2008,Slumdog Millionaire,Danny Boyle,TRUE
2008,Changeling,Clint Eastwood,FALSE
2008,The Curious Case of Benjamin Button,David Fincher,FALSE
2008,The Dark Knight,Christopher Nolan,FALSE
2008,Doubt,John Patrick Shanley,FALSE
2008,Frost/Nixon,Ron Howard,FALSE
2008,Milk,Gus Van Sant,FALSE
2008,The Reader,Stephen Daldry,FALSE
2008,WALL-E,Andrew Stanton,FALSE
2008,The Wrestler,Darren Aronofsky,FALSE
2009,The Hurt Locker,Kathryn Bigelow,TRUE
2009,Avatar,James Cameron,FALSE
