Year,Film,Nominee,Winner
1995,Murder in the First,Kevin Bacon,TRUE
1996,Shine,Geoffrey Rush,TRUE
1997,As Good as It Gets,Jack Nicholson,TRUE
1998,Gods and Monsters,Ian McKellen,TRUE
1999,The Insider,Russell Crowe,TRUE
2000,Gladiator,Russell Crowe,TRUE
2001,A Beautiful Mind,Russell Crowe,TRUE
2001,I Am Sam,Sean Penn,FALSE
2001,Ali,Will Smith,FALSE
2002,Gangs of New York,Daniel Day-Lewis (TIE),TRUE
2002,About Schmidt,Jack Nicholson (TIE),TRUE
2002,One Hour Photo,Robin Williams,FALSE
2003,Mystic River,Sean Penn,TRUE
2003,Master and Commander: The Far Side of the World,Russell Crowe,FALSE
2003,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,FALSE
2003,House of Sand and Fog,Ben Kingsley,FALSE
2003,Lost in Translation,Bill Murray,FALSE
2004,Ray,Jamie Foxx,TRUE
2004,The Sea Inside,Javier Bardem,FALSE
2004,Hotel Rwanda,Don Cheadle,FALSE
2004,Finding Neverland,Johnny Depp,FALSE
2004,The Aviator,Leonardo DiCaprio,FALSE
2004,Sideways,Paul Giamatti,FALSE
2005,Capote,Philip Seymour Hoffman,TRUE
2005,Cinderella Man,Russell Crowe,FALSE
2005,Hustle & Flow,Terrence Howard,FALSE
2005,Brokeback Mountain,Heath Ledger,FALSE
2005,Walk the Line,Joaquin Phoenix,FALSE
2005,"Good Night, and Good Luck",David Strathairn,FALSE
2006,The Last King of Scotland,Forest Whitaker,TRUE
2006,Blood Diamond,Leonardo DiCaprio,FALSE
2006,The Departed,Leonardo DiCaprio,FALSE
2006,Half Nelson,Ryan Gosling,FALSE
2006,Venus,Peter O'Toole,FALSE
2006,The Pursuit of Happyness,Will Smith,FALSE
2007,There Will Be Blood,Daniel Day-Lewis,TRUE
2007,Michael Clayton,George Clooney,FALSE
2007,Sweeney Todd: The Demon Barber of Fleet Street,Johnny Depp,FALSE
2007,Lars and the Real Girl,Ryan Gosling,FALSE
2007,Into the Wild,Emile Hirsch,FALSE
2007,Eastern Promises,Viggo Mortensen,FALSE
2008,Milk,Sean Penn,TRUE
2008,Gran Torino,Clint Eastwood,FALSE
2008,The Visitor,Richard Jenkins,FALSE
2008,Frost/Nixon,Frank Langella,FALSE
2008,The Curious Case of Benjamin Button,Brad Pitt,FALSE
2008,The Wrestler,Mickey Rourke,FALSE
2009,Crazy Heart,Jeff Bridges,TRUE
2009,Up in the Air,George Clooney,FALSE
2009,A Single Man,Colin Firth,FALSE
2009,Invictus,Morgan Freeman,FALSE
2009,The Road,Viggo Mortensen,FALSE
2009,The Hurt Locker,Jeremy Renner,FALSE
2010,The King's Speech,Colin Firth,TRUE
2010,True Grit,Jeff Bridges,FALSE
2010,Get Low,Robert Duvall,FALSE
2010,The Social Network,Jesse Eisenberg,FALSE
2010,127 Hours,James Franco,FALSE
2010,Blue Valentine,Ryan Gosling,FALSE
2011,The Descendants,George Clooney,TRUE
2011,J. Edgar,Leonardo DiCaprio,FALSE
2011,The Artist,Jean Dujardin,FALSE
2011,Shame,Michael Fassbender,FALSE
2011,Drive,Ryan Gosling,FALSE
2011,Moneyball,Brad Pitt,FALSE
2012,Lincoln,Daniel Day-Lewis,TRUE
2012,Silver Linings Playbook,Bradley Cooper,FALSE
2012,The Sessions,John Hawkes,FALSE
2012,Les Misérables,Hugh Jackman,FALSE
2012,The Master,Joaquin Phoenix,FALSE
2012,Flight,Denzel Washington,FALSE
2013,Dallas Buyers Club,Matthew McConaughey,TRUE
2013,American Hustle,Christian Bale,FALSE
2013,Nebraska,Bruce Dern,FALSE
2013,12 Years a Slave,Chiwetel Ejiofor,FALSE
