Year,Film,Nominee,Winner
1995,Mighty Aphrodite,Mira Sorvino,TRUE
1996,The Crucible,Joan Allen,TRUE
1997,In & Out,Joan Cusack,TRUE
1998,Pleasantville,Joan Allen (TIE),TRUE
1998,Primary Colors,Kathy Bates (TIE),TRUE
1999,"Girl, Interrupted",Angelina Jolie,TRUE
2000,Almost Famous / Wonder Boys,Frances McDormand,TRUE
2001,A Beautiful Mind,Jennifer Connelly,TRUE
2001,Vanilla Sky,Cameron Diaz,FALSE
2001,In the Bedroom,Marisa Tomei,FALSE
2002,Chicago,Catherine Zeta-Jones,TRUE
2002,About Schmidt,Kathy Bates,FALSE
2002,Adaptation.,Meryl Streep,FALSE
2003,Cold Mountain,Renée Zellweger,TRUE
2003,Pieces of April,Patricia Clarkson,FALSE
2003,Mystic River,Marcia Gay Harden,FALSE
2003,Thirteen,Holly Hunter,FALSE
2003,Lost in Translation,Scarlett Johansson,FALSE
2004,Sideways,Virginia Madsen,TRUE
2004,The Aviator,Cate Blanchett,FALSE
2004,Kinsey,Laura Linney,FALSE
2004,Closer,Natalie Portman,FALSE
2004,Finding Neverland,Kate Winslet,FALSE
2005,Junebug,Amy Adams (TIE),TRUE
2005,Brokeback Mountain,Michelle Williams (TIE),TRUE
2005,A History of Violence,Maria Bello,FALSE
2005,Capote,Catherine Keener,FALSE
2005,North Country,Frances McDormand,FALSE
2005,The Constant Gardener,Rachel Weisz,FALSE
2006,Dreamgirls,Jennifer Hudson,TRUE
2006,Babel,Adriana Barraza,FALSE
2006,Babel,Rinko Kikuchi,FALSE
2006,Notes on a Scandal,Cate Blanchett,FALSE
2006,For Your Consideration,Catherine O'Hara,FALSE
2006,Stranger than Fiction,Emma Thompson,FALSE
2007,Gone Baby Gone,Amy Ryan,TRUE
2007,I'm Not There,Cate Blanchett,FALSE
2007,Into the Wild,Catherine Keener,FALSE
2007,Atonement,Vanessa Redgrave,FALSE
2007,Michael Clayton,Tilda Swinton,FALSE
2008,The Reader,Kate Winslet,TRUE
2008,Vicky Cristina Barcelona,Penélope Cruz,FALSE
2008,Doubt,Viola Davis,FALSE
2008,Nothing but the Truth,Vera Farmiga,FALSE
2008,The Curious Case of Benjamin Button,Taraji P. Henson,FALSE
2008,The Wrestler,Marisa Tomei,FALSE
2009,Precious,Mo'Nique,TRUE
2009,Up in the Air,Vera Farmiga,FALSE
2009,Up in the Air,Anna Kendrick,FALSE
2009,Nine,Marion Cotillard,FALSE
2009,A Single Man,Julianne Moore,FALSE
2009,The Messenger,Samantha Morton,FALSE
2010,The Fighter,Melissa Leo,TRUE
2010,The King's Speech,Helena Bonham Carter,FALSE
2010,Black Swan,Mila Kunis,FALSE
2010,The Fighter,Amy Adams,FALSE
2010,True Grit,Hailee Steinfeld,FALSE
2010,Animal Kingdom,Jacki Weaver,FALSE
2011,The Help,Octavia Spencer,TRUE
2011,The Help,Jessica Chastain,FALSE
2011,The Artist,Bérénice Bejo,FALSE
2011,Shame,Carey Mulligan,FALSE
2011,Bridesmaids,Melissa McCarthy,FALSE
2011,The Descendants,Shailene Woodley,FALSE
2012,Les Misérables,Anne Hathaway,TRUE
2012,The Master,Amy Adams,FALSE
2012,Skyfall,Judi Dench,FALSE
2012,Compliance,Ann Dowd,FALSE
2012,Lincoln,Sally Field,FALSE
2012,The Sessions,Helen Hunt,FALSE
2013,12 Years a Slave,Lupita Nyong'o,TRUE
2013,Her,Scarlett Johansson,FALSE
2013,American Hustle,Jennifer Lawrence,FALSE
2013,August: Osage County,Julia Roberts,FALSE
2013,Nebraska,June Squibb,FALSE
2013,The Butler,Oprah Winfrey,FALSE
2014,Boyhood,Patricia Arquette,TRUE
2014,A Most Violent Year,Jessica Chastain,FALSE
2014,The Imitation Game,Keira Knightley,FALSE
2014,Birdman,Emma Stone,FALSE
2014,Into the Woods,Meryl Streep,FALSE
2014,Snowpiercer,Tilda Swinton,FALSE
2015,The Danish Girl,Alicia Vikander,TRUE
2015,The Hateful Eight,Jennifer Jason Leigh,FALSE
2015,Carol,Rooney Mara,FALSE
2015,Spotlight,Rachel McAdams,FALSE
2015,Trumbo,Helen Mirren,FALSE
2015,Steve Jobs,Kate Winslet,FALSE
2016,Fences,Viola Davis,TRUE
2016,20th Century Women,Greta Gerwig,FALSE
2016,Moonlight,Naomie Harris,FALSE
2016,Lion,Nicole Kidman,FALSE
2016,Hidden Figures,Janelle Monáe,FALSE
2016,Manchester by the Sea,Michelle Williams,FALSE
2017,"I, Tonya",Allison Janney,TRUE
2017,Mudbound,Mary J. Blige,FALSE
2017,Downsizing,Hong Chau,FALSE
2017,Girls Trip,Tiffany Haddish,FALSE
2017,The Big Sick,Holly Hunter,FALSE
2017,Lady Bird,Laurie Metcalf,FALSE
2017,The Shape of Water,Octavia Spencer,FALSE
2018,If Beale Street Could Talk,Regina King,TRUE
2018,The Favourite,Emma Stone,FALSE
2018,The Favourite,Rachel Weisz,FALSE
