Year,Film,Nominee,Winner
1995,Apollo 13,Ed Harris (TIE),TRUE
1995,The Usual Suspects,Kevin Spacey (TIE),TRUE
1996,Jerry Maguire,Cuba Gooding Jr.,TRUE
1997,Amistad,Anthony Hopkins,TRUE
1998,A Simple Plan,Billy Bob Thornton,TRUE
1999,The Green Mile,Michael Clarke Duncan,TRUE
2000,Gladiator / Quills / The Yards,Joaquin Phoenix,TRUE
2001,Sexy Beast,Ben Kingsley,TRUE
2001,Iris,Jim Broadbent,FALSE
2001,Ali,Jon Voight,FALSE
2002,Adaptation.,Chris Cooper,TRUE
2002,Frida,Alfred Molina,FALSE
2002,Road to Perdition,Paul Newman,FALSE
2003,Mystic River,Tim Robbins,TRUE
2003,The Cooler,Alec Baldwin,FALSE
2003,Master and Commander: The Far Side of the World,Paul Bettany,FALSE
2003,21 Grams,Benicio del Toro,FALSE
2003,The Last Samurai,Ken Watanabe,FALSE
2004,Sideways,Thomas Haden Church,TRUE
2004,Collateral,Jamie Foxx,FALSE
2004,Million Dollar Baby,Morgan Freeman,FALSE
2004,Closer,Clive Owen,FALSE
2004,Kinsey,Peter Sarsgaard,FALSE
2005,Cinderella Man,Paul Giamatti,TRUE
2005,Crash,Matt Dillon,FALSE
2005,Crash,Terrence Howard,FALSE
2005,Syriana,George Clooney,FALSE
2005,The Upside of Anger,Kevin Costner,FALSE
2005,Brokeback Mountain,Jake Gyllenhaal,FALSE
2006,Dreamgirls,Eddie Murphy,TRUE
2006,Hollywoodland,Ben Affleck,FALSE
2006,Little Miss Sunshine,Alan Arkin,FALSE
2006,Flags of Our Fathers,Adam Beach,FALSE
2006,Blood Diamond,Djimon Hounsou,FALSE
2006,The Departed,Jack Nicholson,FALSE
2007,No Country for Old Men,Javier Bardem,TRUE
2007,The Assassination of Jesse James by the Coward Robert Ford,Casey Affleck,FALSE
2007,Charlie Wilson's War,Philip Seymour Hoffman,FALSE
2007,Into the Wild,Hal Holbrook,FALSE
2007,Michael Clayton,Tom Wilkinson,FALSE
2008,The Dark Knight,Heath Ledger (posthumously),TRUE
2008,Milk,Josh Brolin,FALSE
2008,Milk,James Franco,FALSE
2008,Tropic Thunder,Robert Downey Jr.,FALSE
2008,Doubt,Philip Seymour Hoffman,FALSE
2009,Inglourious Basterds,Christoph Waltz,TRUE
2009,Invictus,Matt Damon,FALSE
2009,The Messenger,Woody Harrelson,FALSE
2009,Me and Orson Welles,Christian McKay,FALSE
2009,An Education,Alfred Molina,FALSE
2009,The Lovely Bones,Stanley Tucci,FALSE
2010,The Fighter,Christian Bale,TRUE
2010,The Social Network,Andrew Garfield,FALSE
2010,The Town,Jeremy Renner,FALSE
