Year,Film,Nominee,Winner
1948,A Letter to Three Wives,Joseph L. Mankiewicz,TRUE
1948,Red River,Howard Hawks,FALSE
1948,The Snake Pit,Anatole Litvak,FALSE
1948,The Search,Fred Zinnemann,FALSE
1949,All the King's Men,Robert Rossen,TRUE
1949,The Third Man,Carol Reed,FALSE
1949,Champion,Mark Robson,FALSE
1949,Lost Boundaries,Alfred L. Werker,FALSE
1950,All About Eve,Joseph L. Mankiewicz,TRUE
1950,The Asphalt Jungle,John Huston,FALSE
1950,Father's Little Dividend,Vincente Minnelli,FALSE
1950,Sunset Boulevard,Billy Wilder,FALSE
1951,A Place in the Sun,George Stevens,TRUE
1951,Death of a Salesman,László Benedek,FALSE
1951,Cyrano de Bergerac,Michael Gordon,FALSE
1951,Strangers on a Train,Alfred Hitchcock,FALSE
1951,A Streetcar Named Desire,Elia Kazan,FALSE
1951,David and Bathsheba,Henry King,FALSE
1951,Quo Vadis,Mervyn LeRoy,FALSE
1951,Decision Before Dawn,Anatole Litvak,FALSE
1951,An American in Paris,Vincente Minnelli,FALSE
1951,Show Boat,George Sidney,FALSE
1951,The Great Caruso,Richard Thorpe,FALSE
1951,Detective Story,William Wyler,FALSE
1952,The Quiet Man,John Ford,TRUE
1952,The Lavender Hill Mob,Charles Crichton,FALSE
1952,Pat and Mike,George Cukor,FALSE
1952,I'll See You in My Dreams,Michael Curtiz,FALSE
1952,The Greatest Show on Earth,Cecil B. DeMille,FALSE
1952,My Six Convicts,Hugo Fregonese,FALSE
1952,The Big Sky,Howard Hawks,FALSE
1952,Viva Zapata!,Elia Kazan,FALSE
1952,Singin' in the Rain,Gene Kelly and Stanley Donen,FALSE
1952,The Snows of Kilimanjaro,Henry King,FALSE
1952,Rashomon,Akira Kurosawa,FALSE
1952,Pandora and the Flying Dutchman,Albert Lewin,FALSE
1952,5 Fingers,Joseph L. Mankiewicz,FALSE
1952,The Bad and the Beautiful,Vincente Minnelli,FALSE
1952,Scaramouche,George Sidney,FALSE
1952,Ivanhoe,Richard Thorpe,FALSE
1952,Hans Christian Andersen,Charles Vidor,FALSE
1952,High Noon,Fred Zinnemann,FALSE
1953,From Here to Eternity,Fred Zinnemann,TRUE
1953,Above and Beyond,Melvin Frank and Norman Panama,FALSE
1953,The Robe,Henry Koster,FALSE
1953,Call Me Madam,Walter Lang,FALSE
1953,Julius Caesar,Joseph L. Mankiewicz,FALSE
1953,"Come Back, Little Sheba",Daniel Mann,FALSE
1953,Titanic,Jean Negulesco,FALSE
1953,Young Bess,George Sidney,FALSE
1953,Shane,George Stevens,FALSE
1953,Lili,Charles Walters,FALSE
1953,Stalag 17,Billy Wilder,FALSE
1953,Roman Holiday,William Wyler,FALSE
1954,On the Waterfront,Elia Kazan,TRUE
1954,A Star Is Born,George Cukor,FALSE
1954,The Caine Mutiny,Edward Dmytryk,FALSE
1954,Seven Brides for Seven Brothers,Stanley Donen,FALSE
1954,Knock on Wood,Melvin Frank and Norman Panama,FALSE
1954,Hell and High Water,Samuel Fuller,FALSE
