Year,Film,Nominee,Winner
1943,The Song of Bernadette,Henry King,TRUE
1944,Going My Way,Leo McCarey,TRUE
1945,The Lost Weekend,Billy Wilder,TRUE
1946,It's a Wonderful Life,Frank Capra,TRUE
1947,Gentleman's Agreement,Elia Kazan,TRUE
1948,The Treasure of the Sierra Madre,John Huston,TRUE
1949,All the King's Men,Robert Rossen,TRUE
1950,Sunset Boulevard,Billy Wilder,TRUE
1950,All About Eve,Joseph L. Mankiewicz,FALSE
1950,The Asphalt Jungle,John Huston,FALSE
1950,Born Yesterday,George Cukor,FALSE
1951,Death of a Salesman,László Benedek,TRUE
1951,An American in Paris,Vincente Minnelli,FALSE
1951,A Place in the Sun,George Stevens,FALSE
1952,The Greatest Show on Earth,Cecil B. DeMille,TRUE
1952,The Happy Time,Richard Fleischer,FALSE
1952,The Quiet Man,John Ford,FALSE
1953,From Here to Eternity[9],Fred Zinnemann,TRUE
1954,On the Waterfront[10],Elia Kazan,TRUE
1955,Picnic[11],Joshua Logan,TRUE
1956,Baby Doll,Elia Kazan,TRUE
1956,Around the World in 80 Days,Michael Anderson,FALSE
1956,Giant,George Stevens,FALSE
1956,Lust for Life,Vincente Minnelli,FALSE
1956,War and Peace,King Vidor,FALSE
1957,The Bridge on the River Kwai,David Lean,TRUE
1957,12 Angry Men,Sidney Lumet,FALSE
1957,A Hatful of Rain,Fred Zinnemann,FALSE
1957,Sayonara,Joshua Logan,FALSE
1957,Witness for the Prosecution,Billy Wilder,FALSE
1958,Gigi,Vincente Minnelli,TRUE
1958,Cat on a Hot Tin Roof,Richard Brooks,FALSE
1958,The Defiant Ones,Stanley Kramer,FALSE
1958,I Want to Live!,Robert Wise,FALSE
1958,Separate Tables,Delbert Mann,FALSE
1959,Ben-Hur,William Wyler,TRUE
1959,Anatomy of a Murder,Otto Preminger,FALSE
1959,The Diary of Anne Frank,George Stevens,FALSE
1959,The Nun's Story,Fred Zinnemann,FALSE
1959,On the Beach,Stanley Kramer,FALSE
1960,Sons and Lovers,Jack Cardiff,TRUE
1960,The Apartment,Billy Wilder,FALSE
1960,Elmer Gantry,Richard Brooks,FALSE
1960,Spartacus,Stanley Kubrick,FALSE
1960,The Sundowners,Fred Zinnemann,FALSE
1961,Judgment at Nuremberg,Stanley Kramer,TRUE
1961,The Children's Hour,William Wyler,FALSE
1961,El Cid,Anthony Mann,FALSE
1961,The Guns of Navarone,J. Lee Thompson,FALSE
1961,West Side Story,Jerome Robbins and Robert Wise,FALSE
1962,Lawrence of Arabia,David Lean,TRUE
1962,The Chapman Report,George Cukor,FALSE
1962,Days of Wine and Roses,Blake Edwards,FALSE
1962,Freud: The Secret Passion,John Huston,FALSE
1962,Gypsy,Mervyn LeRoy,FALSE
1962,Hemingway's Adventures of a Young Man,Martin Ritt,FALSE
1962,Lolita,Stanley Kubrick,FALSE
1962,The Manchurian Candidate,John Frankenheimer,FALSE
1962,The Music Man,Morton DaCosta,FALSE
1962,"My Son, the Hero (Los Hermanos Del Hierro)",Ismael Rodríguez,FALSE
1962,To Kill a Mockingbird,Robert Mulligan,FALSE
1963,America America,Elia Kazan,TRUE
1963,The Cardinal,Otto Preminger,FALSE
1963,The Caretakers,Hall Bartlett,FALSE
1963,Cleopatra,Joseph L. Mankiewicz,FALSE
1963,The Haunting,Robert Wise,FALSE
1963,Hud,Martin Ritt,FALSE
1963,Tom Jones,Tony Richardson,FALSE
1963,The Ugly American,George Englund,FALSE
1964,My Fair Lady,George Cukor,TRUE
1964,Becket,Peter Glenville,FALSE
1964,The Night of the Iguana,John Huston,FALSE
1964,Seven Days in May,John Frankenheimer,FALSE
1964,Zorba the Greek,Michael Cacoyannis,FALSE
1965,Doctor Zhivago,David Lean,TRUE
1965,The Collector,William Wyler,FALSE
1965,Darling,John Schlesinger,FALSE
1965,A Patch of Blue,Guy Green,FALSE
1965,The Sound of Music,Robert Wise,FALSE
1966,A Man for All Seasons,Fred Zinnemann,TRUE
1966,Alfie,Lewis Gilbert,FALSE
1966,A Man and a Woman,Claude Lelouch,FALSE
1966,The Sand Pebbles,Robert Wise,FALSE
1966,Who's Afraid of Virginia Woolf?,Mike Nichols,FALSE
1967,The Graduate,Mike Nichols,TRUE
1967,Bonnie and Clyde,Arthur Penn,FALSE
1967,The Fox,Mark Rydell,FALSE
1967,Guess Who's Coming to Dinner,Stanley Kramer,FALSE
1967,In the Heat of the Night,Norman Jewison,FALSE
1968,"Rachel, Rachel",Paul Newman,TRUE
1968,Funny Girl,William Wyler,FALSE
1968,The Lion in Winter,Anthony Harvey,FALSE
1968,Oliver!,Carol Reed,FALSE
1968,Romeo and Juliet,Franco Zeffirelli,FALSE
1969,Anne of the Thousand Days,Charles Jarrott,TRUE
1969,"Hello, Dolly!",Gene Kelly,FALSE
1969,Midnight Cowboy,John Schlesinger,FALSE
1969,The Secret of Santa Vittoria,Stanley Kramer,FALSE
1969,"They Shoot Horses, Don't They?",Sydney Pollack,FALSE
1970,Love Story,Arthur Hiller,TRUE
1970,Five Easy Pieces,Bob Rafelson,FALSE
1970,M*A*S*H,Robert Altman,FALSE
1970,Patton,Franklin J. Schaffner,FALSE
1970,Women in Love,Ken Russell,FALSE
1971,The French Connection,William Friedkin,TRUE
1971,A Clockwork Orange,Stanley Kubrick,FALSE
1971,Fiddler on the Roof,Norman Jewison,FALSE
1971,The Last Picture Show,Peter Bogdanovich,FALSE
1971,Summer of '42,Robert Mulligan,FALSE
1972,The Godfather,Francis Ford Coppola,TRUE
1972,Avanti!,Billy Wilder,FALSE
1972,Cabaret,Bob Fosse,FALSE
1972,Deliverance,John Boorman,FALSE
1972,Frenzy,Alfred Hitchcock,FALSE
1973,The Exorcist,William Friedkin,TRUE
1973,American Graffiti,George Lucas,FALSE
1973,The Day of the Jackal,Fred Zinnemann,FALSE
1973,Last Tango in Paris,Bernardo Bertolucci,FALSE
1973,Paper Moon,Peter Bogdanovich,FALSE
1974,Chinatown,Roman Polanski,TRUE
1974,The Conversation,Francis Ford Coppola,FALSE
1974,The Godfather Part II,Francis Ford Coppola,FALSE
1974,Lenny,Bob Fosse,FALSE
1974,A Woman Under the Influence,John Cassavetes,FALSE
1975,One Flew Over the Cuckoo's Nest,Miloš Forman,TRUE
1975,Barry Lyndon,Stanley Kubrick,FALSE
1975,Dog Day Afternoon,Sidney Lumet,FALSE
1975,Jaws,Steven Spielberg,FALSE
1975,Nashville,Robert Altman,FALSE
1976,Network,Sidney Lumet,TRUE
1976,All the President's Men,Alan J. Pakula,FALSE
1976,Bound for Glory,Hal Ashby,FALSE
1976,Marathon Man,John Schlesinger,FALSE
1976,Rocky,John G. Avildsen,FALSE
1977,The Turning Point,Herbert Ross,TRUE
1977,Annie Hall,Woody Allen,FALSE
1977,Close Encounters of the Third Kind,Steven Spielberg,FALSE
1977,Julia,Fred Zinnemann,FALSE
1977,Star Wars,George Lucas,FALSE
1978,The Deer Hunter,Michael Cimino,TRUE
1978,Coming Home,Hal Ashby,FALSE
1978,Days of Heaven,Terrence Malick,FALSE
1978,Interiors,Woody Allen,FALSE
1978,Midnight Express,Alan Parker,FALSE
1978,An Unmarried Woman,Paul Mazursky,FALSE
1979,Apocalypse Now,Francis Ford Coppola,TRUE
1979,Being There,Hal Ashby,FALSE
1979,Breaking Away,Peter Yates,FALSE
1979,The China Syndrome,James Bridges,FALSE
1979,Kramer vs. Kramer,Robert Benton,FALSE
1980,Ordinary People,Robert Redford,TRUE
1980,The Elephant Man,David Lynch,FALSE
1980,Raging Bull,Martin Scorsese,FALSE
1980,The Stunt Man,Richard Rush,FALSE
1980,Tess,Roman Polanski,FALSE
1981,Reds,Warren Beatty,TRUE
1981,Atlantic City,Louis Malle,FALSE
1981,On Golden Pond,Mark Rydell,FALSE
1981,Prince of the City,Sidney Lumet,FALSE
1981,Ragtime,Miloš Forman,FALSE
1981,Raiders of the Lost Ark,Steven Spielberg,FALSE
1982,Gandhi,Richard Attenborough,TRUE
1982,E.T. the Extra-Terrestrial,Steven Spielberg,FALSE
1982,Missing,Constantin Costa-Gavras,FALSE
1982,Tootsie,Sydney Pollack,FALSE
1982,The Verdict,Sidney Lumet,FALSE
1983,Yentl,Barbra Streisand,TRUE
1983,The Dresser,Peter Yates,FALSE
1983,Fanny and Alexander,Ingmar Bergman,FALSE
1983,Silkwood,Mike Nichols,FALSE
1983,Tender Mercies,Bruce Beresford,FALSE
1983,Terms of Endearment,James L. Brooks,FALSE
1984,Amadeus,Miloš Forman,TRUE
1984,The Cotton Club,Francis Ford Coppola,FALSE
1984,The Killing Fields,Roland Joffé,FALSE
1984,Once Upon a Time in America,Sergio Leone,FALSE
1984,A Passage to India,David Lean,FALSE
1985,Prizzi's Honor,John Huston,TRUE
1985,A Chorus Line,Richard Attenborough,FALSE
1985,The Color Purple,Steven Spielberg,FALSE
1985,Out of Africa,Sydney Pollack,FALSE
1985,Witness,Peter Weir,FALSE
1986,Platoon,Oliver Stone,TRUE
1986,Hannah and Her Sisters,Woody Allen,FALSE
1986,The Mission,Roland Joffé,FALSE
1986,A Room with a View,James Ivory,FALSE
1986,Stand by Me,Rob Reiner,FALSE
1987,The Last Emperor,Bernardo Bertolucci,TRUE
1987,Broadcast News,James L. Brooks,FALSE
1987,Cry Freedom,Richard Attenborough,FALSE
1987,Fatal Attraction,Adrian Lyne,FALSE
1987,Hope and Glory,John Boorman,FALSE
1988,Bird,Clint Eastwood,TRUE
1988,A Cry in the Dark,Fred Schepisi,FALSE
1988,Mississippi Burning,Alan Parker,FALSE
1988,Rain Man,Barry Levinson,FALSE
1988,Running on Empty,Sidney Lumet,FALSE
1988,Working Girl,Mike Nichols,FALSE
1989,Born on the Fourth of July,Oliver Stone,TRUE
1989,Dead Poets Society,Peter Weir,FALSE
1989,Do the Right Thing,Spike Lee,FALSE
1989,Glory,Edward Zwick,FALSE
1989,When Harry Met Sally...,Rob Reiner,FALSE
1990,Dances with Wolves,Kevin Costner,TRUE
1990,The Godfather Part III,Francis Ford Coppola,FALSE
1990,Goodfellas,Martin Scorsese,FALSE
1990,Reversal of Fortune,Barbet Schroeder,FALSE
1990,The Sheltering Sky,Bernardo Bertolucci,FALSE
1991,JFK,Oliver Stone,TRUE
1991,Bugsy,Barry Levinson,FALSE
1991,The Fisher King,Terry Gilliam,FALSE
1991,The Prince of Tides,Barbra Streisand,FALSE
1991,The Silence of the Lambs,Jonathan Demme,FALSE
1992,Unforgiven,Clint Eastwood,TRUE
1992,A Few Good Men,Rob Reiner,FALSE
1992,Howards End,James Ivory,FALSE
1992,The Player,Robert Altman,FALSE
1992,A River Runs Through It,Robert Redford,FALSE
1993,Schindler's List,Steven Spielberg,TRUE
1993,The Age of Innocence,Martin Scorsese,FALSE
1993,The Fugitive,Andrew Davis,FALSE
1993,The Piano,Jane Campion,FALSE
1993,The Remains of the Day,James Ivory,FALSE
1994,Forrest Gump,Robert Zemeckis,TRUE
1994,Legends of the Fall,Edward Zwick,FALSE
1994,Natural Born Killers,Oliver Stone,FALSE
1994,Pulp Fiction,Quentin Tarantino,FALSE
1994,Quiz Show,Robert Redford,FALSE
1995,Braveheart,Mel Gibson,TRUE
1995,The American President,Rob Reiner,FALSE
1995,Apollo 13,Ron Howard,FALSE
1995,Casino,Martin Scorsese,FALSE
