Year,Film,Nominee,Winner
1970,MASH,Robert Altman,TRUE
1970,Darling Lili,Blake Edwards,FALSE
1970,Diary of a Mad Housewife,Frank Perry,FALSE
1970,Lovers and Other Strangers,Cy Howard,FALSE
1970,Scrooge,Ronald Neame,FALSE
1971,Fiddler on the Roof,Norman Jewison,TRUE
1971,The Boy Friend,Ken Russell,FALSE
1971,Kotch,Jack Lemmon,FALSE
1971,A New Leaf,Elaine May,FALSE
1971,Plaza Suite,Arthur Hiller,FALSE
1972,Cabaret,Bob Fosse,TRUE
1972,Avanti!,Billy Wilder,FALSE
1972,Butterflies Are Free,Milton Katselas,FALSE
1972,1776,Peter H. Hunt,FALSE
1972,Travels with My Aunt,George Cukor,FALSE
1973,American Graffiti,George Lucas,TRUE
1973,Jesus Christ Superstar,Norman Jewison,FALSE
1973,Paper Moon,Peter Bogdanovich,FALSE
1973,Tom Sawyer,Don Taylor,FALSE
1973,A Touch of Class,Melvin Frank,FALSE
1974,The Longest Yard,Robert Aldrich,TRUE
1974,The Front Page,Billy Wilder,FALSE
1974,Harry and Tonto,Paul Mazursky,FALSE
1974,The Little Prince,Stanley Donen,FALSE
1974,The Three Musketeers,Richard Lester,FALSE
1975,The Sunshine Boys,Herbert Ross,TRUE
1975,Funny Lady,Herbert Ross,FALSE
1975,The Return of the Pink Panther,Blake Edwards,FALSE
1975,Shampoo,Hal Ashby,FALSE
1975,Tommy,Ken Russell,FALSE
1976,A Star Is Born,Frank Pierson,TRUE
1976,Bugsy Malone,Alan Parker,FALSE
1976,The Pink Panther Strikes Again,Blake Edwards,FALSE
1976,The Ritz,Richard Lester,FALSE
1976,Silent Movie,Mel Brooks,FALSE
1977,The Goodbye Girl,Herbert Ross,TRUE
1977,Annie Hall,Woody Allen,FALSE
1977,High Anxiety,Mel Brooks,FALSE
1977,"New York, New York",Martin Scorsese,FALSE
1977,Saturday Night Fever,John Badham,FALSE
1978,Heaven Can Wait,Warren Beatty & Buck Henry,TRUE
1978,California Suite,Herbert Ross,FALSE
1978,Foul Play,Colin Higgins,FALSE
1978,Grease,Randal Kleiser,FALSE
1978,Movie Movie,Stanley Donen,FALSE
1979,Breaking Away,Peter Yates,TRUE
1979,Being There,Hal Ashby,FALSE
1979,Hair,Miloš Forman,FALSE
1979,The Rose,Mark Rydell,FALSE
1979,10,Blake Edwards,FALSE
1980,Coal Miner's Daughter,Michael Apted,TRUE
1980,Airplane!,"Jim Abrahams, David Zucker & Jerry Zucker",FALSE
1980,Fame,Alan Parker,FALSE
1980,The Idolmaker,Taylor Hackford,FALSE
1980,Melvin and Howard,Jonathan Demme,FALSE
1981,Arthur,Steve Gordon,TRUE
