Year,Film,Nominee,Winner
1943,The Song of Bernadette,Jennifer Jones,TRUE
1944,Gaslight,Ingrid Bergman,TRUE
1945,The Bells of St. Mary's,Ingrid Bergman,TRUE
1946,Sister Kenny,Rosalind Russell,TRUE
1947,Mourning Becomes Electra,Rosalind Russell,TRUE
1948,Johnny Belinda,Jane Wyman,TRUE
1949,The Heiress,Olivia de Havilland,TRUE
1949,"Edward, My Son",Deborah Kerr,FALSE
1950,Sunset Boulevard,Gloria Swanson,TRUE
1950,All About Eve,Bette Davis,FALSE
1950,Born Yesterday,Judy Holliday,FALSE
1951,The Blue Veil,Jane Wyman,TRUE
1951,A Streetcar Named Desire,Vivien Leigh,FALSE
1951,A Place in the Sun,Shelley Winters,FALSE
1952,"Come Back, Little Sheba",Shirley Booth,TRUE
1952,Sudden Fear,Joan Crawford,FALSE
1952,My Cousin Rachel,Olivia de Havilland,FALSE
1953,Roman Holiday,Audrey Hepburn,TRUE
1954,The Country Girl,Grace Kelly,TRUE
1955,The Rose Tattoo,Anna Magnani,TRUE
1956,Anastasia,Ingrid Bergman,TRUE
1956,Baby Doll,Carroll Baker,FALSE
1956,Anastasia,Helen Hayes,FALSE
1956,War and Peace,Audrey Hepburn,FALSE
1956,The Rainmaker,Katharine Hepburn,FALSE
1957,The Three Faces of Eve,Joanne Woodward,TRUE
1957,Witness for the Prosecution,Marlene Dietrich,FALSE
1957,"Heaven Knows, Mr. Allison",Deborah Kerr,FALSE
1957,Wild Is the Wind,Anna Magnani,FALSE
1957,A Hatful of Rain,Eva Marie Saint,FALSE
1958,I Want to Live!,Susan Hayward,TRUE
1958,The Inn of the Sixth Happiness,Ingrid Bergman,FALSE
1958,Separate Tables,Deborah Kerr,FALSE
1958,Some Came Running,Shirley MacLaine,FALSE
1958,Home Before Dark,Jean Simmons,FALSE
1959,"Suddenly, Last Summer",Elizabeth Taylor,TRUE
1959,The Nun's Story,Audrey Hepburn,FALSE
1959,"Suddenly, Last Summer",Katharine Hepburn,FALSE
1959,Anatomy of a Murder,Lee Remick,FALSE
1959,Room at the Top,Simone Signoret,FALSE
1960,Sunrise at Campobello,Greer Garson,TRUE
1960,Midnight Lace,Doris Day,FALSE
1960,The World of Suzie Wong,Nancy Kwan,FALSE
1960,Elmer Gantry,Jean Simmons,FALSE
1960,BUtterfield 8,Elizabeth Taylor,FALSE
1961,Summer and Smoke,Geraldine Page,TRUE
1961,Fanny,Leslie Caron,FALSE
1961,The Children's Hour,Shirley MacLaine,FALSE
1961,A Raisin in the Sun,Claudia McNeil,FALSE
1961,Splendor in the Grass,Natalie Wood,FALSE
1962,Sweet Bird of Youth,Geraldine Page,TRUE
1962,The Miracle Worker,Anne Bancroft,FALSE
1962,What Ever Happened to Baby Jane?,Bette Davis,FALSE
1962,Long Day's Journey into Night,Katharine Hepburn,FALSE
1962,The Chapman Report,Glynis Johns,FALSE
1962,Phaedra,Melina Mercouri,FALSE
1962,Days of Wine and Roses,Lee Remick,FALSE
1962,Hemingway's Adventures of a Young Man,Susan Strasberg,FALSE
1962,Lolita,Shelley Winters,FALSE
1962,Freud: The Secret Passion,Susannah York,FALSE
1963,The L-Shaped Room,Leslie Caron,TRUE
1963,The Caretakers,Polly Bergen,FALSE
1963,Toys in the Attic,Geraldine Page,FALSE
1963,This Sporting Life,Rachel Roberts,FALSE
1963,The Cardinal,Romy Schneider,FALSE
1963,The Paper Man,Alida Valli,FALSE
1963,The Conjugal Bed,Marina Vlady,FALSE
1963,Love with the Proper Stranger,Natalie Wood,FALSE
1964,The Pumpkin Eater,Anne Bancroft,TRUE
1964,The Night of the Iguana,Ava Gardner,FALSE
1964,Circus World,Rita Hayworth,FALSE
1964,Dear Heart,Geraldine Page,FALSE
1964,Lilith,Jean Seberg,FALSE
1965,The Collector,Samantha Eggar,TRUE
1965,Darling,Julie Christie,FALSE
1965,A Patch of Blue,Elizabeth Hartman,FALSE
1965,Ship of Fools,Simone Signoret,FALSE
1965,Othello,Maggie Smith,FALSE
1966,A Man and a Woman,Anouk Aimée,TRUE
1966,The Shop on Main Street,Ida Kamińska,FALSE
1966,Born Free,Virginia McKenna,FALSE
1966,Who's Afraid of Virginia Woolf?,Elizabeth Taylor,FALSE
1966,This Property Is Condemned,Natalie Wood,FALSE
1967,The Whisperers,Edith Evans,TRUE
1967,Bonnie and Clyde,Faye Dunaway,FALSE
1967,Wait Until Dark,Audrey Hepburn,FALSE
1967,Guess Who's Coming to Dinner,Katharine Hepburn,FALSE
1967,The Fox,Anne Heywood,FALSE
1968,"Rachel, Rachel",Joanne Woodward,TRUE
1968,Rosemary's Baby,Mia Farrow,FALSE
1968,The Lion in Winter,Katharine Hepburn,FALSE
1968,Isadora,Vanessa Redgrave,FALSE
1968,The Killing of Sister George,Beryl Reid,FALSE
1969,Anne of the Thousand Days,Geneviève Bujold,TRUE
1969,"They Shoot Horses, Don't They?",Jane Fonda,FALSE
1969,The Sterile Cuckoo,Liza Minnelli,FALSE
1969,The Happy Ending,Jean Simmons,FALSE
1969,The Prime of Miss Jean Brodie,Maggie Smith,FALSE
1970,Love Story,Ali MacGraw,TRUE
1970,Puzzle of a Downfall Child,Faye Dunaway,FALSE
1970,Women in Love,Glenda Jackson,FALSE
1970,Promise at Dawn,Melina Mercouri,FALSE
1970,Ryan's Daughter,Sarah Miles,FALSE
1971,Klute,Jane Fonda,TRUE
1971,"Mary, Queen of Scots",Glenda Jackson,FALSE
1971,"Mary, Queen of Scots",Vanessa Redgrave,FALSE
1971,Such Good Friends,Dyan Cannon,FALSE
1971,Play Misty for Me,Jessica Walter,FALSE
1972,The Emigrants,Liv Ullmann,TRUE
1972,Lady Sings the Blues,Diana Ross,FALSE
1972,Sounder,Cicely Tyson,FALSE
1972,One Is a Lonely Number,Trish Van Devere,FALSE
1972,Play It as It Lays,Tuesday Weld,FALSE
1972,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,Joanne Woodward,FALSE
1973,Cinderella Liberty,Marsha Mason,TRUE
1973,The Exorcist,Ellen Burstyn,FALSE
1973,The Way We Were,Barbra Streisand,FALSE
1973,Ash Wednesday,Elizabeth Taylor,FALSE
1973,"Summer Wishes, Winter Dreams",Joanne Woodward,FALSE
1974,A Woman Under the Influence,Gena Rowlands,TRUE
1974,Alice Doesn't Live Here Anymore,Ellen Burstyn,FALSE
1974,Chinatown,Faye Dunaway,FALSE
1974,Lenny,Valerie Perrine,FALSE
1974,Scenes from a Marriage,Liv Ullmann,FALSE
1975,One Flew Over the Cuckoo's Nest,Louise Fletcher,TRUE
1975,The Day of the Locust,Karen Black,FALSE
1975,Three Days of the Condor,Faye Dunaway,FALSE
1975,The Other Side of the Mountain,Marilyn Hassett,FALSE
1975,Hedda,Glenda Jackson,FALSE
1976,Network,Faye Dunaway,TRUE
1976,The Incredible Sarah,Glenda Jackson,FALSE
1976,The Sailor Who Fell from Grace with the Sea,Sarah Miles,FALSE
1976,Rocky,Talia Shire,FALSE
1976,Face to Face,Liv Ullmann,FALSE
1977,Julia,Jane Fonda,TRUE
1977,The Turning Point,Anne Bancroft,FALSE
1977,Looking for Mr. Goodbar,Diane Keaton,FALSE
1977,I Never Promised You a Rose Garden,Kathleen Quinlan,FALSE
1977,Opening Night,Gena Rowlands,FALSE
1978,Coming Home,Jane Fonda,TRUE
1978,Autumn Sonata,Ingrid Bergman,FALSE
1978,An Unmarried Woman,Jill Clayburgh,FALSE
1978,Stevie,Glenda Jackson,FALSE
1978,Interiors,Geraldine Page,FALSE
1979,Norma Rae,Sally Field,TRUE
1979,La Luna,Jill Clayburgh,FALSE
1979,Yanks,Lisa Eichhorn,FALSE
1979,The China Syndrome,Jane Fonda,FALSE
1979,Promises in the Dark,Marsha Mason,FALSE
1980,Ordinary People,Mary Tyler Moore,TRUE
1980,Resurrection,Ellen Burstyn,FALSE
1980,Tess,Nastassja Kinski,FALSE
1980,Touched by Love,Deborah Raffin,FALSE
1980,Gloria,Gena Rowlands,FALSE
1981,The French Lieutenant's Woman,Meryl Streep,TRUE
1981,Absence of Malice,Sally Field,FALSE
1981,On Golden Pond,Katharine Hepburn,FALSE
1981,Reds,Diane Keaton,FALSE
1981,Raggedy Man,Sissy Spacek,FALSE
1982,Sophie's Choice,Meryl Streep,TRUE
1982,Shoot the Moon,Diane Keaton,FALSE
1982,Frances,Jessica Lange,FALSE
1982,Missing,Sissy Spacek,FALSE
1982,An Officer and a Gentleman,Debra Winger,FALSE
1983,Terms of Endearment,Shirley MacLaine,TRUE
1983,Testament,Jane Alexander,FALSE
1983,Heart Like a Wheel,Bonnie Bedelia,FALSE
1983,Silkwood,Meryl Streep,FALSE
1983,Terms of Endearment,Debra Winger,FALSE
1984,Places in the Heart,Sally Field,TRUE
1984,Mrs. Soffel,Diane Keaton,FALSE
1984,Country,Jessica Lange,FALSE
1984,The Bostonians,Vanessa Redgrave,FALSE
1984,The River,Sissy Spacek,FALSE
1985,The Color Purple,Whoopi Goldberg,TRUE
1985,Agnes of God,Anne Bancroft,FALSE
1985,Mask,Cher,FALSE
1985,The Trip to Bountiful,Geraldine Page,FALSE
1985,Out of Africa,Meryl Streep,FALSE
1986,Children of a Lesser God,Marlee Matlin,TRUE
1986,Duet for One,Julie Andrews,FALSE
1986,"'night, Mother",Anne Bancroft,FALSE
1986,Extremities,Farrah Fawcett,FALSE
1986,Aliens,Sigourney Weaver,FALSE
1987,Anna,Sally Kirkland,TRUE
1987,Gaby: A True Story,Rachel Chagall,FALSE
1987,Fatal Attraction,Glenn Close,FALSE
1987,Barfly,Faye Dunaway,FALSE
1987,Nuts,Barbra Streisand,FALSE
1988,The Accused,Jodie Foster,TRUE
1988,Madame Sousatzka,Shirley MacLaine,FALSE
1988,Gorillas in the Mist,Sigourney Weaver,FALSE
1988,Running on Empty,Christine Lahti,FALSE
1988,A Cry in the Dark,Meryl Streep,FALSE
1989,The Fabulous Baker Boys,Michelle Pfeiffer,TRUE
1989,Steel Magnolias,Sally Field,FALSE
1989,Music Box,Jessica Lange,FALSE
1989,"Sex, Lies, and Videotape",Andie MacDowell,FALSE
1989,The Rose Garden,Liv Ullmann,FALSE
1990,Misery,Kathy Bates,TRUE
1990,The Grifters,Anjelica Huston,FALSE
1990,The Russia House,Michelle Pfeiffer,FALSE
1990,White Palace,Susan Sarandon,FALSE
1990,Mr. & Mrs. Bridge,Joanne Woodward,FALSE
1991,The Silence of the Lambs,Jodie Foster,TRUE
1991,Bugsy,Annette Bening,FALSE
1991,Thelma & Louise,Geena Davis,FALSE
1991,Rambling Rose,Laura Dern,FALSE
1991,Thelma & Louise,Susan Sarandon,FALSE
1992,Howards End,Emma Thompson,TRUE
1992,Passion Fish,Mary McDonnell,FALSE
1992,Love Field,Michelle Pfeiffer,FALSE
1992,Lorenzo's Oil,Susan Sarandon,FALSE
1992,Basic Instinct,Sharon Stone,FALSE
1993,The Piano,Holly Hunter,TRUE
1993,Three Colours: Blue,Juliette Binoche,FALSE
1993,The Age of Innocence,Michelle Pfeiffer,FALSE
1993,The Remains of the Day,Emma Thompson,FALSE
1993,A Dangerous Woman,Debra Winger,FALSE
1994,Blue Sky,Jessica Lange,TRUE
1994,Nell,Jodie Foster,FALSE
1994,Mrs. Parker and the Vicious Circle,Jennifer Jason Leigh,FALSE
1994,Tom & Viv,Miranda Richardson,FALSE
1994,The River Wild,Meryl Streep,FALSE
1995,Casino,Sharon Stone,TRUE
1995,Dead Man Walking,Susan Sarandon,FALSE
1995,Leaving Las Vegas,Elisabeth Shue,FALSE
1995,The Bridges of Madison County,Meryl Streep,FALSE
1995,Sense and Sensibility,Emma Thompson,FALSE
1996,Secrets & Lies,Brenda Blethyn,TRUE
1996,The People vs. Larry Flynt,Courtney Love,FALSE
1996,The English Patient,Kristin Scott Thomas,FALSE
1996,Marvin's Room,Meryl Streep,FALSE
1996,Breaking the Waves,Emily Watson,FALSE
1997,Mrs Brown,Judi Dench,TRUE
1997,The Wings of the Dove,Helena Bonham Carter,FALSE
1997,Contact,Jodie Foster,FALSE
1997,A Thousand Acres,Jessica Lange,FALSE
1997,Titanic,Kate Winslet,FALSE
1998,Elizabeth,Cate Blanchett,TRUE
1998,Central Station,Fernanda Montenegro,FALSE
1998,Stepmom,Susan Sarandon,FALSE
1998,One True Thing,Meryl Streep,FALSE
1998,Hilary and Jackie,Emily Watson,FALSE
1999,Boys Don't Cry,Hilary Swank,TRUE
1999,American Beauty,Annette Bening,FALSE
1999,The End of the Affair,Julianne Moore,FALSE
1999,Music of the Heart,Meryl Streep,FALSE
1999,A Map of the World,Sigourney Weaver,FALSE
2000,Erin Brockovich,Julia Roberts,TRUE
2000,The Contender,Joan Allen,FALSE
2000,Dancer in the Dark,Björk,FALSE
2000,Requiem for a Dream,Ellen Burstyn,FALSE
2000,You Can Count on Me,Laura Linney,FALSE
2001,In the Bedroom,Sissy Spacek,TRUE
2001,Monster's Ball,Halle Berry,FALSE
2001,Iris,Judi Dench,FALSE
2001,The Others,Nicole Kidman,FALSE
2001,The Deep End,Tilda Swinton,FALSE
2002,The Hours,Nicole Kidman,TRUE
2002,The Hours,Meryl Streep,FALSE
