Year,Film,Nominee,Winner
1950,Three Little Words,Fred Astaire,TRUE
1951,On the Riviera,Danny Kaye,TRUE
1951,An American in Paris,Gene Kelly,FALSE
1952,Singin' in the Rain,Donald O'Connor,TRUE
1953,The Moon Is Blue,David Niven,TRUE
1954,A Star Is Born,James Mason,TRUE
1955,The Seven Year Itch,Tom Ewell,TRUE
1956,Around the World in 80 Days,Cantinflas,TRUE
1956,The Teahouse of the August Moon,Marlon Brando,FALSE
1956,The Teahouse of the August Moon,Glenn Ford,FALSE
1956,The King and I,Yul Brynner,FALSE
1956,The Court Jester,Danny Kaye,FALSE
1957,Pal Joey,Frank Sinatra,TRUE
1957,Love in the Afternoon,Maurice Chevalier,FALSE
1957,Don't Go Near the Water,Glenn Ford,FALSE
1957,My Man Godfrey,David Niven,FALSE
1957,Will Success Spoil Rock Hunter?,Tony Randall,FALSE
1958,Me and the Colonel,Danny Kaye,TRUE
1958,Gigi,Maurice Chevalier,FALSE
1958,Gigi,Louis Jourdan,FALSE
1958,Teacher's Pet,Clark Gable,FALSE
1958,Indiscreet,Cary Grant,FALSE
1959,Some Like It Hot,Jack Lemmon,TRUE
1959,But Not for Me,Clark Gable,FALSE
1959,Operation Petticoat,Cary Grant,FALSE
1959,Who Was That Lady?,Dean Martin,FALSE
1959,Porgy and Bess,Sidney Poitier,FALSE
1960,The Apartment,Jack Lemmon,TRUE
1960,Song Without End,Dirk Bogarde,FALSE
1960,Pepe,Cantinflas,FALSE
1960,The Grass Is Greener,Cary Grant,FALSE
1960,The Facts of Life,Bob Hope,FALSE
1961,Pocketful of Miracles,Glenn Ford,TRUE
1961,The Pleasure of His Company,Fred Astaire,FALSE
1961,West Side Story,Richard Beymer,FALSE
1961,Bachelor in Paradise,Bob Hope,FALSE
1961,The Absent-Minded Professor,Fred MacMurray,FALSE
1962,Divorce Italian Style,Marcello Mastroianni,TRUE
1962,Billy Rose's Jumbo,Stephen Boyd,FALSE
1962,Billy Rose's Jumbo,Jimmy Durante,FALSE
1962,That Touch of Mink,Cary Grant,FALSE
1962,The Pigeon That Took Rome,Charlton Heston,FALSE
1962,Gypsy,Karl Malden,FALSE
1962,The Music Man,Robert Preston,FALSE
