Year,Film,Nominee,Winner
1943,Watch on the Rhine,Paul Lukas,TRUE
1944,Wilson,Alexander Knox,TRUE
1945,The Lost Weekend,Ray Milland,TRUE
1946,The Yearling,Gregory Peck,TRUE
1947,A Double Life,Ronald Colman,TRUE
1948,Hamlet,Laurence Olivier,TRUE
1949,All the King's Men,Broderick Crawford,TRUE
1949,The Hasty Heart,Richard Todd,FALSE
1950,Cyrano de Bergerac,José Ferrer,TRUE
1950,The Magnificent Yankee,Louis Calhern,FALSE
1950,Harvey,James Stewart,FALSE
1951,Death of a Salesman,Fredric March,TRUE
1951,Detective Story,Kirk Douglas,FALSE
1951,Bright Victory,Arthur Kennedy,FALSE
1952,High Noon,Gary Cooper,TRUE
1952,The Thief,Ray Milland,FALSE
1952,The Happy Time,Charles Boyer,FALSE
1953,The Actress,Spencer Tracy,TRUE
1954,On the Waterfront,Marlon Brando,TRUE
1955,Marty,Ernest Borgnine,TRUE
1956,Lust for Life,Kirk Douglas,TRUE
1956,Baby Doll,Karl Malden,FALSE
1956,Friendly Persuasion,Gary Cooper,FALSE
1956,The Rainmaker,Burt Lancaster,FALSE
1956,The Ten Commandments,Charlton Heston,FALSE
1957,The Bridge on the River Kwai,Alec Guinness,TRUE
1957,Sayonara,Marlon Brando,FALSE
1958,Separate Tables,David Niven,TRUE
1958,The Defiant Ones,Tony Curtis,FALSE
1958,The Inn of the Sixth Happiness,Robert Donat,FALSE
1958,The Defiant Ones,Sidney Poitier,FALSE
1958,The Old Man and the Sea,Spencer Tracy,FALSE
1959,Career,Anthony Franciosa,TRUE
1959,Look Back in Anger,Richard Burton,FALSE
1959,Ben-Hur,Charlton Heston,FALSE
1959,Middle of the Night,Fredric March,FALSE
1959,The Diary of Anne Frank,Joseph Schildkraut,FALSE
1960,Elmer Gantry,Burt Lancaster,TRUE
1960,Sons and Lovers,Trevor Howard,FALSE
1960,Spartacus,Laurence Olivier,FALSE
1960,Sons and Lovers,Dean Stockwell,FALSE
1960,Inherit the Wind,Spencer Tracy,FALSE
1961,Judgment at Nuremberg,Maximilian Schell,TRUE
1961,Splendor in the Grass,Warren Beatty,FALSE
1961,Fanny,Maurice Chevalier,FALSE
1961,The Hustler,Paul Newman,FALSE
1961,A Raisin in the Sun,Sidney Poitier,FALSE
1962,To Kill a Mockingbird,Gregory Peck,TRUE
1962,The Wonderful World of the Brothers Grimm,Laurence Harvey,FALSE
1962,Birdman of Alcatraz,Burt Lancaster,FALSE
1962,Days of Wine and Roses,Jack Lemmon,FALSE
1962,Lolita,James Mason,FALSE
1962,Sweet Bird of Youth,Paul Newman,FALSE
1962,Lawrence of Arabia,Peter O'Toole,FALSE
1962,Lawrence of Arabia,Anthony Quinn,FALSE
1963,Lilies of the Field,Sidney Poitier,TRUE
1963,The Ugly American,Marlon Brando,FALSE
1963,America America,Stathis Giallelis,FALSE
1963,Cleopatra,Rex Harrison,FALSE
1963,Love with the Proper Stranger,Steve McQueen,FALSE
1963,Hud,Paul Newman,FALSE
1963,"Captain Newman, M.D.",Gregory Peck,FALSE
1963,The Cardinal,Tom Tryon,FALSE
1964,Becket,Peter O'Toole,TRUE
1964,Becket,Richard Burton,FALSE
1964,Rio Conchos,Anthony Franciosa,FALSE
1964,Seven Days in May,Fredric March,FALSE
1964,Zorba the Greek,Anthony Quinn,FALSE
1965,Doctor Zhivago,Omar Sharif,TRUE
1965,The Agony and the Ecstasy,Rex Harrison,FALSE
