Year,Film,Nominee,Winner
1943,For Whom the Bell Tolls,Katina Paxinou,TRUE
1944,Mrs. Parkington,Agnes Moorehead,TRUE
1945,The Picture of Dorian Gray,Angela Lansbury,TRUE
1946,The Razor's Edge,Anne Baxter,TRUE
1947,Gentleman's Agreement,Celeste Holm,TRUE
1948,I Remember Mama,Ellen Corby,TRUE
1949,All the King's Men,Mercedes McCambridge,TRUE
1949,The Heiress,Miriam Hopkins,FALSE
1950,Harvey,Josephine Hull,TRUE
1950,Adam's Rib,Judy Holliday,FALSE
1950,All About Eve,Thelma Ritter,FALSE
1951,A Streetcar Named Desire,Kim Hunter,TRUE
1951,Detective Story,Lee Grant,FALSE
1951,The Mating Season,Thelma Ritter,FALSE
1952,High Noon,Katy Jurado,TRUE
1952,Viva Zapata!,Mildred Dunnock,FALSE
1952,The Bad and the Beautiful,Gloria Grahame,FALSE
1953,Mogambo,Grace Kelly,TRUE
1954,The High and the Mighty,Jan Sterling,TRUE
1955,The Rose Tattoo,Marisa Pavan,TRUE
1956,The Bad Seed,Eileen Heckart,TRUE
1956,Baby Doll,Mildred Dunnock,FALSE
1956,Friendly Persuasion,Marjorie Main,FALSE
1956,Written on the Wind,Dorothy Malone,FALSE
1956,The Bad Seed,Patty McCormack,FALSE
1957,Witness for the Prosecution,Elsa Lanchester,TRUE
1957,Peyton Place,Mildred Dunnock,FALSE
1957,Peyton Place,Hope Lange,FALSE
1957,The Story of Esther Costello,Heather Sears,FALSE
1957,Sayonara,Miyoshi Umeki,FALSE
1958,Gigi,Hermione Gingold,TRUE
1958,Auntie Mame,Peggy Cass,FALSE
1958,Separate Tables,Wendy Hiller,FALSE
1958,Lonelyhearts,Maureen Stapleton,FALSE
1958,The Defiant Ones,Cara Williams,FALSE
1959,Imitation of Life,Susan Kohner,TRUE
1959,The Nun's Story,Edith Evans,FALSE
1959,Take a Giant Step,Estelle Hemsley,FALSE
1959,Imitation of Life,Juanita Moore,FALSE
1959,The Diary of Anne Frank,Shelley Winters,FALSE
1960,Psycho,Janet Leigh,TRUE
1960,From the Terrace,Ina Balin,FALSE
1960,Elmer Gantry,Shirley Jones,FALSE
1960,The Dark at the Top of the Stairs,Shirley Knight,FALSE
1960,Sons and Lovers,Mary Ure,FALSE
1961,West Side Story,Rita Moreno,TRUE
1961,The Children's Hour,Fay Bainter,FALSE
