Year,Film,Nominee,Winner
1943,For Whom the Bell Tolls,Akim Tamiroff,TRUE
1944,Going My Way,Barry Fitzgerald,TRUE
1945,A Medal for Benny,J. Carrol Naish,TRUE
1946,The Razor's Edge,Clifton Webb,TRUE
1947,Miracle on 34th Street,Edmund Gwenn,TRUE
1948,The Treasure of the Sierra Madre,Walter Huston,TRUE
1949,Battleground,James Whitmore,TRUE
1950,Mister 880,Edmund Gwenn,TRUE
1950,All About Eve,George Sanders,FALSE
1950,Sunset Boulevard,Erich von Stroheim,FALSE
1951,Quo Vadis,Peter Ustinov,TRUE
1952,My Six Convicts,Millard Mitchell,TRUE
1952,The Happy Time,Kurt Kasznar,FALSE
1952,The Bad and the Beautiful,Gilbert Roland,FALSE
1953,From Here to Eternity,Frank Sinatra,TRUE
1954,The Barefoot Contessa,Edmond O'Brien,TRUE
1955,Trial,Arthur Kennedy,TRUE
1956,The Rainmaker,Earl Holliman,TRUE
1956,The Teahouse of the August Moon,Eddie Albert,FALSE
1956,War and Peace,Oscar Homolka,FALSE
1956,Lust for Life,Anthony Quinn,FALSE
1956,Baby Doll,Eli Wallach,FALSE
1957,Sayonara,Red Buttons,TRUE
1957,12 Angry Men,Lee J. Cobb,FALSE
1957,The Bridge on the River Kwai,Sessue Hayakawa,FALSE
1957,Raintree County,Nigel Patrick,FALSE
1957,The Great Man,Ed Wynn,FALSE
1958,The Big Country,Burl Ives,TRUE
1958,Houseboat,Harry Guardino,FALSE
1958,The Proud Rebel,David Ladd,FALSE
1958,Teacher's Pet,Gig Young,FALSE
1958,Home Before Dark,Efrem Zimbalist Jr.,FALSE
1959,Ben-Hur,Stephen Boyd,TRUE
1959,On the Beach,Fred Astaire,FALSE
1959,Pillow Talk,Tony Randall,FALSE
1959,The Young Philadelphians,Robert Vaughn,FALSE
1959,Anatomy of a Murder,Joseph N. Welch,FALSE
1960,Exodus,Sal Mineo,TRUE
1960,Spartacus,Woody Strode,FALSE
1960,Spartacus,Peter Ustinov,FALSE
1960,The Dark at the Top of the Stairs,Lee Kinsolving,FALSE
1960,The Plunderers,Ray Stricklyn,FALSE
1961,West Side Story,George Chakiris,TRUE
1961,Judgment at Nuremberg,Montgomery Clift,FALSE
1961,The Hustler,Jackie Gleason,FALSE
1961,Lover Come Back,Tony Randall,FALSE
1961,The Hustler,George C. Scott,FALSE
1962,Lawrence of Arabia,Omar Sharif,TRUE
1962,Sweet Bird of Youth,Ed Begley,FALSE
1962,What Ever Happened to Baby Jane?,Victor Buono,FALSE
1962,The Pigeon That Took Rome,Harry Guardino,FALSE
1962,Experiment in Terror,Ross Martin,FALSE
1962,Hemingway's Adventures of a Young Man,Paul Newman,FALSE
1962,If a Man Answers,Cesar Romero,FALSE
1962,Birdman of Alcatraz,Telly Savalas,FALSE
1962,Lolita,Peter Sellers,FALSE
1962,The Chapman Report,Harold J. Stone,FALSE
1963,The Cardinal,John Huston,TRUE
1963,America America,Paul Mann,FALSE
1963,America America,Gregory Rozakis,FALSE
1963,Come Blow Your Horn,Lee J. Cobb,FALSE
1963,"Captain Newman, M.D.",Bobby Darin,FALSE
1963,Hud,Melvyn Douglas,FALSE
1963,Tom Jones,Hugh Griffith,FALSE
1963,Cleopatra,Roddy McDowall,FALSE
1964,Seven Days in May,Edmond O'Brien,TRUE
1964,The Night of the Iguana,Cyril Delevanti,FALSE
1964,My Fair Lady,Stanley Holloway,FALSE
1964,Cheyenne Autumn,Gilbert Roland,FALSE
1964,The Best Man,Lee Tracy,FALSE
1965,The Spy Who Came in from the Cold,Oskar Werner,TRUE
1965,Harlow,Red Buttons,FALSE
1965,Othello,Frank Finlay,FALSE
1965,The Flight of the Phoenix,Hardy Krüger,FALSE
1965,Battle of the Bulge,Telly Savalas,FALSE
1966,The Sand Pebbles,Richard Attenborough,TRUE
1966,The Sand Pebbles,Mako,FALSE
1966,The Appaloosa,John Saxon,FALSE
1966,Who's Afraid of Virginia Woolf?,George Segal,FALSE
1966,A Man for All Seasons,Robert Shaw,FALSE
1967,Doctor Dolittle,Richard Attenborough,TRUE
1967,The Dirty Dozen,John Cassavetes,FALSE
1967,Cool Hand Luke,George Kennedy,FALSE
1967,Bonnie and Clyde,Michael J. Pollard,FALSE
1967,Wait Until Dark,Efrem Zimbalist Jr.,FALSE
1968,Star!,Daniel Massey,TRUE
1968,For Love of Ivy,Beau Bridges,FALSE
1968,The Scalphunters,Ossie Davis,FALSE
1968,Oliver!,Hugh Griffith,FALSE
1968,The Subject Was Roses,Martin Sheen,FALSE
1969,"They Shoot Horses, Don't They?",Gig Young,TRUE
1969,"They Shoot Horses, Don't They?",Red Buttons,FALSE
1969,Easy Rider,Jack Nicholson,FALSE
1969,Anne of the Thousand Days,Anthony Quayle,FALSE
1969,The Reivers,Mitch Vogel,FALSE
1970,Ryan's Daughter,John Mills,TRUE
1970,Little Big Man,Chief Dan George,FALSE
1970,Ryan's Daughter,Trevor Howard,FALSE
1970,Airport,George Kennedy,FALSE
1970,Love Story,John Marley,FALSE
1971,The Last Picture Show,Ben Johnson,TRUE
1971,Nicholas and Alexandra,Tom Baker,FALSE
1971,Carnal Knowledge,Art Garfunkel,FALSE
1971,Fiddler on the Roof,Paul Mann,FALSE
1971,Going Home,Jan-Michael Vincent,FALSE
1972,Cabaret,Joel Grey,TRUE
1972,The Godfather,James Caan,FALSE
