Year,Film,Nominee,Winner
1927,7th Heaven,Benjamin Glazer,TRUE
1927,Glorious Betsy,Anthony Coldeway,FALSE
1927,The Jazz Singer,Alfred A. Cohn,FALSE
1928,The Patriot,Hanns Kräly,TRUE
1928,The Cop,Elliott J. Clawson,FALSE
1928,In Old Arizona,Tom Barry,FALSE
1928,The Last of Mrs. Cheyney,Hanns Kräly,FALSE
1928,The Leatherneck,Elliott J. Clawson,FALSE
1928,Our Dancing Daughters,Josephine Lovett,FALSE
1928,Sal of Singapore,Elliott J. Clawson,FALSE
1928,Skyscraper,Elliott J. Clawson,FALSE
1928,The Valiant,Tom Barry,FALSE
1928,A Woman of Affairs,Bess Meredyth,FALSE
1928,Wonder of Women,Bess Meredyth,FALSE
1929,The Big House,Frances Marion,TRUE
1929,All Quiet on the Western Front,Screenplay: George Abbott; Adaptation: Maxwell Anderson & Del Andrews; Dialogue: Anderson,FALSE
1929,Disraeli,Julien Josephson,FALSE
1929,The Divorcee,John Meehan,FALSE
1929,Street of Chance,Howard Estabrook,FALSE
1930,Cimarron,Howard Estabrook,TRUE
1930,The Criminal Code,Seton I. Miller & Fred Niblo Jr.,FALSE
1930,Holiday,Horace Jackson,FALSE
1930,Little Caesar,Screenplay: Francis Edward Faragoh; Continuity: Robert N. Lee,FALSE
1930,Skippy,Joseph L. Mankiewicz & Sam Mintz,FALSE
1931,Bad Girl,Edwin J. Burke,TRUE
1931,Arrowsmith,Sidney Howard,FALSE
1931,Dr. Jekyll and Mr. Hyde,Percy Heath & Samuel Hoffenstein,FALSE
1932,Little Women,Victor Heerman & Sarah Y. Mason,TRUE
1932,Lady for a Day,Robert Riskin,FALSE
1932,State Fair,Paul Green & Sonya Levien,FALSE
1934,It Happened One Night,Robert Riskin,TRUE
1934,The Thin Man,Frances Goodrich & Albert Hackett,FALSE
1934,Viva Villa!,Ben Hecht,FALSE
1935,The Informer,Dudley Nichols[note 9][9],TRUE
1935,The Lives of a Bengal Lancer,"Screenplay: Achmed Abdullah, John L. Balderston & Waldemar Young; Adaptation: Grover Jones & William Slavens McNutt",FALSE
1935,Mutiny on the Bounty,"Jules Furthman, Talbot Jennings & Carey Wilson",FALSE
1936,The Story of Louis Pasteur,Pierre Collings & Sheridan Gibney,TRUE
1936,After the Thin Man,Frances Goodrich & Albert Hackett,FALSE
1936,Dodsworth,Sidney Howard,FALSE
1936,Mr. Deeds Goes to Town,Robert Riskin,FALSE
1936,My Man Godfrey,Eric S. Hatch & Morrie Ryskind,FALSE
1937,The Life of Emile Zola,"Heinz Herald, Geza Herczeg & Norman Reilly Raine",TRUE
1937,The Awful Truth,Viña Delmar,FALSE
1937,Captains Courageous,"Marc Connelly, Dale Van Every & John Lee Mahin",FALSE
1937,Stage Door,Morrie Ryskind & Anthony Veiller,FALSE
1937,A Star Is Born,"Alan Campbell, Robert Carson & Dorothy Parker",FALSE
1938,Pygmalion,"Screenplay & Dialogue: George Bernard Shaw; Adaptation: Ian Dalrymple, Cecil Arthur Lewis & W. P. Lipscomb",TRUE
1938,Boys Town,John Meehan & Dore Schary,FALSE
1938,The Citadel,"Dalrymple, Betty Hill & Spig Wead",FALSE
1938,Four Daughters,Lenore Coffee & Julius J. Epstein,FALSE
1938,You Can't Take It with You,Robert Riskin,FALSE
1939,Gone with the Wind,Sidney Howard (p.r.),TRUE
1939,"Goodbye, Mr. Chips","Holt Marvell, R. C. Sherriff & Claudine West",FALSE
1939,Mr. Smith Goes to Washington,Sidney Buchman,FALSE
1939,Ninotchka,"Charles Brackett, Walter Reisch & Billy Wilder",FALSE
1939,Wuthering Heights,Ben Hecht & Charles MacArthur,FALSE
1940,The Philadelphia Story,Donald Ogden Stewart,TRUE
1940,The Grapes of Wrath,Nunnally Johnson,FALSE
1940,Kitty Foyle,Dalton Trumbo,FALSE
1940,The Long Voyage Home,Dudley Nichols,FALSE
1940,Rebecca,Joan Harrison & Robert E. Sherwood,FALSE
1941,Here Comes Mr. Jordan,Sidney Buchman & Seton I. Miller,TRUE
1941,Hold Back the Dawn,Charles Brackett & Billy Wilder,FALSE
1941,How Green Was My Valley,Philip Dunne,FALSE
1941,The Little Foxes,Lillian Hellman,FALSE
1941,The Maltese Falcon,John Huston,FALSE
1942,Mrs. Miniver,"George Froeschel, James Hilton, Claudine West & Arthur Wimperis",TRUE
1942,49th Parallel,Rodney Ackland & Emeric Pressburger,FALSE
1942,The Pride of the Yankees,Herman J. Mankiewicz & Jo Swerling,FALSE
1942,Random Harvest,"Froeschel, West & Wimperis",FALSE
1942,The Talk of the Town,Sidney Buchman & Irwin Shaw,FALSE
1943,Casablanca,"Philip G. Epstein, Julius J. Epstein & Howard Koch",TRUE
1943,Holy Matrimony,Nunnally Johnson,FALSE
1943,The More the Merrier,"Richard Flournoy, Lewis R. Foster, Frank Ross & Robert W. Russell",FALSE
1943,The Song of Bernadette,George Seaton,FALSE
1943,Watch on the Rhine,Dashiell Hammett,FALSE
1944,Going My Way,Frank Butler & Frank Cavett,TRUE
1944,Double Indemnity,Raymond Chandler & Billy Wilder,FALSE
1944,Gaslight,"John L. Balderston, Walter Reisch & John Van Druten",FALSE
1944,Laura,"Jay Dratler, Samuel Hoffenstein & Elizabeth Reinhardt",FALSE
1944,Meet Me in St. Louis,Irving Brecher & Fred F. Finklehoffe,FALSE
1945,The Lost Weekend,Charles Brackett & Billy Wilder,TRUE
1945,G. I. Joe,"Leopold Atlas, Guy Endore & Philip Stevenson",FALSE
1945,Mildred Pierce,Ranald MacDougall,FALSE
1945,Pride of the Marines,Albert Maltz,FALSE
1945,A Tree Grows in Brooklyn,Frank Davis & Tess Slesinger (p.n.),FALSE
1946,The Best Years of Our Lives,Robert E. Sherwood,TRUE
1946,Anna and the King of Siam,Sally Benson & Talbot Jennings,FALSE
1946,Brief Encounter,"Anthony Havelock-Allan, David Lean & Ronald Neame",FALSE
1946,The Killers,Anthony Veiller,FALSE
1946,"Rome, Open City",Sergio Amidei & Federico Fellini,FALSE
1947,Miracle on 34th Street,George Seaton,TRUE
1947,Boomerang,Richard Murphy,FALSE
1947,Crossfire,John Paxton,FALSE
1947,Gentleman's Agreement,Moss Hart,FALSE
1947,Great Expectations,"David Lean, Anthony Havelock-Allan, & Ronald Neame",FALSE
1948,The Treasure of the Sierra Madre,John Huston,TRUE
1948,A Foreign Affair,"Charles Brackett, Richard L. Breen & Billy Wilder",FALSE
1948,Johnny Belinda,Allen Vincent & Irma von Cube,FALSE
