Year,Film,Nominee,Winner
1927,7th Heaven,Frank Borzage (Dramatic Picture),TRUE
1927,Sorrell and Son,Herbert Brenon (Dramatic Picture),FALSE
1927,The Crowd,King Vidor (Dramatic Picture),FALSE
1927,Two Arabian Knights,Lewis Milestone (Comedy Picture),FALSE
1927,Speedy,Ted Wilde (Comedy Picture),FALSE
1927,The Circus[a],Charlie Chaplin (Comedy Picture),FALSE
1928,The Divine Lady,Frank Lloyd,TRUE
1928,Madame X,Lionel Barrymore,FALSE
1928,The Broadway Melody,Harry Beaumont,FALSE
1928,In Old Arizona,Irving Cummings,FALSE
1928,Drag,Frank Lloyd,FALSE
1928,Weary River,Frank Lloyd,FALSE
1928,The Patriot,Ernst Lubitsch,FALSE
1929,All Quiet on the Western Front,Lewis Milestone,TRUE
1929,Anna Christie,Clarence Brown[c],FALSE
1929,Romance,Clarence Brown[c],FALSE
1929,The Divorcee,Robert Z. Leonard,FALSE
1929,The Love Parade,Ernst Lubitsch,FALSE
1929,Hallelujah!,King Vidor,FALSE
1930,Skippy,Norman Taurog,TRUE
1930,A Free Soul,Clarence Brown,FALSE
1930,The Front Page,Lewis Milestone,FALSE
1930,Cimarron,Wesley Ruggles,FALSE
1930,Morocco,Josef von Sternberg,FALSE
1931,Bad Girl,Frank Borzage,TRUE
1931,The Champ,King Vidor,FALSE
1931,Shanghai Express,Josef von Sternberg,FALSE
1932,Cavalcade,Frank Lloyd,TRUE
1932,Lady for a Day,Frank Capra,FALSE
1932,Little Women,George Cukor,FALSE
1934,It Happened One Night,Frank Capra,TRUE
1934,One Night of Love,Victor Schertzinger,FALSE
1934,The Thin Man,W. S. Van Dyke,FALSE
1935,The Informer,John Ford,TRUE
1935,The Lives of a Bengal Lancer,Henry Hathaway,FALSE
1935,Mutiny on the Bounty,Frank Lloyd,FALSE
1935,Captain Blood,Michael Curtiz (Write-in)[d],FALSE
1936,Mr. Deeds Goes to Town,Frank Capra,TRUE
1936,My Man Godfrey,Gregory La Cava,FALSE
1936,The Great Ziegfeld,Robert Z. Leonard,FALSE
1936,San Francisco,W. S. Van Dyke,FALSE
1936,Dodsworth,William Wyler,FALSE
1937,The Awful Truth,Leo McCarey,TRUE
1937,The Life of Emile Zola,William Dieterle,FALSE
1937,The Good Earth,Sidney Franklin,FALSE
1937,Stage Door,Gregory La Cava,FALSE
1937,A Star Is Born,William A. Wellman,FALSE
1938,You Can't Take It with You,Frank Capra,TRUE
1938,Angels with Dirty Faces,Michael Curtiz,FALSE
1938,Four Daughters,Michael Curtiz,FALSE
1938,Boys Town,Norman Taurog,FALSE
1938,The Citadel,King Vidor,FALSE
1939,Gone with the Wind,Victor Fleming,TRUE
1939,Mr. Smith Goes to Washington,Frank Capra,FALSE
1939,Stagecoach,John Ford,FALSE
1939,"Goodbye, Mr. Chips",Sam Wood,FALSE
1939,Wuthering Heights,William Wyler,FALSE
1940,The Grapes of Wrath,John Ford,TRUE
1940,The Philadelphia Story,George Cukor,FALSE
1940,Rebecca,Alfred Hitchcock,FALSE
1940,Kitty Foyle,Sam Wood,FALSE
1940,The Letter,William Wyler,FALSE
1941,How Green Was My Valley,John Ford,TRUE
1941,Here Comes Mr. Jordan,Alexander Hall,FALSE
1941,Sergeant York,Howard Hawks,FALSE
1941,Citizen Kane,Orson Welles,FALSE
1941,The Little Foxes,William Wyler,FALSE
1942,Mrs. Miniver,William Wyler,TRUE
1942,Yankee Doodle Dandy,Michael Curtiz,FALSE
1942,Wake Island,John Farrow,FALSE
1942,Random Harvest,Mervyn LeRoy,FALSE
1942,Kings Row,Sam Wood,FALSE
1943,Casablanca,Michael Curtiz,TRUE
1943,The Human Comedy,Clarence Brown,FALSE
1943,The Song of Bernadette,Henry King,FALSE
1943,Heaven Can Wait,Ernst Lubitsch,FALSE
1943,The More the Merrier,George Stevens,FALSE
1944,Going My Way,Leo McCarey,TRUE
1944,Lifeboat,Alfred Hitchcock,FALSE
1944,Wilson,Henry King,FALSE
1944,Laura,Otto Preminger,FALSE
1944,Double Indemnity,Billy Wilder,FALSE
1945,The Lost Weekend,Billy Wilder,TRUE
1945,National Velvet,Clarence Brown,FALSE
1945,Spellbound,Alfred Hitchcock,FALSE
1945,The Bells of St. Mary's,Leo McCarey,FALSE
1945,The Southerner,Jean Renoir,FALSE
1946,The Best Years of Our Lives,William Wyler,TRUE
1946,The Yearling,Clarence Brown,FALSE
1946,It's a Wonderful Life,Frank Capra,FALSE
1946,Brief Encounter,David Lean,FALSE
1946,The Killers,Robert Siodmak,FALSE
1947,Gentleman's Agreement,Elia Kazan,TRUE
1947,A Double Life,George Cukor,FALSE
1947,Crossfire,Edward Dmytryk,FALSE
1947,The Bishop's Wife,Henry Koster,FALSE
1947,Great Expectations,David Lean,FALSE
1948,The Treasure of the Sierra Madre,John Huston,TRUE
1948,The Snake Pit,Anatole Litvak,FALSE
1948,Johnny Belinda,Jean Negulesco,FALSE
1948,Hamlet,Laurence Olivier,FALSE
1948,The Search,Fred Zinnemann,FALSE
