Year,Film,Nominee,Winner
1940,The Great McGinty,Preston Sturges‡,TRUE
1940,Angels Over Broadway,Ben Hecht,FALSE
1940,Dr. Ehrlich's Magic Bullet,"Norman Burnside, Heinz Herald & John Huston",FALSE
1940,Foreign Correspondent,Charles Bennett & Joan Harrison,FALSE
1940,The Great Dictator,Charlie Chaplin,FALSE
1941,Citizen Kane,Herman J. Mankiewicz & Orson Welles‡,TRUE
1941,The Devil and Miss Jones,Norman Krasna,FALSE
1941,Sergeant York,"Harry Chandlee, Abem Finkel, John Huston & Howard Koch",FALSE
1941,"Tall, Dark and Handsome",Karl Tunberg & Darrell Ware,FALSE
1941,"Tom, Dick and Harry",Paul Jarrico,FALSE
1942,Woman of the Year,Ring Lardner Jr. & Michael Kanin‡,TRUE
1942,One of Our Aircraft Is Missing,Michael Powell & Emeric Pressburger,FALSE
1942,Road to Morocco,Frank Butler & Don Hartman,FALSE
1942,Wake Island,W. R. Burnett & Frank Butler,FALSE
1942,The War Against Mrs. Hadley,George Oppenheimer,FALSE
1943,Princess O'Rourke,Norman Krasna‡,TRUE
1943,Air Force,Dudley Nichols,FALSE
1943,In Which We Serve,Noël Coward,FALSE
1943,The North Star,Lillian Hellman,FALSE
1943,So Proudly We Hail!,Allan Scott,FALSE
1944,Wilson,Lamar Trotti‡,TRUE
1944,Hail the Conquering Hero,Preston Sturges,FALSE
1944,The Miracle of Morgan's Creek,Preston Sturges,FALSE
1944,Two Girls and a Sailor,Richard Connell & Gladys Lehman,FALSE
1944,Wing and a Prayer,Jerome Cady,FALSE
1945,Marie-Louise,Richard Schweizer‡,TRUE
1945,Dillinger,Philip Yordan,FALSE
1945,Music for Millions,Myles Connolly,FALSE
1945,Salty O'Rourke,Milton Holmes,FALSE
1945,"What Next, Corporal Hargrove?",Harry Kurnitz,FALSE
1946,The Seventh Veil,Muriel & Sydney Box‡,TRUE
1946,The Blue Dahlia,Raymond Chandler,FALSE
1946,Children of Paradise,Jacques Prévert,FALSE
1946,Notorious,Ben Hecht,FALSE
1946,Road to Utopia,Melvin Frank & Norman Panama,FALSE
1947,The Bachelor and the Bobby-Soxer,Sidney Sheldon‡,TRUE
1947,Body and Soul,Abraham Polonsky,FALSE
1947,A Double Life,Ruth Gordon & Garson Kanin,FALSE
1947,Monsieur Verdoux,Charlie Chaplin,FALSE
1947,Shoeshine,"Sergio Amidei, Adolfo Franci, Cesare Giulio Viola & Cesare Zavattini",FALSE
1948,N/A [note 1][21],—,TRUE
1949,Battleground,Robert Pirosh‡,TRUE
1949,Jolson Sings Again,Sidney Buchman,FALSE
1949,Paisan,"Sergio Amidei, Federico Fellini, Alfred Hayes, Marcello Pagliero & Roberto Rossellini",FALSE
1949,Passport to Pimlico,T. E. B. Clarke,FALSE
1949,The Quiet One,"Helen Levitt, Janice Loeb & Sidney Meyers",FALSE
1950,Sunset Boulevard,"Charles Brackett, D. M. Marshman Jr. & Billy Wilder‡",TRUE
1950,Adam's Rib,Ruth Gordon & Garson Kanin,FALSE
1950,Caged,Virginia Kellogg & Bernard C. Schoenfeld,FALSE
1950,The Men,Carl Foreman,FALSE
1950,No Way Out,Joseph L. Mankiewicz & Lesser Samuels,FALSE
1951,An American in Paris,Alan Jay Lerner‡,TRUE
1951,Ace in the Hole,"Walter Newman, Lesser Samuels & Billy Wilder",FALSE
1951,David and Bathsheba,Philip Dunne,FALSE
1951,Go for Broke!,Robert Pirosh,FALSE
1951,The Well,Clarence Greene & Russell Rouse,FALSE
1952,The Lavender Hill Mob,T. E. B. Clarke‡,TRUE
1952,The Atomic City,Sydney Boehm,FALSE
1952,Breaking the Sound Barrier,Terence Rattigan,FALSE
1952,Pat and Mike,Ruth Gordon & Garson Kanin,FALSE
1952,Viva Zapata!,John Steinbeck,FALSE
1953,Titanic,"Charles Brackett, Richard L. Breen & Walter Reisch‡",TRUE
1953,The Band Wagon,Betty Comden & Adolph Green,FALSE
1953,The Desert Rats,Richard Murphy,FALSE
1953,The Naked Spur,Harold Jack Bloom & Sam Rolfe,FALSE
1953,Take the High Ground!,Millard Kaufman,FALSE
1954,On the Waterfront,Budd Schulberg‡,TRUE
1954,The Barefoot Contessa,Joseph L. Mankiewicz,FALSE
1954,Genevieve,William Rose,FALSE
1954,The Glenn Miller Story,Oscar Brodney & Valentine Davies,FALSE
1954,Knock on Wood,Melvin Frank & Norman Panama,FALSE
1955,Interrupted Melody,Sonya Levien & William Ludwig‡,TRUE
1955,The Court-Martial of Billy Mitchell,Emmet Lavery & Milton Sperling,FALSE
1955,It's Always Fair Weather,Betty Comden & Adolph Green,FALSE
1955,Mr. Hulot's Holiday,Henri Marquet & Jacques Tati,FALSE
1955,The Seven Little Foys,Melville Shavelson & Jack Rose,FALSE
1956,The Red Balloon,Albert Lamorisse‡,TRUE
1956,The Bold and the Brave,Robert Lewin,FALSE
1956,Julie,Andrew L. Stone,FALSE
1956,La Strada,Federico Fellini & Tullio Pinelli,FALSE
1956,The Ladykillers,William Rose,FALSE
1957,Designing Woman,George Wells‡,TRUE
