Year,Film,Nominee,Winner
1927,Wings,NA,TRUE
1927,7th Heaven,NA,FALSE
1927,The Racket,NA,FALSE
1928,The Broadway Melody,NA,TRUE
1928,Alibi,NA,FALSE
1928,The Hollywood Revue,NA,FALSE
1928,In Old Arizona,NA,FALSE
1928,The Patriot,NA,FALSE
1929,All Quiet on the Western Front,NA,TRUE
1929,The Big House,NA,FALSE
1929,Disraeli,NA,FALSE
1929,The Divorcee,NA,FALSE
1929,The Love Parade,NA,FALSE
1930,Cimarron,NA,TRUE
1930,East Lynne,NA,FALSE
1930,The Front Page,NA,FALSE
1930,Skippy,NA,FALSE
1930,Trader Horn,NA,FALSE
1931,Grand Hotel,NA,TRUE
1931,Arrowsmith,NA,FALSE
1931,Bad Girl,NA,FALSE
1931,The Champ,NA,FALSE
1931,Five Star Final,NA,FALSE
1931,One Hour with You,NA,FALSE
1931,Shanghai Express,NA,FALSE
1931,The Smiling Lieutenant,NA,FALSE
1932,Cavalcade,NA,TRUE
1932,42nd Street,NA,FALSE
1932,A Farewell to Arms,NA,FALSE
1932,I Am a Fugitive from a Chain Gang,NA,FALSE
1932,Lady for a Day,NA,FALSE
1932,Little Women,NA,FALSE
1932,The Private Life of Henry VIII,NA,FALSE
1932,She Done Him Wrong,NA,FALSE
1932,Smilin' Through,NA,FALSE
1932,State Fair,NA,FALSE
1934,It Happened One Night,NA,TRUE
1934,The Barretts of Wimpole Street,NA,FALSE
1934,Cleopatra,NA,FALSE
1934,Flirtation Walk,NA,FALSE
1934,The Gay Divorcee,NA,FALSE
1934,Here Comes the Navy,NA,FALSE
1934,The House of Rothschild,NA,FALSE
1934,Imitation of Life,NA,FALSE
1934,One Night of Love,NA,FALSE
1934,The Thin Man,NA,FALSE
1934,Viva Villa!,NA,FALSE
1934,The White Parade,NA,FALSE
1935,Mutiny on the Bounty,NA,TRUE
1935,Alice Adams,NA,FALSE
1935,Broadway Melody of 1936,NA,FALSE
1935,Captain Blood,NA,FALSE
1935,David Copperfield,NA,FALSE
1935,The Informer,NA,FALSE
1935,The Lives of a Bengal Lancer,NA,FALSE
1935,A Midsummer Night's Dream,NA,FALSE
1935,Les Misérables,NA,FALSE
1935,Naughty Marietta,NA,FALSE
1935,Ruggles of Red Gap,NA,FALSE
1935,Top Hat,NA,FALSE
1936,The Great Ziegfeld,NA,TRUE
1936,Anthony Adverse,NA,FALSE
1936,Dodsworth,NA,FALSE
1936,Libeled Lady,NA,FALSE
1936,Mr. Deeds Goes to Town,NA,FALSE
1936,Romeo and Juliet,NA,FALSE
1936,San Francisco,NA,FALSE
1936,The Story of Louis Pasteur,NA,FALSE
1936,A Tale of Two Cities,NA,FALSE
1936,Three Smart Girls,NA,FALSE
1937,The Life of Emile Zola,NA,TRUE
1937,The Awful Truth,NA,FALSE
1937,Captains Courageous,NA,FALSE
1937,Dead End,NA,FALSE
1937,The Good Earth,NA,FALSE
1937,In Old Chicago,NA,FALSE
1937,Lost Horizon,NA,FALSE
1937,One Hundred Men and a Girl,NA,FALSE
1937,Stage Door,NA,FALSE
1937,A Star Is Born,NA,FALSE
1938,You Can't Take It with You,NA,TRUE
1938,The Adventures of Robin Hood,NA,FALSE
1938,Alexander's Ragtime Band,NA,FALSE
1938,Boys Town,NA,FALSE
1938,The Citadel,NA,FALSE
