Year,Film,Nominee,Winner
1927,7th Heaven,Janet Gaynor ‡,TRUE
1927,Street Angel,Janet Gaynor ‡,FALSE
1927,Sunrise: A Song of Two Humans,Janet Gaynor ‡,FALSE
1927,A Ship Comes In,Louise Dresser,FALSE
1927,Sadie Thompson,Gloria Swanson,FALSE
1928,Coquette,Mary Pickford ‡,TRUE
1928,Madame X,Ruth Chatterton,FALSE
1928,The Barker,Betty Compson,FALSE
1928,The Letter,Jeanne Eagels †,FALSE
1928,The Divine Lady,Corinne Griffith,FALSE
1928,The Broadway Melody,Bessie Love,FALSE
1929,The Divorcee,"Norma Shearer ‡.mw-parser-output .citation{word-wrap:break-word}.mw-parser-output .citation:target{background-color:rgba(0,127,255,0.133)}[A]",TRUE
1929,The Devil's Holiday,Nancy Carroll,FALSE
1929,Sarah and Son,Ruth Chatterton,FALSE
1929,Anna Christie,Greta Garbo[A],FALSE
1929,Romance,Greta Garbo[A],FALSE
1929,Their Own Desire,Norma Shearer,FALSE
1929,The Trespasser,Gloria Swanson,FALSE
1930,Min and Bill,Marie Dressler ‡,TRUE
1930,Morocco,Marlene Dietrich,FALSE
1930,Cimarron,Irene Dunne,FALSE
1930,Holiday,Ann Harding,FALSE
1930,A Free Soul,Norma Shearer,FALSE
1931,The Sin of Madelon Claudet,Helen Hayes ‡,TRUE
1931,Emma,Marie Dressler,FALSE
1931,The Guardsman,Lynn Fontanne,FALSE
1932,Morning Glory,Katharine Hepburn ‡,TRUE
1932,Lady for a Day,May Robson,FALSE
1932,Cavalcade,Diana Wynyard,FALSE
1934,It Happened One Night,Claudette Colbert ‡,TRUE
1934,Of Human Bondage,Bette Davis (Write-in)[B],FALSE
1934,One Night of Love,Grace Moore,FALSE
1934,The Barretts of Wimpole Street,Norma Shearer,FALSE
1935,Dangerous,Bette Davis ‡,TRUE
1935,Escape Me Never,Elisabeth Bergner,FALSE
1935,Private Worlds,Claudette Colbert,FALSE
1935,Alice Adams,Katharine Hepburn,FALSE
1935,Becky Sharp,Miriam Hopkins,FALSE
1935,The Dark Angel,Merle Oberon,FALSE
1936,The Great Ziegfeld,Luise Rainer ‡,TRUE
1936,Theodora Goes Wild,Irene Dunne,FALSE
1936,Valiant Is the Word for Carrie,Gladys George,FALSE
1936,My Man Godfrey,Carole Lombard,FALSE
1936,Romeo and Juliet,Norma Shearer,FALSE
1937,The Good Earth,Luise Rainer ‡,TRUE
1937,The Awful Truth,Irene Dunne,FALSE
1937,Camille,Greta Garbo,FALSE
1937,A Star Is Born,Janet Gaynor,FALSE
1937,Stella Dallas,Barbara Stanwyck,FALSE
1938,Jezebel,Bette Davis ‡,TRUE
1938,White Banners,Fay Bainter,FALSE
1938,Pygmalion,Wendy Hiller,FALSE
1938,Marie Antoinette,Norma Shearer,FALSE
1938,Three Comrades,Margaret Sullavan,FALSE
1939,Gone with the Wind,Vivien Leigh ‡,TRUE
1939,Dark Victory,Bette Davis,FALSE
1939,Love Affair,Irene Dunne,FALSE
1939,Ninotchka,Greta Garbo,FALSE
1939,"Goodbye, Mr. Chips",Greer Garson,FALSE
1940,Kitty Foyle,Ginger Rogers ‡,TRUE
1940,The Letter,Bette Davis,FALSE
1940,Rebecca,Joan Fontaine,FALSE
1940,The Philadelphia Story,Katharine Hepburn,FALSE
1940,Our Town,Martha Scott,FALSE
1941,Suspicion,Joan Fontaine ‡,TRUE
1941,The Little Foxes,Bette Davis,FALSE
1941,Hold Back the Dawn,Olivia de Havilland,FALSE
1941,Blossoms in the Dust,Greer Garson,FALSE
1941,Ball of Fire,Barbara Stanwyck,FALSE
1942,Mrs. Miniver,Greer Garson ‡,TRUE
1942,"Now, Voyager",Bette Davis,FALSE
1942,Woman of the Year,Katharine Hepburn,FALSE
1942,My Sister Eileen,Rosalind Russell,FALSE
1942,The Pride of the Yankees,Teresa Wright,FALSE
1943,The Song of Bernadette,Jennifer Jones ‡,TRUE
1943,The More the Merrier,Jean Arthur,FALSE
1943,For Whom the Bell Tolls,Ingrid Bergman,FALSE
1943,The Constant Nymph,Joan Fontaine,FALSE
1943,Madame Curie,Greer Garson,FALSE
1944,Gaslight,Ingrid Bergman ‡,TRUE
1944,Since You Went Away,Claudette Colbert,FALSE
