Year,Film,Nominee,Winner
1927,The Last Command,"Emil Jannings ‡.mw-parser-output .citation{word-wrap:break-word}.mw-parser-output .citation:target{background-color:rgba(0,127,255,0.133)}[A]",TRUE
1927,The Way of All Flesh,"Emil Jannings ‡.mw-parser-output .citation{word-wrap:break-word}.mw-parser-output .citation:target{background-color:rgba(0,127,255,0.133)}[A]",FALSE
1927,The Noose,Richard Barthelmess,FALSE
1927,The Patent Leather Kid,Richard Barthelmess,FALSE
1927,The Circus,Charlie Chaplin[B],FALSE
1928,In Old Arizona,Warner Baxter ‡,TRUE
1928,Thunderbolt,George Bancroft,FALSE
1928,Alibi,Chester Morris,FALSE
1928,The Valiant,Paul Muni,FALSE
1928,The Patriot,Lewis Stone,FALSE
1929,Disraeli,George Arliss ‡[C],TRUE
1929,The Green Goddess,George Arliss,FALSE
1929,The Big House,Wallace Beery,FALSE
1929,The Big Pond,Maurice Chevalier [C],FALSE
1929,The Love Parade,Maurice Chevalier [C],FALSE
1929,Bulldog Drummond,Ronald Colman [C],FALSE
1929,Condemned,Ronald Colman [C],FALSE
1929,The Rogue Song,Lawrence Tibbett,FALSE
1930,A Free Soul,Lionel Barrymore ‡,TRUE
1930,Skippy,Jackie Cooper,FALSE
1930,Cimarron,Richard Dix,FALSE
1930,The Royal Family of Broadway,Fredric March,FALSE
1930,The Front Page,Adolphe Menjou,FALSE
1931,The Champ,Wallace Beery ‡ (Tie) [D],TRUE
1931,Dr. Jekyll and Mr. Hyde,Fredric March ‡ (Tie) [D],FALSE
1931,The Guardsman,Alfred Lunt,FALSE
1932,The Private Life of Henry VIII,Charles Laughton ‡,TRUE
1932,Berkeley Square,Leslie Howard,FALSE
1932,I Am a Fugitive from a Chain Gang,Paul Muni,FALSE
1934,It Happened One Night,Clark Gable ‡,TRUE
1934,The Affairs of Cellini,Frank Morgan,FALSE
1934,The Thin Man,William Powell,FALSE
1935,The Informer,Victor McLaglen ‡,TRUE
1935,Mutiny on the Bounty,Clark Gable,FALSE
1935,Mutiny on the Bounty,Charles Laughton,FALSE
1935,Black Fury,Paul Muni (Write-in)[E],FALSE
1935,Mutiny on the Bounty,Franchot Tone,FALSE
1936,The Story of Louis Pasteur,Paul Muni ‡,TRUE
1936,Mr. Deeds Goes to Town,Gary Cooper,FALSE
1936,Dodsworth,Walter Huston,FALSE
1936,My Man Godfrey,William Powell,FALSE
1936,San Francisco,Spencer Tracy,FALSE
1937,Captains Courageous,Spencer Tracy ‡,TRUE
1937,Conquest,Charles Boyer,FALSE
1937,A Star Is Born,Fredric March,FALSE
1937,Night Must Fall,Robert Montgomery,FALSE
1937,The Life of Emile Zola,Paul Muni,FALSE
1938,Boys Town,Spencer Tracy ‡,TRUE
1938,Algiers,Charles Boyer,FALSE
1938,Angels with Dirty Faces,James Cagney,FALSE
1938,The Citadel,Robert Donat,FALSE
1938,Pygmalion,Leslie Howard,FALSE
1939,"Goodbye, Mr. Chips",Robert Donat ‡,TRUE
1939,Gone with the Wind,Clark Gable,FALSE
1939,Wuthering Heights,Laurence Olivier,FALSE
1939,Babes in Arms,Mickey Rooney,FALSE
1939,Mr. Smith Goes to Washington,James Stewart,FALSE
1940,The Philadelphia Story,James Stewart ‡,TRUE
1940,The Great Dictator,Charlie Chaplin,FALSE
1940,The Grapes of Wrath,Henry Fonda,FALSE
1940,Abe Lincoln in Illinois,Raymond Massey,FALSE
1940,Rebecca,Laurence Olivier,FALSE
1941,Sergeant York,Gary Cooper ‡,TRUE
1941,Penny Serenade,Cary Grant,FALSE
1941,The Devil and Daniel Webster,Walter Huston,FALSE
1941,Here Comes Mr. Jordan,Robert Montgomery,FALSE
1941,Citizen Kane,Orson Welles,FALSE
1942,Yankee Doodle Dandy,James Cagney ‡,TRUE
1942,Random Harvest,Ronald Colman,FALSE
1942,The Pride of the Yankees,Gary Cooper,FALSE
1942,Mrs. Miniver,Walter Pidgeon,FALSE
1942,The Pied Piper,Monty Woolley,FALSE
1943,Watch on the Rhine,Paul Lukas ‡,TRUE
1943,Casablanca,Humphrey Bogart,FALSE
1943,For Whom the Bell Tolls,Gary Cooper,FALSE
1943,Madame Curie,Walter Pidgeon,FALSE
1943,The Human Comedy,Mickey Rooney,FALSE
1944,Going My Way,Bing Crosby ‡,TRUE
1944,Gaslight,Charles Boyer,FALSE
1944,Going My Way,Barry Fitzgerald [F],FALSE
1944,None but the Lonely Heart,Cary Grant,FALSE
1944,Wilson,Alexander Knox,FALSE
1945,The Lost Weekend,Ray Milland ‡,TRUE
1945,The Bells of St. Mary's,Bing Crosby,FALSE
1945,Anchors Aweigh,Gene Kelly,FALSE
1945,The Keys of the Kingdom,Gregory Peck,FALSE
1945,A Song to Remember,Cornel Wilde,FALSE
1946,The Best Years of Our Lives,Fredric March ‡,TRUE
1946,Henry V,Laurence Olivier,FALSE
1946,The Jolson Story,Larry Parks,FALSE
1946,The Yearling,Gregory Peck,FALSE
1946,It's a Wonderful Life,James Stewart,FALSE
1947,A Double Life,Ronald Colman ‡,TRUE
1947,Body and Soul,John Garfield,FALSE
1947,Gentleman's Agreement,Gregory Peck,FALSE
1947,Life with Father,William Powell,FALSE
1947,Mourning Becomes Electra,Michael Redgrave,FALSE
1948,Hamlet,Laurence Olivier ‡,TRUE
1948,Johnny Belinda,Lew Ayres,FALSE
1948,The Search,Montgomery Clift,FALSE
1948,When My Baby Smiles at Me,Dan Dailey,FALSE
1948,Sitting Pretty,Clifton Webb,FALSE
1949,All the King's Men,Broderick Crawford ‡,TRUE
1949,Champion,Kirk Douglas,FALSE
1949,Twelve O'Clock High,Gregory Peck,FALSE
1949,The Hasty Heart,Richard Todd,FALSE
1949,Sands of Iwo Jima,John Wayne,FALSE
1950,Cyrano de Bergerac,José Ferrer ‡,TRUE
1950,The Magnificent Yankee,Louis Calhern,FALSE
1950,Sunset Boulevard,William Holden,FALSE
1950,Harvey,James Stewart,FALSE
1950,Father of the Bride,Spencer Tracy,FALSE
1951,The African Queen,Humphrey Bogart ‡,TRUE
1951,A Streetcar Named Desire,Marlon Brando,FALSE
1951,A Place in the Sun,Montgomery Clift,FALSE
1951,Bright Victory,Arthur Kennedy,FALSE
1951,Death of a Salesman,Fredric March,FALSE
1952,High Noon,Gary Cooper ‡,TRUE
1952,Viva Zapata!,Marlon Brando,FALSE
1952,The Bad and the Beautiful,Kirk Douglas,FALSE
1952,Moulin Rouge,José Ferrer,FALSE
1952,The Lavender Hill Mob,Alec Guinness,FALSE
1953,Stalag 17,William Holden ‡,TRUE
1953,Julius Caesar,Marlon Brando,FALSE
1953,The Robe,Richard Burton,FALSE
