Year,Film,Nominee,Winner
1936,Anthony Adverse,Gale Sondergaard ‡,TRUE
1936,The Gorgeous Hussy,Beulah Bondi,FALSE
1936,My Man Godfrey,Alice Brady,FALSE
1936,These Three,Bonita Granville,FALSE
1936,Dodsworth,Maria Ouspenskaya,FALSE
1937,In Old Chicago,Alice Brady ‡,TRUE
1937,Stage Door,Andrea Leeds,FALSE
1937,Stella Dallas,Anne Shirley,FALSE
1937,Dead End,Claire Trevor,FALSE
1937,Night Must Fall,May Whitty,FALSE
1938,Jezebel,Fay Bainter ‡,TRUE
1938,Of Human Hearts,Beulah Bondi,FALSE
1938,Merrily We Live,Billie Burke,FALSE
1938,You Can't Take It with You,Spring Byington,FALSE
1938,The Great Waltz,Miliza Korjus,FALSE
1939,Gone with the Wind,Hattie McDaniel ‡,TRUE
1939,Gone with the Wind,Olivia de Havilland,FALSE
1939,Wuthering Heights,Geraldine Fitzgerald,FALSE
1939,Drums Along the Mohawk,Edna May Oliver,FALSE
1939,Love Affair,Maria Ouspenskaya,FALSE
1940,The Grapes of Wrath,Jane Darwell ‡,TRUE
1940,Rebecca,Judith Anderson,FALSE
1940,The Philadelphia Story,Ruth Hussey,FALSE
1940,"All This, and Heaven Too",Barbara O'Neil,FALSE
1940,Primrose Path,Marjorie Rambeau,FALSE
1941,The Great Lie,Mary Astor ‡,TRUE
1941,How Green Was My Valley,Sara Allgood,FALSE
1941,The Little Foxes,Patricia Collinge,FALSE
1941,The Little Foxes,Teresa Wright,FALSE
1941,Sergeant York,Margaret Wycherly,FALSE
1942,Mrs. Miniver,Teresa Wright ‡,TRUE
1942,"Now, Voyager",Gladys Cooper,FALSE
1942,The Magnificent Ambersons,Agnes Moorehead,FALSE
1942,Random Harvest,Susan Peters,FALSE
1942,Mrs. Miniver,May Whitty,FALSE
1943,For Whom the Bell Tolls,Katina Paxinou ‡,TRUE
1943,The Song of Bernadette,Gladys Cooper,FALSE
1943,So Proudly We Hail!,Paulette Goddard,FALSE
1943,The Song of Bernadette,Anne Revere,FALSE
1943,Watch on the Rhine,Lucile Watson,FALSE
1944,None but the Lonely Heart,Ethel Barrymore ‡,TRUE
1944,Since You Went Away,Jennifer Jones,FALSE
1944,Gaslight,Angela Lansbury,FALSE
1944,Dragon Seed,Aline MacMahon,FALSE
1944,Mrs. Parkington,Agnes Moorehead,FALSE
1945,National Velvet,Anne Revere ‡,TRUE
1945,Mildred Pierce,Eve Arden,FALSE
1945,Mildred Pierce,Ann Blyth,FALSE
1945,The Picture of Dorian Gray,Angela Lansbury,FALSE
1945,The Corn Is Green,Joan Lorring,FALSE
1946,The Razor's Edge,Anne Baxter ‡,TRUE
1946,The Spiral Staircase,Ethel Barrymore,FALSE
1946,Duel in the Sun,Lillian Gish,FALSE
1946,Saratoga Trunk,Flora Robson,FALSE
1946,Anna and the King of Siam,Gale Sondergaard,FALSE
1947,Gentleman's Agreement,Celeste Holm ‡,TRUE
1947,The Paradine Case,Ethel Barrymore,FALSE
1947,Crossfire,Gloria Grahame,FALSE
1947,The Egg and I,Marjorie Main,FALSE
1947,Gentleman's Agreement,Anne Revere,FALSE
1948,Key Largo,Claire Trevor ‡,TRUE
1948,I Remember Mama,Barbara Bel Geddes,FALSE
1948,I Remember Mama,Ellen Corby,FALSE
1948,Johnny Belinda,Agnes Moorehead,FALSE
1948,Hamlet,Jean Simmons,FALSE
1949,All the King's Men,Mercedes McCambridge ‡,TRUE
1949,Pinky,Ethel Barrymore,FALSE
1949,Come to the Stable,Celeste Holm,FALSE
1949,Come to the Stable,Elsa Lanchester,FALSE
1949,Pinky,Ethel Waters,FALSE
1950,Harvey,Josephine Hull ‡,TRUE
1950,Caged,Hope Emerson,FALSE
1950,All About Eve,Celeste Holm,FALSE
1950,Sunset Boulevard,Nancy Olson,FALSE
1950,All About Eve,Thelma Ritter,FALSE
1951,A Streetcar Named Desire,Kim Hunter ‡,TRUE
1951,The Blue Veil,Joan Blondell,FALSE
1951,Death of a Salesman,Mildred Dunnock,FALSE
1951,Detective Story,Lee Grant,FALSE
1951,The Mating Season,Thelma Ritter,FALSE
1952,The Bad and the Beautiful,Gloria Grahame ‡,TRUE
1952,Singin' in the Rain,Jean Hagen,FALSE
1952,Moulin Rouge,Colette Marchand,FALSE
1952,"Come Back, Little Sheba",Terry Moore,FALSE
1952,With a Song in My Heart,Thelma Ritter,FALSE
1953,From Here to Eternity,Donna Reed ‡,TRUE
1953,Mogambo,Grace Kelly,FALSE
1953,Hondo,Geraldine Page,FALSE
1953,Torch Song,Marjorie Rambeau,FALSE
1953,Pickup on South Street,Thelma Ritter,FALSE
1954,On the Waterfront,Eva Marie Saint ‡,TRUE
1954,Executive Suite,Nina Foch,FALSE
1954,Broken Lance,Katy Jurado,FALSE
1954,The High and the Mighty,Jan Sterling,FALSE
1954,The High and the Mighty,Claire Trevor,FALSE
1955,East of Eden,Jo Van Fleet ‡,TRUE
1955,Marty,Betsy Blair,FALSE
1955,Pete Kelly's Blues,Peggy Lee,FALSE
1955,The Rose Tattoo,Marisa Pavan,FALSE
