Year,Film,Nominee,Winner
1936,Come and Get It,Walter Brennan ‡,TRUE
1936,My Man Godfrey,Mischa Auer,FALSE
1936,Pigskin Parade,Stuart Erwin,FALSE
1936,Romeo and Juliet,Basil Rathbone,FALSE
1936,The General Died at Dawn,Akim Tamiroff,FALSE
1937,The Life of Emile Zola,Joseph Schildkraut ‡,TRUE
1937,The Awful Truth,Ralph Bellamy,FALSE
1937,The Hurricane,Thomas Mitchell,FALSE
1937,Lost Horizon,H. B. Warner,FALSE
1937,Topper,Roland Young,FALSE
1938,Kentucky,Walter Brennan ‡,TRUE
1938,Four Daughters,John Garfield,FALSE
1938,Algiers,Gene Lockhart,FALSE
1938,Marie Antoinette,Robert Morley,FALSE
1938,If I Were King,Basil Rathbone,FALSE
1939,Stagecoach,Thomas Mitchell ‡,TRUE
1939,Juarez,Brian Aherne,FALSE
1939,Mr. Smith Goes to Washington,Harry Carey Sr.,FALSE
1939,Beau Geste,Brian Donlevy,FALSE
1939,Mr. Smith Goes to Washington,Claude Rains,FALSE
1940,The Westerner,Walter Brennan ‡,TRUE
1940,Foreign Correspondent,Albert Bassermann,FALSE
1940,They Knew What They Wanted,William Gargan,FALSE
1940,The Great Dictator,Jack Oakie,FALSE
1940,The Letter,James Stephenson,FALSE
1941,How Green Was My Valley,Donald Crisp ‡,TRUE
1941,Sergeant York,Walter Brennan,FALSE
1941,The Devil and Miss Jones,Charles Coburn,FALSE
1941,Here Comes Mr. Jordan,James Gleason,FALSE
1941,The Maltese Falcon,Sydney Greenstreet,FALSE
1942,Johnny Eager,Van Heflin ‡,TRUE
1942,Wake Island,William Bendix,FALSE
1942,Yankee Doodle Dandy,Walter Huston,FALSE
1942,Tortilla Flat,Frank Morgan,FALSE
1942,Mrs. Miniver,Henry Travers,FALSE
1943,The More the Merrier,Charles Coburn ‡,TRUE
1943,The Song of Bernadette,Charles Bickford,FALSE
1943,Sahara,J. Carrol Naish,FALSE
1943,Casablanca,Claude Rains,FALSE
1943,For Whom the Bell Tolls,Akim Tamiroff,FALSE
1944,Going My Way[a],Barry Fitzgerald ‡,TRUE
1944,The Seventh Cross,Hume Cronyn,FALSE
1944,Mr. Skeffington,Claude Rains,FALSE
1944,Laura,Clifton Webb,FALSE
1944,Since You Went Away,Monty Woolley,FALSE
1945,A Tree Grows in Brooklyn,James Dunn ‡,TRUE
1945,Spellbound,Michael Chekhov,FALSE
1945,The Corn Is Green,John Dall,FALSE
1945,The Story of G.I. Joe,Robert Mitchum,FALSE
1945,A Medal for Benny,J. Carrol Naish,FALSE
1946,The Best Years of Our Lives,Harold Russell ‡,TRUE
1946,The Green Years,Charles Coburn,FALSE
1946,The Jolson Story,William Demarest,FALSE
1946,Notorious,Claude Rains,FALSE
1946,The Razor's Edge,Clifton Webb,FALSE
1947,Miracle on 34th Street,Edmund Gwenn ‡,TRUE
1947,The Farmer's Daughter,Charles Bickford,FALSE
1947,Ride the Pink Horse,Thomas Gomez,FALSE
1947,Crossfire,Robert Ryan,FALSE
1947,Kiss of Death,Richard Widmark,FALSE
1948,The Treasure of the Sierra Madre,Walter Huston ‡,TRUE
1948,Johnny Belinda,Charles Bickford,FALSE
1948,Joan of Arc,José Ferrer,FALSE
1948,I Remember Mama,Oskar Homolka,FALSE
1948,The Luck of the Irish,Cecil Kellaway,FALSE
1949,Twelve O'Clock High,Dean Jagger ‡,TRUE
1949,All the King's Men,John Ireland,FALSE
1949,Champion,Arthur Kennedy,FALSE
1949,The Heiress,Ralph Richardson,FALSE
1949,Battleground,James Whitmore,FALSE
1950,All About Eve,George Sanders ‡,TRUE
1950,Broken Arrow,Jeff Chandler,FALSE
1950,Mister 880,Edmund Gwenn,FALSE
1950,The Asphalt Jungle,Sam Jaffe,FALSE
1950,Sunset Boulevard,Erich von Stroheim,FALSE
1951,A Streetcar Named Desire,Karl Malden ‡,TRUE
1951,Quo Vadis,Leo Genn,FALSE
1951,Death of a Salesman,Kevin McCarthy,FALSE
1951,Quo Vadis,Peter Ustinov,FALSE
1951,Come Fill the Cup,Gig Young,FALSE
1952,Viva Zapata!,Anthony Quinn ‡,TRUE
1952,My Cousin Rachel,Richard Burton,FALSE
1952,The Big Sky,Arthur Hunnicutt,FALSE
1952,The Quiet Man,Victor McLaglen,FALSE
1952,Sudden Fear,Jack Palance,FALSE
1953,From Here to Eternity,Frank Sinatra ‡,TRUE
1953,Roman Holiday,Eddie Albert,FALSE
1953,Shane,Brandon deWilde,FALSE
1953,Shane,Jack Palance,FALSE
1953,Stalag 17,Robert Strauss,FALSE
1954,The Barefoot Contessa,Edmond O'Brien ‡,TRUE
1954,On the Waterfront,Lee J. Cobb,FALSE
1954,On the Waterfront,Karl Malden,FALSE
1954,On the Waterfront,Rod Steiger,FALSE
1954,The Caine Mutiny,Tom Tully,FALSE
1955,Mister Roberts,Jack Lemmon ‡,TRUE
1955,Trial,Arthur Kennedy,FALSE
1955,Marty,Joe Mantell,FALSE
1955,Rebel Without a Cause,Sal Mineo,FALSE
1955,Picnic,Arthur O'Connell,FALSE
1956,Lust for Life,Anthony Quinn ‡,TRUE
1956,Bus Stop,Don Murray,FALSE
1956,Friendly Persuasion,Anthony Perkins,FALSE
1956,The Bold and the Brave,Mickey Rooney,FALSE
1956,Written on the Wind,Robert Stack,FALSE
1957,Sayonara,Red Buttons ‡,TRUE
1957,A Farewell to Arms,Vittorio De Sica,FALSE
1957,The Bridge on the River Kwai,Sessue Hayakawa,FALSE
1957,Peyton Place,Arthur Kennedy,FALSE
1957,Peyton Place,Russ Tamblyn,FALSE
1958,The Big Country,Burl Ives ‡,TRUE
1958,The Defiant Ones,Theodore Bikel,FALSE
1958,The Brothers Karamazov,Lee J. Cobb,FALSE
1958,Some Came Running,Arthur Kennedy,FALSE
1958,Teacher's Pet,Gig Young,FALSE
1959,Ben-Hur,Hugh Griffith ‡,TRUE
1959,Anatomy of a Murder,Arthur O'Connell,FALSE
1959,Anatomy of a Murder,George C. Scott,FALSE
1959,The Young Philadelphians,Robert Vaughn,FALSE
1959,The Diary of Anne Frank,Ed Wynn,FALSE
1960,Spartacus,Peter Ustinov ‡,TRUE
1960,"Murder, Inc.",Peter Falk,FALSE
1960,The Apartment,Jack Kruschen,FALSE
1960,Exodus,Sal Mineo,FALSE
1960,The Alamo,Chill Wills,FALSE
1961,West Side Story,George Chakiris ‡,TRUE
1961,Judgment at Nuremberg,Montgomery Clift,FALSE
1961,Pocketful of Miracles,Peter Falk,FALSE
1961,The Hustler,Jackie Gleason,FALSE
1961,The Hustler,George C. Scott[b] §,FALSE
1962,Sweet Bird of Youth,Ed Begley ‡,TRUE
1962,What Ever Happened to Baby Jane?,Victor Buono,FALSE
1962,Birdman of Alcatraz,Telly Savalas,FALSE
1962,Lawrence of Arabia,Omar Sharif,FALSE
1962,Billy Budd,Terence Stamp,FALSE
1963,Hud,Melvyn Douglas ‡,TRUE
1963,Twilight of Honor,Nick Adams,FALSE
1963,"Captain Newman, M.D.",Bobby Darin,FALSE
1963,Tom Jones,Hugh Griffith,FALSE
1963,The Cardinal,John Huston,FALSE
1964,Topkapi,Peter Ustinov ‡,TRUE
1964,Becket,John Gielgud,FALSE
1964,My Fair Lady,Stanley Holloway,FALSE
1964,Seven Days in May,Edmond O'Brien,FALSE
1964,The Best Man,Lee Tracy,FALSE
1965,A Thousand Clowns,Martin Balsam ‡,TRUE
1965,The Flight of the Phoenix,Ian Bannen,FALSE
1965,Doctor Zhivago,Tom Courtenay,FALSE
1965,Ship of Fools,Michael Dunn,FALSE
1965,Othello,Frank Finlay,FALSE
1966,The Fortune Cookie,Walter Matthau ‡,TRUE
1966,The Sand Pebbles,Mako,FALSE
1966,Georgy Girl,James Mason,FALSE
1966,Who's Afraid of Virginia Woolf?,George Segal,FALSE
1966,A Man for All Seasons,Robert Shaw,FALSE
1967,Cool Hand Luke,George Kennedy ‡,TRUE
1967,The Dirty Dozen,John Cassavetes,FALSE
1967,Bonnie and Clyde,Gene Hackman,FALSE
1967,Guess Who's Coming to Dinner,Cecil Kellaway,FALSE
1967,Bonnie and Clyde,Michael J. Pollard,FALSE
1968,The Subject Was Roses,Jack Albertson ‡,TRUE
1968,Faces,Seymour Cassel,FALSE
1968,Star!,Daniel Massey,FALSE
1968,Oliver!,Jack Wild,FALSE
1968,The Producers,Gene Wilder,FALSE
1969,"They Shoot Horses, Don't They?",Gig Young ‡,TRUE
1969,The Reivers,Rupert Crosse,FALSE
1969,Bob & Carol & Ted & Alice,Elliott Gould,FALSE
1969,Easy Rider,Jack Nicholson,FALSE
1969,Anne of the Thousand Days,Anthony Quayle,FALSE
1970,Ryan's Daughter,John Mills ‡,TRUE
1970,Lovers and Other Strangers,Richard S. Castellano,FALSE
1970,Little Big Man,Chief Dan George,FALSE
1970,I Never Sang for My Father,Gene Hackman,FALSE
1970,Love Story,John Marley,FALSE
1971,The Last Picture Show,Ben Johnson ‡,TRUE
1971,The Last Picture Show,Jeff Bridges,FALSE
1971,Fiddler on the Roof,Leonard Frey,FALSE
1971,Sometimes a Great Notion,Richard Jaeckel,FALSE
1971,The French Connection,Roy Scheider,FALSE
1972,Cabaret,Joel Grey ‡,TRUE
1972,The Heartbreak Kid,Eddie Albert,FALSE
1972,The Godfather,James Caan,FALSE
1972,The Godfather,Robert Duvall,FALSE
1972,The Godfather,Al Pacino,FALSE
1973,The Paper Chase,John Houseman ‡,TRUE
1973,Bang the Drum Slowly,Vincent Gardenia,FALSE
1973,Save the Tiger,Jack Gilford,FALSE
1973,The Exorcist,Jason Miller,FALSE
1973,The Last Detail,Randy Quaid,FALSE
1974,The Godfather Part II,Robert De Niro ‡,TRUE
1974,The Towering Inferno,Fred Astaire,FALSE
1974,Thunderbolt and Lightfoot,Jeff Bridges,FALSE
1974,The Godfather Part II,Michael V. Gazzo,FALSE
1974,The Godfather Part II,Lee Strasberg,FALSE
1975,The Sunshine Boys,George Burns ‡,TRUE
1975,One Flew Over the Cuckoo's Nest,Brad Dourif,FALSE
1975,The Day of the Locust,Burgess Meredith,FALSE
1975,Dog Day Afternoon,Chris Sarandon,FALSE
1975,Shampoo,Jack Warden,FALSE
1976,All the President's Men,Jason Robards ‡,TRUE
1976,Network,Ned Beatty,FALSE
1976,Rocky,Burgess Meredith,FALSE
1976,Marathon Man,Laurence Olivier,FALSE
1976,Rocky,Burt Young,FALSE
1977,Julia,Jason Robards ‡,TRUE
1977,The Turning Point,Mikhail Baryshnikov,FALSE
1977,Equus,Peter Firth,FALSE
1977,Star Wars,Alec Guinness,FALSE
1977,Julia,Maximilian Schell,FALSE
1978,The Deer Hunter,Christopher Walken ‡,TRUE
1978,Coming Home,Bruce Dern,FALSE
1978,Comes a Horseman,Richard Farnsworth,FALSE
1978,Midnight Express,John Hurt,FALSE
1978,Heaven Can Wait,Jack Warden,FALSE
1979,Being There,Melvyn Douglas ‡,TRUE
1979,Apocalypse Now,Robert Duvall,FALSE
1979,The Rose,Frederic Forrest,FALSE
1979,Kramer vs. Kramer,Justin Henry,FALSE
1979,The Black Stallion,Mickey Rooney,FALSE
1980,Ordinary People,Timothy Hutton ‡,TRUE
1980,Ordinary People,Judd Hirsch,FALSE
1980,The Great Santini,Michael O'Keefe,FALSE
1980,Raging Bull,Joe Pesci,FALSE
1980,Melvin and Howard,Jason Robards,FALSE
1981,Arthur,John Gielgud ‡,TRUE
1981,Only When I Laugh,James Coco,FALSE
1981,Chariots of Fire,Ian Holm,FALSE
1981,Reds,Jack Nicholson,FALSE
1981,Ragtime,Howard Rollins,FALSE
1982,An Officer and a Gentleman,Louis Gossett Jr. ‡,TRUE
1982,The Best Little Whorehouse in Texas,Charles Durning,FALSE
1982,The World According to Garp,John Lithgow,FALSE
1982,The Verdict,James Mason,FALSE
1982,Victor/Victoria,Robert Preston,FALSE
1983,Terms of Endearment,Jack Nicholson ‡,TRUE
1983,To Be or Not to Be,Charles Durning,FALSE
