Year,Film,Nominee,Winner
1989,Driving Miss Daisy,Lili Fini Zanuck and Richard D. Zanuck,TRUE
1990,Dances with Wolves,Jim Wilson and Kevin Costner,TRUE
1991,The Silence of the Lambs,"Edward Saxon, Kenneth Utt, and Ron Bozman",TRUE
1991,At Play in the Fields of the Lord,Saul Zaentz,FALSE
1991,Boyz n the Hood,Steve Nicolaides,FALSE
1991,The Commitments,Roger Randall-Cutler and Lynda Myles,FALSE
1991,JFK,A. Kitman Ho and Oliver Stone,FALSE
1991,The Prince of Tides,Barbra Streisand and Andrew S. Karsch,FALSE
1992,The Crying Game,Stephen Woolley,TRUE
1992,A Few Good Men,"Rob Reiner, David Brown, and Andrew Scheinman",FALSE
1992,Howards End,Ismail Merchant,FALSE
1992,Scent of a Woman,Martin Brest,FALSE
1992,Unforgiven,Clint Eastwood and David Valdes,FALSE
1993,Schindler's List,"Steven Spielberg, Gerald R. Molen, and Branko Lustig",TRUE
1993,The Fugitive,Arnold Kopelson,FALSE
1993,In the Name of the Father,Jim Sheridan,FALSE
1993,The Piano,Jan Chapman,FALSE
1993,The Remains of the Day,"Mike Nichols, John Calley, and Ismail Merchant",FALSE
1994,Forrest Gump,"Wendy Finerman, Steve Tisch, and Steve Starkey",TRUE
1994,Four Weddings and a Funeral,Duncan Kenworthy,FALSE
1994,Pulp Fiction,Lawrence Bender,FALSE
1994,Quiz Show,"Robert Redford, Michael Jacobs, Julian Krainin, and Michael Nozik",FALSE
1994,The Shawshank Redemption,Niki Marvin,FALSE
1995,Apollo 13,Brian Grazer,TRUE
1995,The American President,Rob Reiner,FALSE
1995,The Bridges of Madison County,Clint Eastwood and Kathleen Kennedy,FALSE
1995,Dead Man Walking,Jon Kilik and Tim Robbins,FALSE
1995,Il Postino: The Postman,"Mario Cecchi Gori, Vittorio Cecchi Gori and Gaetano Daniele",FALSE
1995,Leaving Las Vegas,Lila Cazès and Annie Stewart,FALSE
1995,Sense and Sensibility,Lindsay Doran,FALSE
1996,The English Patient,Saul Zaentz,TRUE
1996,Fargo,Ethan Coen,FALSE
1996,Hamlet,David Barron,FALSE
1996,The People vs. Larry Flynt,"Oliver Stone, Janet Yang, and Michael Hausman",FALSE
1996,Shine,Jane Scott,FALSE
1997,Titanic,James Cameron and Jon Landau,TRUE
1997,Amistad,"Steven Spielberg, Debbie Allen, and Colin Wilson",FALSE
1997,As Good as It Gets,"James L. Brooks, Bridget Johnson, and Kristi Zea",FALSE
1997,Good Will Hunting,Lawrence Bender,FALSE
1997,L.A. Confidential,"Arnon Milchan, Curtis Hanson, and Michael G. Nathanson",FALSE
1998,Saving Private Ryan,"Steven Spielberg, Allison Lyon Segan, Bonnie Curtis, Ian Bryce, Mark Gordon, and Gary Levinsohn",TRUE
1998,Gods and Monsters,"Paul Colichman, Gregg Fienberg, and Mark R. Harris",FALSE
1998,Life Is Beautiful (La vita è bella),Elda Ferri and Gianluigi Braschi,FALSE
1998,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, and Marc Norman",FALSE
1998,Waking Ned,Glynis Murray and Richard Holmes,FALSE
1999,American Beauty,Bruce Cohen and Dan Jinks,TRUE
1999,Being John Malkovich,"Michael Stipe, Sandy Stern, Steve Golin, and Vincent Landay",FALSE
1999,The Cider House Rules,Richard N. Gladstein,FALSE
1999,The Hurricane,"Norman Jewison, Armyan Bernstein, and John Ketcham",FALSE
1999,The Insider,Michael Mann and Pieter Jan Brugge,FALSE
2000,Gladiator,Douglas Wick and Branko Lustig,TRUE
2000,Almost Famous,Cameron Crowe and Ian Bryce,FALSE
2000,Billy Elliot,Greg Brenman and Jon Finn,FALSE
2000,"Crouching Tiger, Hidden Dragon (Wo hu cang long)","William Kong, Hsu Li-kong, and Ang Lee",FALSE
2000,Erin Brockovich,"Danny DeVito, Michael Shamberg, and Stacey Sher",FALSE
2001,Moulin Rouge!,"Baz Luhrmann, Fred Baron, and Martin Brown",TRUE
2001,A Beautiful Mind,Brian Grazer and Ron Howard,FALSE
2001,Harry Potter and the Sorcerer's Stone,David Heyman,FALSE
2001,The Lord of the Rings: The Fellowship of the Ring,"Barrie M. Osborne, Peter Jackson, and Fran Walsh",FALSE
2001,Shrek,"Aron Warner, John H. Williams, and Jeffrey Katzenberg",FALSE
2002,Chicago,Martin Richards,TRUE
2002,Adaptation,"Edward Saxon, Jonathan Demme, and Vincent Landay",FALSE
2002,Gangs of New York,Alberto Grimaldi and Harvey Weinstein,FALSE
2002,The Lord of the Rings: The Two Towers,"Barrie M. Osborne, Peter Jackson, and Fran Walsh",FALSE
2002,My Big Fat Greek Wedding,"Rita Wilson, Tom Hanks, and Gary Goetzman",FALSE
2002,Road to Perdition,Richard D. Zanuck and Dean Zanuck,FALSE
2003,The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson, and Fran Walsh",TRUE
2003,Cold Mountain,Albert Berger,FALSE
2003,The Last Samurai,"Marshall Herskovitz, Edward Zwick, Tom Cruise, and Paula Wagner",FALSE
2003,Master and Commander: The Far Side of the World,"Samuel Goldwyn Jr., Duncan Henderson, and Peter Weir",FALSE
2003,Mystic River,"Robert Lorenz, Judie G. Hoyt, and Clint Eastwood",FALSE
2003,Seabiscuit,"Kathleen Kennedy, Frank Marshall, and Gary Ross",FALSE
2004,The Aviator,Michael Mann and Graham King,TRUE
2004,Finding Neverland,Richard N. Gladstein and Nellie Bellflower,FALSE
2004,The Incredibles,John Walker,FALSE
2004,Million Dollar Baby,"Clint Eastwood, Albert S. Ruddy, and Tom Rosenberg",FALSE
2004,Sideways,Michael London,FALSE
2005,Brokeback Mountain,Diana Ossana and James Schamus,TRUE
2005,Capote,"Caroline Baron, William Vince, and Michael Ohoven",FALSE
2005,Crash,Paul Haggis and Cathy Schulman,FALSE
2005,"Good Night, and Good Luck",Grant Heslov,FALSE
2005,Walk the Line,James Keach and Cathy Konrad,FALSE
2006,Little Miss Sunshine,"Albert Berger, David T. Friendly, Peter Saraf, Marc Turtletaub, and Ron Yerxa",TRUE
2006,Babel,"Steve Golin, Alejandro González Iñárritu, and Jon Kilik",FALSE
2006,The Departed,Graham King,FALSE
2006,Dreamgirls,Laurence Mark,FALSE
2006,The Queen,"Andy Harries, Christine Langan, and Tracey Seaward",FALSE
2007,No Country for Old Men,"Scott Rudin, Joel Coen, and Ethan Coen",TRUE
2007,The Diving Bell and the Butterfly,Kathleen Kennedy and Jon Kilik,FALSE
2007,Juno,"Lianne Halfon, Mason Novick, and Russell Smith",FALSE
2007,Michael Clayton,"Jennifer Fox, Kerry Orent, and Sydney Pollack",FALSE
2007,There Will Be Blood,"Paul Thomas Anderson, Daniel Lupi, and JoAnne Sellar",FALSE
2008,Slumdog Millionaire,Christian Colson,TRUE
2008,The Curious Case of Benjamin Button,"Kathleen Kennedy, Frank Marshall, and Ceán Chaffin",FALSE
2008,The Dark Knight,"Christopher Nolan, Emma Thomas, and Charles Roven",FALSE
2008,Frost/Nixon,"Ron Howard, Brian Grazer, and Eric Fellner",FALSE
2008,Milk,Bruce Cohen and Dan Jinks,FALSE
2009,The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier, and Greg Shapiro",TRUE
2009,Avatar,James Cameron and Jon Landau,FALSE
2009,District 9,Peter Jackson and Carolynne Cunningham,FALSE
2009,An Education,Finola Dwyer and Amanda Posey,FALSE
2009,Inglourious Basterds,Lawrence Bender,FALSE
2009,Invictus,"Clint Eastwood, Lori McCreary, Robert Lorenz, and Mace Neufeld",FALSE
2009,Precious,"Lee Daniels, Sarah Siegel-Magness, and Gary Magness",FALSE
2009,Star Trek,J. J. Abrams and Damon Lindelof,FALSE
2009,Up,Jonas Rivera,FALSE
2009,Up in the Air,"Ivan Reitman, Jason Reitman, and Daniel Dubiecki",FALSE
2010,The King's Speech,"Iain Canning, Emile Sherman, and Gareth Unwin",TRUE
2010,127 Hours,Danny Boyle and Christian Colson,FALSE
2010,Black Swan,"Scott Franklin, Mike Medavoy, and Brian Oliver",FALSE
2010,The Fighter,"David Hoberman, Todd Lieberman, and Mark Wahlberg",FALSE
2010,Inception,Christopher Nolan and Emma Thomas,FALSE
2010,The Kids Are All Right,"Gary Gilbert, Jeffrey Levy-Hinte, and Celine Rattray",FALSE
2010,The Social Network,"Dana Brunetti, Ceán Chaffin, Michael De Luca, and Scott Rudin",FALSE
2010,The Town,Basil Iwanyk and Graham King,FALSE
2010,Toy Story 3,Darla K. Anderson,FALSE
2010,True Grit,"Joel Coen, Ethan Coen, and Scott Rudin",FALSE
2011,The Artist,Thomas Langmann,TRUE
2011,Bridesmaids,"Judd Apatow, Barry Mendel, and Clayton Townsend",FALSE
2011,The Descendants,"Jim Burke, Alexander Payne, and Jim Taylor",FALSE
2011,The Girl with the Dragon Tattoo,Ceán Chaffin and Scott Rudin,FALSE
2011,The Help,"Michael Barnathan, Chris Columbus, and Brunson Green",FALSE
2011,Hugo,Graham King and Martin Scorsese,FALSE
2011,The Ides of March,"George Clooney, Grant Heslov, and Brian Oliver",FALSE
2011,Midnight in Paris,Letty Aronson and Stephen Tenenbaum,FALSE
2011,Moneyball,"Michael De Luca, Rachael Horovitz, and Brad Pitt",FALSE
2011,War Horse,Kathleen Kennedy and Steven Spielberg,FALSE
2012,Argo,"Ben Affleck, George Clooney, and Grant Heslov",TRUE
2012,Beasts of the Southern Wild,"Michael Gottwald, Dan Janvey, and Josh Penn",FALSE
2012,Django Unchained,"Reginald Hudlin, Pilar Savone, and Stacey Sher",FALSE
2012,Les Misérables,"Tim Bevan, Eric Fellner, Debra Hayward, and Cameron Mackintosh",FALSE
2012,Life of Pi,"Ang Lee, Gil Netter, and David Womark",FALSE
2012,Lincoln,Kathleen Kennedy and Steven Spielberg,FALSE
2012,Moonrise Kingdom,"Wes Anderson, Jeremy Dawson, Steven Rales, and Scott Rudin",FALSE
2012,Silver Linings Playbook,"Bruce Cohen, Donna Gigliotti, and Jonathan Gordon",FALSE
2012,Skyfall,Barbara Broccoli and Michael G. Wilson,FALSE
2012,Zero Dark Thirty,"Kathryn Bigelow, Mark Boal, and Megan Ellison",FALSE
2013,12 Years a Slave,"Anthony Katagas, Jeremy Kleiner, Steve McQueen, Brad Pitt, and Dede Gardner",TRUE
2013,Gravity,Alfonso Cuarón and David Heyman,FALSE
2013,American Hustle,"Megan Ellison, Jonathan Gordon, Charles Roven, and Richard Suckle",FALSE
2013,Blue Jasmine,Letty Aronson and Stephen Tenenbaum,FALSE
2013,Captain Phillips,"Dana Brunetti, Michael De Luca, and Scott Rudin",FALSE
2013,Dallas Buyers Club,Robbie Brenner and Rachel Winter,FALSE
2013,Her,"Megan Ellison, Spike Jonze, and Vincent Landay",FALSE
2013,Nebraska,Albert Berger and Ron Yerxa,FALSE
2013,Saving Mr. Banks,"Ian Collie, Alison Owen, and Philip Steuer",FALSE
