Year,Film,Nominee,Winner
1994,Nell,Jodie Foster,TRUE
1994,Blue Sky,Jessica Lange ‡,FALSE
1994,When a Man Loves a Woman,Meg Ryan,FALSE
1994,The Client,Susan Sarandon,FALSE
1994,The River Wild,Meryl Streep,FALSE
1995,Dead Man Walking,Susan Sarandon ‡,TRUE
1995,Nixon,Joan Allen,FALSE
1995,Leaving Las Vegas,Elisabeth Shue,FALSE
1995,The Bridges of Madison County,Meryl Streep,FALSE
1995,Sense and Sensibility,Emma Thompson,FALSE
1996,Fargo,Frances McDormand ‡,TRUE
1996,Secrets & Lies,Brenda Blethyn,FALSE
1996,Marvin's Room,Diane Keaton,FALSE
1996,Unhook the Stars,Gena Rowlands,FALSE
1996,The English Patient,Kristin Scott Thomas,FALSE
1997,As Good as It Gets,Helen Hunt ‡,TRUE
1997,The Wings of the Dove,Helena Bonham Carter,FALSE
1997,Mrs Brown,Judi Dench,FALSE
1997,Jackie Brown,Pam Grier,FALSE
1997,Titanic,Kate Winslet,FALSE
1997,She's So Lovely,Robin Wright,FALSE
1998,Shakespeare in Love,Gwyneth Paltrow ‡,TRUE
1998,Elizabeth,Cate Blanchett,FALSE
1998,Little Voice,Jane Horrocks,FALSE
1998,One True Thing,Meryl Streep,FALSE
1998,Hilary and Jackie,Emily Watson,FALSE
1999,American Beauty,Annette Bening,TRUE
1999,Tumbleweeds,Janet McTeer,FALSE
1999,The End of the Affair,Julianne Moore,FALSE
1999,Music of the Heart,Meryl Streep,FALSE
1999,Boys Don't Cry,Hilary Swank ‡,FALSE
2000,Erin Brockovich,Julia Roberts ‡,TRUE
2000,The Contender,Joan Allen,FALSE
2000,Chocolat,Juliette Binoche,FALSE
2000,Requiem for a Dream,Ellen Burstyn,FALSE
2000,You Can Count on Me,Laura Linney,FALSE
2001,Monster's Ball,Halle Berry ‡,TRUE
2001,A Beautiful Mind,Jennifer Connelly ‡ won Academy Award for Best Supporting Actress,FALSE
2001,Iris,Judi Dench,FALSE
2001,In the Bedroom,Sissy Spacek,FALSE
2001,Bridget Jones's Diary,Renée Zellweger,FALSE
2002,Chicago,Renée Zellweger,TRUE
2002,Frida,Salma Hayek,FALSE
2002,The Hours,Nicole Kidman ‡,FALSE
2002,Unfaithful,Diane Lane,FALSE
2002,Far from Heaven,Julianne Moore,FALSE
2003,Monster,Charlize Theron ‡,TRUE
2003,The Station Agent,Patricia Clarkson,FALSE
2003,Something's Gotta Give,Diane Keaton,FALSE
2003,21 Grams,Naomi Watts,FALSE
2003,Thirteen,Evan Rachel Wood,FALSE
2004,Million Dollar Baby,Hilary Swank ‡,TRUE
2004,Being Julia,Annette Bening,FALSE
2004,Maria Full of Grace,Catalina Sandino Moreno,FALSE
2004,Vera Drake,Imelda Staunton,FALSE
2004,Eternal Sunshine of the Spotless Mind,Kate Winslet,FALSE
2005,Walk the Line,Reese Witherspoon ‡,TRUE
2005,Mrs Henderson Presents,Judi Dench,FALSE
2005,Transamerica,Felicity Huffman,FALSE
2005,North Country,Charlize Theron,FALSE
2005,Memoirs of a Geisha,Ziyi Zhang,FALSE
2006,The Queen,Helen Mirren ‡,TRUE
2006,Volver,Penélope Cruz,FALSE
2006,Notes on a Scandal,Judi Dench,FALSE
2006,The Devil Wears Prada,Meryl Streep,FALSE
2006,Little Children,Kate Winslet,FALSE
2007,Away from Her,Julie Christie,TRUE
2007,Elizabeth: The Golden Age,Cate Blanchett,FALSE
2007,La Vie en Rose (La môme),Marion Cotillard ‡,FALSE
2007,A Mighty Heart,Angelina Jolie,FALSE
2007,Juno,Elliot Page,FALSE
2008,Doubt,Meryl Streep,TRUE
2008,Rachel Getting Married,Anne Hathaway,FALSE
2008,Changeling,Angelina Jolie,FALSE
2008,Frozen River,Melissa Leo,FALSE
