Year,Film,Nominee,Winner
1994,Bullets over Broadway,Dianne Wiest ‡,TRUE
1994,True Lies,Jamie Lee Curtis,FALSE
1994,Forrest Gump,Sally Field,FALSE
1994,Pulp Fiction,Uma Thurman,FALSE
1994,Forrest Gump,Robin Wright,FALSE
1995,Sense and Sensibility,Kate Winslet,TRUE
1995,Smoke,Stockard Channing,FALSE
1995,The Crossing Guard,Anjelica Huston,FALSE
1995,Mighty Aphrodite,Mira Sorvino ‡,FALSE
1995,Georgia,Mare Winningham,FALSE
1996,The Mirror Has Two Faces,Lauren Bacall,TRUE
1996,The English Patient,Juliette Binoche ‡,FALSE
1996,Unhook the Stars,Marisa Tomei,FALSE
1996,Marvin's Room,Gwen Verdon,FALSE
1996,Jerry Maguire,Renée Zellweger,FALSE
1997,L.A. Confidential,Kim Basinger ‡ (TIE),TRUE
1997,Titanic,Gloria Stuart (TIE),TRUE
1997,Good Will Hunting,Minnie Driver,FALSE
1997,The Wings of the Dove,Alison Elliott,FALSE
1997,Boogie Nights,Julianne Moore,FALSE
1998,Primary Colors,Kathy Bates,TRUE
1998,Little Voice,Brenda Blethyn,FALSE
1998,Shakespeare in Love,Judi Dench ‡,FALSE
1998,Hilary and Jackie,Rachel Griffiths,FALSE
1998,Gods and Monsters,Lynn Redgrave,FALSE
1999,"Girl, Interrupted",Angelina Jolie ‡,TRUE
1999,Being John Malkovich,Cameron Diaz,FALSE
1999,Being John Malkovich,Catherine Keener,FALSE
1999,Magnolia,Julianne Moore,FALSE
1999,Boys Don't Cry,Chloë Sevigny,FALSE
2000,Chocolat,Judi Dench,TRUE
2000,Almost Famous,Kate Hudson,FALSE
2000,Almost Famous,Frances McDormand,FALSE
2000,Billy Elliot,Julie Walters,FALSE
2000,Quills,Kate Winslet,FALSE
2001,Gosford Park,Helen Mirren,TRUE
2001,Bandits,Cate Blanchett,FALSE
2001,The Shipping News,Judi Dench,FALSE
2001,Vanilla Sky,Cameron Diaz,FALSE
2001,I Am Sam,Dakota Fanning,FALSE
2002,Chicago,Catherine Zeta-Jones ‡,TRUE
2002,About Schmidt,Kathy Bates,FALSE
2002,Chicago,Queen Latifah,FALSE
2002,The Hours,Julianne Moore,FALSE
2002,White Oleander,Michelle Pfeiffer,FALSE
2003,Cold Mountain,Renée Zellweger ‡,TRUE
2003,The Cooler,Maria Bello,FALSE
2003,Whale Rider,Keisha Castle-Hughes,FALSE
2003,Pieces of April,Patricia Clarkson,FALSE
2003,Thirteen,Holly Hunter,FALSE
2004,The Aviator,Cate Blanchett ‡,TRUE
2004,Spanglish,Cloris Leachman,FALSE
2004,Kinsey,Laura Linney,FALSE
