Year,Film,Nominee,Winner
1994,Ed Wood,Martin Landau ‡,TRUE
1994,Pulp Fiction,Samuel L. Jackson,FALSE
1994,Bullets over Broadway,Chazz Palminteri,FALSE
1994,Forrest Gump,Gary Sinise,FALSE
1994,Quiz Show,John Turturro,FALSE
1995,Apollo 13,Ed Harris,TRUE
1995,Murder in the First,Kevin Bacon,FALSE
1995,Othello,Kenneth Branagh,FALSE
1995,Devil in a Blue Dress,Don Cheadle,FALSE
1995,The Usual Suspects,Kevin Spacey ‡,FALSE
1996,Jerry Maguire,Cuba Gooding Jr. ‡,TRUE
1996,The Birdcage,Hank Azaria,FALSE
1996,The Birdcage,Nathan Lane,FALSE
1996,Fargo,William H. Macy,FALSE
1996,Shine,Noah Taylor,FALSE
1997,Good Will Hunting,Robin Williams ‡,TRUE
1997,Mrs Brown,Billy Connolly,FALSE
1997,Amistad,Anthony Hopkins,FALSE
1997,As Good as It Gets,Greg Kinnear,FALSE
1997,Boogie Nights,Burt Reynolds,FALSE
1998,A Civil Action,Robert Duvall,TRUE
1998,Affliction,James Coburn ‡,FALSE
1998,Waking Ned Devine,David Kelly,FALSE
1998,Shakespeare in Love,Geoffrey Rush,FALSE
1998,A Simple Plan,Billy Bob Thornton,FALSE
1999,The Cider House Rules,Michael Caine ‡,TRUE
1999,American Beauty,Chris Cooper,FALSE
1999,Magnolia,Tom Cruise,FALSE
1999,The Green Mile,Michael Clarke Duncan,FALSE
1999,The Sixth Sense,Haley Joel Osment,FALSE
2000,Erin Brockovich,Albert Finney,TRUE
2000,The Contender,Jeff Bridges,FALSE
2000,Shadow of the Vampire,Willem Dafoe,FALSE
2000,The Contender,Gary Oldman,FALSE
2000,Gladiator,Joaquin Phoenix,FALSE
2001,The Lord of the Rings: The Fellowship of the Ring,Ian McKellen,TRUE
2001,Iris,Jim Broadbent ‡,FALSE
2001,Life as a House,Hayden Christensen,FALSE
2001,Training Day,Ethan Hawke,FALSE
2001,Sexy Beast,Ben Kingsley,FALSE
2002,Catch Me If You Can,Christopher Walken,TRUE
2002,Adaptation.,Chris Cooper ‡,FALSE
2002,The Hours,Ed Harris,FALSE
2002,Frida,Alfred Molina,FALSE
2002,Far from Heaven,Dennis Quaid,FALSE
2003,Mystic River,Tim Robbins ‡,TRUE
2003,The Cooler,Alec Baldwin,FALSE
2003,Seabiscuit,Chris Cooper,FALSE
2003,21 Grams,Benicio del Toro,FALSE
2003,The Last Samurai,Ken Watanabe,FALSE
2004,Million Dollar Baby,Morgan Freeman ‡,TRUE
2004,Sideways,Thomas Haden Church,FALSE
2004,Collateral,Jamie Foxx,FALSE
2004,The Notebook,James Garner,FALSE
2004,Finding Neverland,Freddie Highmore,FALSE
2005,Cinderella Man,Paul Giamatti,TRUE
2005,Crash,Don Cheadle,FALSE
2005,Crash,Matt Dillon,FALSE
2005,Syriana,George Clooney ‡,FALSE
2005,Brokeback Mountain,Jake Gyllenhaal,FALSE
2006,Dreamgirls,Eddie Murphy,TRUE
2006,Little Miss Sunshine,Alan Arkin ‡,FALSE
2006,The Departed,Leonardo DiCaprio,FALSE
2006,Little Children,Jackie Earle Haley,FALSE
2006,Blood Diamond,Djimon Hounsou,FALSE
2007,No Country for Old Men,Javier Bardem ‡,TRUE
2007,The Assassination of Jesse James by the Coward Robert Ford,Casey Affleck,FALSE
2007,Into the Wild,Hal Holbrook,FALSE
2007,No Country for Old Men,Tommy Lee Jones,FALSE
2007,Michael Clayton,Tom Wilkinson,FALSE
2008,The Dark Knight,Heath Ledger † ‡,TRUE
2008,Milk,Josh Brolin,FALSE
2008,Tropic Thunder,Robert Downey Jr.,FALSE
2008,Doubt,Philip Seymour Hoffman,FALSE
2008,Slumdog Millionaire,Dev Patel,FALSE
2009,Inglourious Basterds,Christoph Waltz ‡,TRUE
2009,Invictus,Matt Damon,FALSE
2009,The Messenger,Woody Harrelson,FALSE
2009,The Last Station,Christopher Plummer,FALSE
2009,The Lovely Bones,Stanley Tucci,FALSE
2010,The Fighter,Christian Bale ‡,TRUE
2010,Winter's Bone,John Hawkes,FALSE
2010,The Town,Jeremy Renner,FALSE
2010,The Kids Are All Right,Mark Ruffalo,FALSE
2010,The King's Speech,Geoffrey Rush,FALSE
2011,Beginners,Christopher Plummer ‡,TRUE
2011,My Week with Marilyn,Kenneth Branagh,FALSE
2011,J. Edgar,Armie Hammer,FALSE
2011,Moneyball,Jonah Hill,FALSE
2011,Warrior,Nick Nolte,FALSE
2012,Lincoln,Tommy Lee Jones,TRUE
2012,Argo,Alan Arkin,FALSE
2012,Skyfall,Javier Bardem,FALSE
2012,Silver Linings Playbook,Robert De Niro,FALSE
2012,The Master,Philip Seymour Hoffman,FALSE
2013,Dallas Buyers Club,Jared Leto ‡,TRUE
2013,Captain Phillips,Barkhad Abdi,FALSE
2013,Rush,Daniel Brühl,FALSE
2013,12 Years a Slave,Michael Fassbender,FALSE
2013,Enough Said,James Gandolfini †,FALSE
2014,Whiplash,J. K. Simmons ‡,TRUE
2014,The Judge,Robert Duvall,FALSE
2014,Boyhood,Ethan Hawke,FALSE
2014,Birdman,Edward Norton,FALSE
2014,Foxcatcher,Mark Ruffalo,FALSE
2015,Beasts of No Nation,Idris Elba,TRUE
2015,The Big Short,Christian Bale,FALSE
2015,Bridge of Spies,Mark Rylance ‡,FALSE
2015,99 Homes,Michael Shannon,FALSE
2015,Room,Jacob Tremblay,FALSE
2016,Moonlight,Mahershala Ali ‡,TRUE
2016,Hell or High Water,Jeff Bridges,FALSE
2016,Florence Foster Jenkins,Hugh Grant,FALSE
2016,Manchester by the Sea,Lucas Hedges,FALSE
2016,Lion,Dev Patel,FALSE
2017,"Three Billboards Outside Ebbing, Missouri",Sam Rockwell ‡,TRUE
2017,Battle of the Sexes,Steve Carell,FALSE
2017,The Florida Project,Willem Dafoe,FALSE
2017,"Three Billboards Outside Ebbing, Missouri",Woody Harrelson,FALSE
2017,The Shape of Water,Richard Jenkins,FALSE
2018,Green Book,Mahershala Ali ‡,TRUE
2018,Beautiful Boy,Timothée Chalamet,FALSE
2018,BlacKkKlansman,Adam Driver,FALSE
2018,A Star Is Born,Sam Elliott,FALSE
2018,Can You Ever Forgive Me?,Richard E. Grant,FALSE
2019,Once Upon a Time in Hollywood,Brad Pitt ‡,TRUE
2019,Just Mercy,Jamie Foxx,FALSE
2019,A Beautiful Day in the Neighborhood,Tom Hanks,FALSE
2019,The Irishman,Al Pacino,FALSE
2019,The Irishman,Joe Pesci,FALSE
