Year,Film,Nominee,Winner
1969,Butch Cassidy and the Sundance Kid,William Goldman,TRUE
1969,Alice's Restaurant,Venable Herndon and Arthur Penn,FALSE
1969,Downhill Racer,James Salter,FALSE
1969,Easy Rider,"Peter Fonda, Dennis Hopper, and Terry Southern",FALSE
1969,"Me, Natalie",A. Martin Zwelback,FALSE
1969,Bob & Carol & Ted & Alice,Paul Mazursky and Larry Tucker,TRUE
1969,"If It's Tuesday, This Must Be Belgium",David Shaw,FALSE
1969,Popi,Tina Pine and Lester Pine,FALSE
1969,Support Your Local Sheriff,William Bowers,FALSE
1969,Take the Money and Run,Woody Allen and Mickey Rose,FALSE
1970,Patton,Francis Ford Coppola and Edmund H. North,TRUE
1970,Five Easy Pieces,Carole Eastman (as Adrien Joyce),FALSE
1970,Love Story,Erich Segal,FALSE
1970,The Out-of-Towners,Neil Simon,TRUE
1970,The Private Life of Sherlock Holmes,Billy Wilder and I.A.L. Diamond,FALSE
1970,Quackser Fortune Has a Cousin in the Bronk,Gabriel Walsh,FALSE
1970,Start the Revolution Without Me,Fred Freeman and Lawrence J. Cohen,FALSE
1970,The Cheyenne Social Club,James Lee Barrett,FALSE
1971,Sunday Bloody Sunday,Penelope Gilliatt,TRUE
1971,Klute,Andy Lewis and David E. Lewis,FALSE
1971,Summer of '42,Hernan Raucher,FALSE
1971,The Hellstrom Chronicle,David Seltzer,FALSE
1971,The Hospital,Paddy Chayefsky,TRUE
1971,Bananas,Woody Allen and Mickey Rose,FALSE
1971,Carnal Knowledge,Jules Feiffer,FALSE
1971,Made for Each Other,Renée Taylor and Joseph Bologna,FALSE
1971,Taking Off,"Miloṡ Forman, Jean-Claude Carrière, John Guare, and Jon Klein",FALSE
1972,The Candidate,Jeremy Larner,TRUE
1972,Bad Company,David Newman and Robert Benton,FALSE
1972,Images,Robert Altman,FALSE
1972,The Culpepper Cattle Co.,Eric Bercovici and Gregory Prentiss,FALSE
1972,The Great Northfield Minnesota Raid,Philip Kaufman,FALSE
1972,"What’s Up, Doc?","Peter Bogdanovich, Buck Henry, David Newman, and Robert Benton",TRUE
1972,Get to Know Your Rabbit,Jordan Crittenden,FALSE
1972,Hammersmith Is Out,Stanford Whitmore,FALSE
1972,Minnie and Moskowitz,John Cassavetes,FALSE
1972,The War Between Men and Women,Melville Shavelson and Danny Arnold,FALSE
1973,Save the Tiger,Steve Shagan,TRUE
1973,Mean Streets,Martin Scorsese and Mardik Martin,FALSE
1973,Payday,Don Carpenter,FALSE
1973,The Sting,David S. Ward,FALSE
1973,The Way We Were,Arthur Laurents,FALSE
1973,A Touch of Class,Melvin Frank and Jack Rose,TRUE
1973,American Graffiti,"George Lucas, Gloria Katz, and Willard Huyck",FALSE
1973,Blume in Love,Paul Mazursky,FALSE
1973,Sleeper,Woody Allen and Marshall Brickman,FALSE
1973,Slither,W.D. Richter,FALSE
1974,Chinatown,Robert Towne,TRUE
1974,A Woman Under the Influence,John Cassavetes,FALSE
1974,Alice Doesn't Live Here Anymore,Robert Getchell,FALSE
1974,Harry and Tonto,Paul Mazursky and Josh Greenfeld,FALSE
1974,The Conversation,Francis Ford Coppola,FALSE
1974,Blazing Saddles,"Mel Brooks, Norman Steinberg, Andrew Bergman, Richard Pryor, and Alan Uger",TRUE
1974,California Split,Joseph Walsh,FALSE
1974,Claudine,Tina Pine and Lester Pine,FALSE
1974,Phantom of the Paradise,Brian de Palma,FALSE
1974,The Sugarland Express,"Hal Barwood, Matthew Robbins, and Steven Spielberg",FALSE
1975,Dog Day Afternoon,Frank Pierson,TRUE
1975,French Connection II,"Alexander Jacobs, Robert Dillon, and Laurie Dillon",FALSE
1975,Nashville,Joan Twekesbury,FALSE
1975,The Wind and the Lion,John Milius,FALSE
1975,Shampoo,Robert Towne and Warren Beatty,TRUE
1975,Heats of the West,Rob Thompson,FALSE
1975,Smile,Jerry Belson,FALSE
1975,The Return of the Pink Panther,Frank Waldman and Blake Edwards,FALSE
1976,Network,Paddy Chayefsky,TRUE
1976,The Omen,David Seltzer,FALSE
1976,Rocky,Sylvester Stallone,FALSE
1976,Taxi Driver,Paul Schrader,FALSE
1976,The Front,Walter Bernstein,FALSE
1976,The Bad News Bears,Bill Lancaster,TRUE
1976,Murder by Death,Neil Simon,FALSE
1976,"Next Stop, Greenwich Village",Paul Mazursky,FALSE
1976,Silent Movie,"Mel Brooks, Ron Clark, Rudy De Luca, and Barry Levinson",FALSE
1976,Silver Streak,Colin Higgins,FALSE
1977,The Turning Point,Arthur Laurents,TRUE
1977,Close Encounters of the Third Kind,Steven Spielberg,FALSE
